Model Name,aae_SAE,aae_Dialect,aae_Drop,bre_SAE,bre_Dialect,bre_Drop,che_SAE,che_Dialect,che_Drop,ine_SAE,ine_Dialect,ine_Drop,sge_SAE,sge_Dialect,sge_Drop,average_SAE,average_Dialect,average_Drop
dalle2,0.2740,0.2457,0.1033,0.3056,0.2986,0.0229,0.2730,0.2398,0.1216,0.2928,0.2404,0.1790,0.2853,0.2644,0.0733,0.2861,0.2578,0.1000
dalle3,0.2691,0.2492,0.0740,0.3011,0.2941,0.0232,0.2757,0.2515,0.0878,0.2990,0.2683,0.1027,0.2847,0.2712,0.0474,0.2859,0.2669,0.0670
flux.1-dev,0.2754,0.2474,0.1017,0.2988,0.2852,0.0455,0.2797,0.2421,0.1344,0.2948,0.2478,0.1594,0.2831,0.2540,0.1028,0.2864,0.2553,0.1088
gpt-image-1,0.2833,0.2596,0.0837,0.3162,0.3094,0.0215,0.2948,0.2651,0.1007,0.3121,0.2749,0.1192,0.3033,0.2857,0.0580,0.3019,0.2789,0.0766
minDALL-E,0.2815,0.2477,0.1201,0.3065,0.2948,0.0382,0.2781,0.2357,0.1525,0.2969,0.2452,0.1741,0.2860,0.2574,0.1000,0.2898,0.2562,0.1170
stable-diffusion-3.5-large,0.2878,0.2562,0.1098,0.3150,0.3025,0.0397,0.2942,0.2522,0.1428,0.3114,0.2567,0.1757,0.3022,0.2718,0.1006,0.3021,0.2679,0.1137
stable-diffusion-3.5-large-turbo,0.2840,0.2510,0.1162,0.3116,0.2990,0.0404,0.2890,0.2495,0.1367,0.3078,0.2530,0.1780,0.2982,0.2696,0.0959,0.2981,0.2644,0.1134
stable-diffusion-xl-base-1.0,0.2869,0.2581,0.1004,0.3121,0.2997,0.0397,0.2957,0.2537,0.1420,0.3130,0.2597,0.1703,0.3023,0.2745,0.0920,0.3020,0.2691,0.1089
stable-diffusion1.4,0.2783,0.2546,0.0852,0.2979,0.2865,0.0383,0.2834,0.2468,0.1291,0.2952,0.2445,0.1717,0.2864,0.2597,0.0932,0.2882,0.2584,0.1035
stable-diffusion1.5,0.2795,0.2579,0.0773,0.2991,0.2866,0.0418,0.2832,0.2470,0.1278,0.2958,0.2449,0.1721,0.2865,0.2586,0.0974,0.2888,0.2590,0.1033
stable-diffusion2.1,0.2874,0.2572,0.1051,0.3088,0.2967,0.0392,0.2944,0.2470,0.1610,0.3083,0.2542,0.1755,0.2954,0.2646,0.1043,0.2989,0.2639,0.1170
stable-diffusion3-medium,0.2842,0.2545,0.1045,0.3097,0.2989,0.0349,0.2874,0.2501,0.1298,0.3031,0.2502,0.1745,0.2967,0.2680,0.0967,0.2962,0.2643,0.1081
