old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6,negative1,gn1,negative2,gn2,negative3,gn3,negative4,gn4,negative5,gn5,negative6,gn6
Califas,California,a sunny day in califas,a sunny day in california
Chuco,El Paso person,a person exploring Chuco,a person exploring El Paso,a restaurant in Chuco at night,a restaurant in El Paso at night,a street in Chuco with plants,a street in El Paso with plants,a bus station in Chuco,a bus station in El Paso,a typical house in Chuco,a typical house in El Paso,a bird's eye view of Chuco,a bird's eye view of El Paso
Chuco Town,El Paso TX,a person exploring Chuco Town,a person exploring El Paso,a restaurant in Chuco Town at night,a restaurant in El Paso at night,a street in Chuco Town with plants,a street in El Paso with plants,a bus station in Chuco Town,a bus station in El Paso,a typical house in Chuco Town,a typical house in El Paso,a bird's eye view of Chuco Town,a bird's eye view of El Paso
Raza,people/race,a group of raza at a family reunion,a group of mexican americans at a family reunion,a raza activist speaking at a rally,a mexican american activist speaking at a rally,a raza community center hosting an event,a mexican american community center hosting an event,a raza cultural festival in the park,a mexican american cultural festival in the park,a raza musician performing live,a mexican american musician performing live,a raza student at a graduation ceremony,a mexican american student at a graduation ceremony
apapachar,cuddle/hug,a room set up to apapachar someone,a room set up to pamper someone,a dog getting apapachar,a dog getting pampered,my favorite apapachar session with candles,my favorite pampering session with candles,a man deciding to apapachar himself,a man deciding to pamper himself,a day out to apapachar with friends,a day out to pamper with friends,a cat ready to apapachar in the sun,a cat ready to pamper in the sun
baro,money,a stack of baro on the counter,a stack of money on the counter,my wallet full of baro,my wallet full of money,an envelope with baro,an envelope with money,a jar filled with baro,a jar filled with money,a hand dropping baro into a piggy bank,a hand dropping money into a piggy bank,a suitcase overflowing with baro,a suitcase overflowing with money
barrio,neighborhood,a festive block party in the barrio,a festive block party in the neighborhood,two people walking around the barrio,two people walking around the neighborhood,a corner store in the barrio,a corner store in the neighborhood,a bird's eye view of a barrio in Texas,a bird's eye view of a neighborhood in Texas,a boy standing in a street in a barrio,a boy standing in a street in a neighborhood,colorful houses in a barrio,colorful houses in a neighborhood
bato,dude/guy,a bato grilling burgers at a cookout,a man grilling burgers at a cookout,a bato riding a horse at a ranch,a man riding a horse at a ranch,a bato repairing a broken fence,a man repairing a broken fence,a bato practicing archery in a field,a man practicing archery in a field,a bato jogging in a city park,a man jogging in a city park,a bato watching a sunset from a pier,a man watching a sunset from a pier
califas,California,a surfer on a califas wave,a surfer on a california wave,my vacation in califas,my vacation in california,a road trip through califas,a road trip through california,an iconic bridge in califas,an iconic bridge in california,a bustling market in califas,a bustling market in california
carnal,brother,a woman and her carnal eating at a restaurant,a man and her brother eating at a restaurant,a man hiking with his carnal,a man hiking with his brother,my carnal posing for a picture,my brother posing for a picture,me standing with my carnal,me standing with my brother,my carnal and I sitting at a table,my brother and I sitting at a table,my carnal riding a bike,my brother riding a bike,a self-help book about managing one's carnal temptations,a self-help book about managing one's carnal temptations,a store appealing to carnal pleasures,a store appealing to carnal pleasures,a novel exploring the carnal instincts of humans,a novel exploring the carnal instincts of humans,a man giving into his carnal instincts,a man giving into his carnal instincts,a professor teaching a lecture about carnal desires,a professor teaching a lecture about carnal desires,a magazine appealing to the carnal desires of women,a magazine appealing to the carnal desires of women
carnalas,sisters,a carnalas moment at a wedding,a sisters moment at a wedding,my carnalas studying together,my sisters studying together,a carnalas dance routine,a sisters dance routine,my carnalas sharing a secret,my sisters sharing a secret,my carnalas having a tea party in the garden,my sisters having a tea party in the garden,my carnalas braiding each other's hair,my sisters braiding each other's hair
