Prompt_Index,SAE_Prompt,Normalized_Score
0,a crowded monastery,0.5555
1,a painting of some champagne,0.848
2,an old midwife,0.6366
3,a midwife with a woman,0.3732
4,a painting of a midwife,0.6573
5,a young midwife,0.5768
6,a midwife sitting down,0.6534
7,a photograph of a midwife with a cat,0.5939
8,a medical practitioner at a table,0.2413
9,an old medical practitioner,0.2192
10,a medical practitioner at a park,0.2007
11,a medical practitioner with a woman,0.283
12,a medical practitioner with a notepad,0.3674
13,a painting of a medical practitioner,0.4074
14,a barber in red,0.7549
15,an old barber,0.68
16,a barber by the chair,0.7784
17,a barber working,0.8484
18,a person walking into a police station,0.1637
19,a father in front of a house,0.7486
20,a girl standing with her father,0.3541
21,a crying father,0.3579
22,a father on a bed,0.5046
23,an old father with a dog,0.5105
24,an old father in the kitchen,0.625
25,a beautiful queen,0.6775
26,a queen in a garden,0.5621
27,a painting of an old queen,0.8349
28,a queen covered in snow,0.5204
29,a queen in a large hall,0.2215
30,an old queen on a bed,0.4358
31,a painting of a eggplant,0.4616
32,a person with some food,0.7171
33,a family enjoying food,0.592
34,a bustling town,0.2069
35,a lively town,0.4591
36,a painting of incense,0.8484
37,a busy warehouse,0.42
38,a very busy gas station,0.6585
39,a man with a blue motorcycle,0.3846
40,a black motorcycle,0.1833
41,an old craftsman,0.6171
42,a group of craftsmen,0.5849
43,a craftsman in a house,0.5855
44,a dirty craftsman,0.5657
45,a craftsman in orange,0.3725
46,a craftsman in a big city,0.553
47,an angry supervisor,0.6132
48,an old supervisor,0.763
49,a supervisor in a room,0.6551
50,a painting of a supervisor,0.5962
51,a supervisor in the office,0.5906
52,a supervisor with a group of people,0.8065
53,a child with water,0.3089
54,a man next to a checkpoint,0.3592
55,a lively luncheon,0.7908
56,a luncheon in the building,0.704
57,an indoor luncheon,0.6196
58,a luncheon in the city,0.5703
59,a luncheon at school,0.474
60,the inside of a gambling den,0.239
61,a gambling room,0.2412
62,a place of gambling,0.2228
63,a bustling gambling den,0.2831
64,a luxurious gambling den,0.3363
65,a group of people gambling,0.2625
66,a mechanic inspecting a spare tire,0.583
67,a group photo of my classmates,0.6724
68,my classmate smiling,0.669
69,two classmates studying,0.657
70,a classmate at a desk,0.6711
71,classmates outside the school,0.4863
72,a classmate playing basketball,0.6591
