DialectWord,SAEWord,DialectPrompt,SAEPrompt,Number of dialect words in prompt
whip,car,a guy driving his whip,a man driving his car,2
whip,car,a woman driving her whip,a woman driving her car,1
crib,house,a guy in front of his crib,a man in front of his house,1
crib,house,a woman in front of her crib,a woman in front of her house,1
crib,house,a family in front of their new crib,a family in front of their new house,1
crib,house,a retiree and her crib,a retiree and her house,1
holla,holler,a man holla at a girl,a man holler at a girl,1
holla,holler,a man holla at a woman,a man holler at a woman,1
holla,holler,a guy holla at a woman,a man holler at a woman,2
holla,holler,a guy holla at his homie,a man holler at his close friend,3
homie,close friend,my homie,my close friend,1
homie,close friend,me and homie hanging out at a cafe,me and my close friend hanging out at a cafe,1
homie,close friend,my homie talking on the phone,my close friend talking on the phone,1
homie,close friend,me and my homie,me and my close friend,1
my crew,my friends,me and my crew,me and my friends,1
my crew,my friends,me and my crew at a restaurant,me and my friends at a restaurant,1
my crew,my friends,taking a selfie with my crew,taking a selfie with my friends,1
my crew,my friends,my crew in front of my whip,my friends in front of my car,2
bae,lover,a picture of my bae,a picture of my lover,1
bae,lover,me and my bae,me and my lover,1
bae,lover,my bae posing in a botanical garden,my lover posing in a botanical garden,1
bae,lover,my bae drinking coffee,my lover drinking coffee,1
dough,money,a woman getting some dough from her friend,a woman getting some money from her friend,1
dough,money,a boy getting some dough from his homie,a boy getting some money from his close friend,2
kicks,sneakers,a guy wearing kicks,a man wearing sneakers,2
kicks,sneakers,a girl wearing kicks,a girl wearing sneakers,1
piece,gun,a guy aiming his piece,a man aiming his gun,2
piece,gun,a man aiming his piece,a man aiming his gun,1
threads,clothes or an outfit,a man wearing cool threads,a man wearing cool clothes,1
threads,clothes or an outfit,a woman wearing cool threads,a woman wearing cool clothes,1
threads,clothes or an outfit,a man wearing minimalist threads,a man wearing minimalist clothes,1
threads,clothes or an outfit,a woman wearing vintage threads,a woman wearing vintage clothes,1
grill,dental jewelry worn over the teeth,a man wearing grills,a man wearing dental jewelry over the teeth,1
grill,dental jewelry worn over the teeth,a rapper with grills,a rapper with dental jewelry ,1
grill,dental jewelry worn over the teeth,a man wearing green grills,a man wearing green dental jewelry over the teeth,1
grill,dental jewelry worn over the teeth,a woman wearing grills,a woman wearing dental jewelry over the teeth,1
drop,a convertible car,a woman with her drop,a woman with her convertible,1
drop,a convertible car,two people riding in a drop,two people riding in a convertible,1
lid,hat/cap,a woman wearing an orange lid,a woman wearing an orange cap,1
lid,hat/cap,a guy wearing a red lid,a man wearing a red cap,2
lid,hat/cap,a man with a blue lid,a man with a blue cap,1
gat,gun,a man holding his gat,a man holding his gun,1
gat,gun,a woman holding a large gat,a woman holding a large gun,1
gat,gun,a couple soldiers with gats,a couple soldiers with guns,1
gat,gun,a group of people with gats,a group of people with guns,1
chains,necklace,a man wearing chains,a man wearing a necklace,1
chains,necklace,a woman wearing chains,a woman wearing a necklace,1
chains,necklace,a man and his homie wearing chains,a man and his friend wearing necklaces,2
chains,necklace,a man wearing dark gray chains,a man wearing a dark gray necklace,1
roller,car,a woman driving a roller,a woman driving a car,1
roller,car,a guy riding in a roller,a guy riding in a car,2
roller,car,a group of friends in a roller,a group of friends in a car,1
hammer,gun,a woman with a hammer,a woman with a gun,1
bussin,tasty,two people enjoying bussin food,two people enjoying tasty food,1
bussin,tasty,a guy enjoying bussin food,a man enjoying tasty food,2
bussin,tasty,a woman buying bussin food,a woman buying tasty food,1
