Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a painting of raspa,a painting of shaved ice,0.1762
1,a man enjoying raspa,a man enjoying shaved ice,0.7478
2,cup of raspa on a table,cup of shaved ice on a table,0.7153
3,a blue raspa,a blue shaved ice,0.6014
4,a clicka,a friend group,0.4485
5,a big clicka,a big friend group,0.4345
6,a clicka at school,a friend group at school,0.7262
7,a clicka at the park,a friend group at the park,0.4142
8,a loud clicka,a loud friend group,0.6511
9,a painting of a padrino,a painting of a godfather,0.7378
10,a padrino,a godfather,0.4861
11,a padrino in a house,a godfather in a house,0.3785
12,an old padrino,an old godfather,0.5545
13,a man with a padrino,a man with a godfather,0.2639
14,a woman with a padrino,a woman with a godfather,0.3733
15,a big fil,a big field,0.7461
16,a person at a fil,a person at a field,0.1791
17,a green fil,a green field,0.7417
18,an old pinta,an old jail,0.1882
19,a modern pinta,a modern jail,0.1627
20,a small pinta,a small prison,0.1822
21,go to pinta,go to prison,0.2359
22,a painting of a jaina,a painting of a girlfriend,0.2666
23,a jaina in a home,a girlfriend in a home,0.2446
24,a jaina in a car,a girlfriend in a car,0.606
25,a jaina walking,a girlfriend walking,0.1316
26,me and my jaina,me and my girlfriend,0.1172
27,at the park with my jaina,at the park with my girlfriend,0.1356
28,my dad planchar shirts,my dad irons shirts,0.4786
29,she planchar daily,she irons daily,0.3391
30,they planchar clothes,they iron clothes,0.6396
31,I planchar pants,I iron pants,0.5075
32,we planchar uniforms,we iron uniforms,0.4896
33,he likes to planchar,he likes to iron,0.7754
34,a person exploring Chuco,a person exploring El Paso,0.17
35,a painting of a carnal,a painting of a brother,0.4266
36,a man hiking with his carnal,a man hiking with his brother,0.4992
37,a carnal in a house,a brother in a house,0.2273
38,me with my carnal,me with my brother,0.6465
39,a carnal at a table,a brother at a table,0.4138
40,a carnal at a park,a brother at a park,0.2113
41,a painting of a carnalita,a painting of a sister,0.8857
42,a man hiking with his carnalita,a man hiking with his sister,0.5626
43,a carnalita in a house,a sister in a house,0.4948
44,me with my carnalita,me with my sister,0.5191
45,a carnalita at a table,a sister at a table,0.7345
46,a carnalita at a park,a sister at a park,0.4735
47,a painting of carnales,a painting of brothers,0.4288
48,carnales in a house,brothers in a house,0.4388
49,me and my carnales,me and my brothers,0.5512
50,carnales by a table,brothers by a table,0.3968
51,carnales together,brothers together,0.3624
52,carnales walking,brothers walking,0.1508
53,a painting of carnalas,a painting of sisters,0.2084
54,carnalas in a house,sisters in a house,0.2902
55,me and my carnalas,me and my sisters,0.3669
56,carnalas by a table,sisters by a table,0.4547
57,carnalas together,sisters together,0.3368
58,carnalas walking,sisters walking,0.2171
59,a painting of raza,a painting of Mexican American,0.206
60,a raza at a park,a Mexican American at a park,0.2844
61,a raza neighborhood,a Mexican American neighborhood,0.1677
62,a raza at a store,a Mexican American at a store,0.1802
63,a young raza,a young Mexican American,0.1272
64,an old raza,an old Mexican American,0.3913
65,a vato in a house,a young man in a house,0.216
66,a vato in a park,a young man in a park,0.3445
67,painting of a vato,a painting of a young man,0.5961
68,a vato in a neighborhood,a young man in a neighborhood,0.617
69,a vato on the ground,a young man on the ground,0.2524
70,a vato leaning,a young man leaning,0.8274
71,a painting of an ese,a painting of a young man,0.5618
72,an ese on a sidewalk,a young man on a sidewalk,0.4699
73,an ese on a trail,a young man on a trail,0.3872
74,an ese in a park,a young man in a park,0.3276
75,an ese in a neighborhood,a young man in a neighborhood,0.2833
76,an ese on a street,a young man on a street,0.352
77,a painting of a bato,a painting of a man,0.2953
78,a big bato,a big man,0.3206
79,a smaller bato,a smaller man,0.2868
80,a bato in a house,a man in a house,0.2527
81,a bato in a park,a man in a park,0.1262
82,a bato on a street,a man on a street,0.1749
83,a painting of a madrina,a painting of a godmother,0.3913
84,an old madrina,an old godmother,0.1674
85,a middle-aged madrina,a middle-aged godmother,0.2252
86,a madrina in a house,a godmother in a house,0.104
87,a madrina at a park,a godmother at a park,0.2636
88,a madrina in a car,a godmother in a car,0.6545
89,a guy acting loco,a guy acting crazy,0.7886
90,a loco cat,a crazy cat,0.7921
91,a loco dog,a crazy dog,0.8238
92,a loco painting,a crazy painting,0.3903
93,a loco toy,a crazy toy,0.4156
94,a mi'ja,a daughter,0.0309
95,a mi'ja at home,a daughter at home,0.0401
96,a mi'ja at a park,a daughter at a park,0.0459
97,a younger mi'ja,a younger daughter,0.0911
98,an older mi'ja,an older daughter,0.0783
99,a painting of a mi'ja,a painting of a daugher,0.0308
100,a mijo,a son,0.527
101,a mijo at home,a son at home,0.448
102,a mijo at a park,a son at a park,0.6033
103,a younger mijo,a younger son,0.701
104,an older mijo,an older son,0.5466
105,a painting of a mijo,a painting of a son,0.3938
106,a Califas landscape,a California landscape,0.3876
107,a city in Califas,a city in California,0.5467
108,a Califas suburb,a California suburb,0.5501
109,baro on the sidewalk,money on the sidewalk,0.5572
110,a painting of a cuate,a painting of a close friend,0.2389
111,me and my cuate,me and my close friend,0.6005
112,a cuate in a house,a close friend in a house,0.4348
113,a cuate at a cafe,a close friend at a cafe,0.3333
114,a cuate on the sidewalk,a close friend on the sidewalk,0.3645
115,a cuate in a park,a close friend in a park,0.4279
116,a person apapachar himself,a person pampered himself,0.1048
117,a couple getting apapachar,a couple getting pampered,0.0646
118,a woman getting apapachar,a woman getting pampered,0.03
119,a couple getting lonche,a couple getting lunch,0.5939
120,lonche in the meadow,lunch in the meadow,0.6495
121,a chamaco at the park,a boy at the park,0.2311
122,a chamaco in a house,a boy in a house,0.2452
123,a chamaco on the sidewalk,a boy on the sidewalk,0.3196
124,a painting of a chamaco,a painting of a chamaco,0.6349
125,a chamaco at a school,a boy at a school,0.2053
126,a chamaco and a soccer ball,a boy and a soccer ball,0.2618
127,a chamaca at the park,a girl at the park,0.4793
128,a chamaca in a house,a girl in a house,0.2248
129,a chamaca on the sidewalk,a girl on the sidewalk,0.3368
130,a chamaca and a basketball,a girl and a basketball,0.2184
131,a chamaca at a school,a girl at a school,0.3826
132,a chamaca at a store,a girl at a store,0.1585
133,a woman wearing chanclas,a woman wearing flip-flops,0.3028
