Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
lorry,semitruck,a red truck,a red semitruck,0,1,0,,a red lorry,a red semitruck
lorry,semitruck,a large truck,a large semitruck,0,1,0,,a large lorry,a large semitruck
lorry,semitruck,a broken truck,a broken semitruck,0,1,0,,a broken lorry,a broken semitruck
lorry,semitruck,a painting of an old truck,a painting of an old semitruck,0,1,0,,a painting of an old lorry,a painting of an old semitruck
lorry,semitruck,a modern truck,a modern semitruck,0,1,0,,a modern lorry,a modern semitruck
lorry,semitruck,a small truck,a small semitruck,0,1,0,,a small lorry,a small semitruck
jumper,sweater,a cozy sweater,a cozy sweater,0,1,0,,a cozy jumper,a cozy sweater
jumper,sweater,a purple sweater,a purple sweater,0,1,0,,a purple jumper,a purple sweater
jumper,sweater,a dirty sweater,a dirty sweater,0,1,0,,a dirty jumper,a dirty sweater
jumper,sweater,a designer sweater,a designer sweater,0,1,0,,a designer jumper,a designer sweater
jumper,sweater,a sweater with holes,a sweater with holes,0,1,0,,a jumper with holes,a sweater with holes
jumper,sweater,a colorful sweater,a colorful sweater,0,1,0,,a colorful jumper,a colorful sweater
loo,bathroom,a modern bathroom,a modern bathroom,0,1,0,,a modern loo,a modern bathroom
loo,bathroom,a dirty bathroom,a dirty bathroom,0,1,0,,a dirty loo,a dirty bathroom
loo,bathroom,a colorful bathroom,a colorful bathroom,0,1,0,,a colorful loo,a colorful bathroom
loo,bathroom,a bathroom with blue tiles,a bathroom with blue tiles,0,1,0,,a loo with blue tiles,a bathroom with blue tiles
loo,bathroom,a spacious bathroom,a spacious bathroom,0,1,0,,a spacious loo,a spacious bathroom
loo,bathroom,a small bathroom,a tiny bathroom,0,1,0,,a tiny loo,a tiny bathroom
banger,sausage,a package of sausages,a pack of sausages,0,1,0,,a pack of bangers,a pack of sausages
banger,sausage,a plate of sausages and eggs,a plate of sausages and eggs,0,1,0,,a plate of bangers and eggs,a plate of sausages and eggs
banger,sausage,three great songs,three sausages,0,1,0,,three bangers,three sausages
banger,sausage,hot sausages,sizzling sausages,0,1,0,,sizzling bangers,sizzling sausages
banger,sausage,broken sausages,broken sausages,0,1,0,,broken bangers,broken sausages
banger,sausage,some expired sausages,some expired sausages,0,1,0,,some expired bangers,some expired sausages
rubbish,trash,a pile of trash,a pile of trash,0,1,0,,a pile of rubbish,a pile of trash
