Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,an old math in the village square,an old monastery in the village square,0.2395
1,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0.2324
2,an older person entering a math,an older person entering a monastery,0.2354
3,a math in an old city center,a monastery in an old city center,0.2536
4,a math with a crowd of people outside,a monastery with a crowd of people outside,0.227
5,an old math in a dark misty forest,an old monastery in a dark misty forest,0.2618
6,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0.2616
7,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0.203
8,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0.2716
9,simkin in a glass on a table,champagne in a glass on a table,0.2507
10,a person holding a bottle of simkin,a person holding a bottle of champagne,0.2386
11,a person pouring simkin into a glass,a person pouring champagne into a glass,0.2698
12,a dai in a hospital,a midwife in a hospital,0.2773
13,a dai walking into a house,a midwife walking into a house,0.2893
14,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,0.2724
15,a dai talking with a doctor,a midwife talking with a doctor,0.2667
16,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,0.2443
17,a dai talking with a nurse,a midwife talking with a nurse,0.292
18,a medico sitting at a table outside,a medical practitioner sitting at a table outside,0.273
19,two medicos in a conference room,two medical practitioners in a conference room,0.2771
20,a medico walking in a park,a medical practitioner walking in a park,0.3092
21,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,0.3117
22,a medico standing outside a building,a medical practitioner standing outside a building,0.3274
23,a medico talking with a nurse,a medical practitioner talking with a nurse,0.2997
24,two windows covered with chick,two windows covered with bamboo blinds,0.2327
25,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0.2538
26,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0.2581
27,a living room window covered with rolled-up chick,a living room window covered with rolled-up bamboo blinds,0.2066
28,a doorway with chick covering it,a doorway with bamboo blinds covering it,0.2269
29,a window with rolled up chick,a window with rolled up bamboo blinds,0.229
30,a ghat with lots of pine trees,a mountain pass with lots of pine trees,0.2403
31,a narrow ghat covered in snow and pine trees,a narrow mountain pass covered in snow and pine trees,0.2596
32,a ghat with a road with lots of cars,a mountain pass with a road with lots of cars,0.2839
33,two people walking through the ghat,two people walking through the mountain pass,0.2694
34,a roadway in the ghat,a roadway in the mountain pass,0.2766
35,a trail in the wooded ghat,a trail in the wooded mountain pass,0.267
36,an old kirana with faded signage,an old convenience store with faded signage,0.263
37,a modern kirana with glass doors,a modern convenience store with glass doors,0.2487
38,a busy kirana packed with groceries,a busy convenience store packed with groceries,0.2742
39,a small kirana on fire at dusk,a small convenience store on fire at dusk,0.2437
40,an empty kirana with bare shelves,an empty convenience store with bare shelves,0.2793
41,a painting of a kirana with stacked cans,a painting of a convenience store with stacked cans,0.3207
