Prompt_Index,SAE_Prompt,Normalized_Score
0,a little boy playing with a yoyo,0.4056
1,a little girl playing with a toy car,0.7
2,a little baby wrapped in a blanket,0.8835
3,a man driving his car,0.6237
4,a woman driving her blue car,0.5773
5,a man driving a new car on the freeway,0.5693
6,a man in front of his house,0.3802
7,a woman in front of her house,0.0915
8,a family in front of their new house,0.5895
9,a retiree and her one story house with a flower garden,0.4398
10,a man holler at a girl across the street,0.248
11,a man holler at a woman near the bus stop,0.1859
12,a man holler at a woman walking past him,0.2681
13,a man holler at his close friend from the balcony,0.2003
14,a loud holler from the audience during the show,0.4675
15,she heard a holler from across the street,0.4786
16,me and my close friend hanging out at a cafe,0.0587
17,my close friend talking on the phone,0.1382
18,my close friend waiting outside the store,0.341
19,me and my close friend eating together at lunch,0.066
20,a close friend from childhood playing video games together,0.2535
21,a close friend with a skateboard,0.7689
22,me and my friends hanging out after school,0.1794
23,me and my friends at a restaurant,0.1552
24,taking a selfie with my friends,0.3189
25,me and my friends hanging out at a cafe,0.1321
26,my friends hanging out at the park,0.3454
27,a group of friends in matching shirts,0.3937
28,an old grandma in front of a new england style house,0.5165
29,my grandmother and my dad,0.8316
30,my grandmother with my mom,0.6512
31,my grandmother and her cat,0.7498
32,a grandma knitting a sweater,0.5799
33,a grandma baking cookies,0.644
34,a picture of my lover smiling at the beach,0.3372
35,me and my lover holding hands at sunset,0.3085
36,my lover posing in a botanical garden,0.2194
37,my lover drinking coffee,0.064
38,a lover holding a bouquet of roses,0.1325
39,a lover taking a selfie,0.2293
40,a man paying money to the cashier,0.565
41,a woman paying money to the shopkeeper,0.2633
42,a man wearing sneakers,0.4446
43,a girl wearing white leather sneakers,0.5683
44,a man aiming his gun,0.0728
45,a man aiming his gun in a dark alley,0.2171
46,a woman firing her gun at the target,0.1018
47,a soldier carrying a gun,0.385
48,a man wearing cool clothes,0.4617
49,a woman wearing cool clothes,0.3879
50,a man wearing minimalist clothes,0.57
51,a woman wearing vintage clothes,0.3449
52,a man wearing dental jewelry over the teeth,0.8168
53,a rapper with dental jewelry,0.861
54,a man wearing green dental jewelry,0.9265
55,a woman wearing dental jewelry with a confident smile,0.4882
56,a rapper showing off his dental jewelry,0.8225
57,gold dental jewelry on a smiling face,0.3914
58,a woman driving her convertible car,0.5298
59,a man driving his convertible car on the hilly road,0.3213
60,two people riding in a convertible car,0.6302
61,a man driving a sporty convertible car,0.6301
62,a grandpa wearing a baseball cap,0.6265
63,a woman wearing an orange cap,0.3671
64,a man wearing a red cap,0.3026
65,a man with a blue cap,0.5939
66,a boy wearing a cap matching his outfit,0.7659
67,a man looking at his reflection in a mirror,0.5398
68,a woman looking at her reflection in a mirror,0.3451
69,a couple looking at their reflection in a mirror,0.2066
70,a man holding his gun,0.0701
71,a woman holding a large gun,0.1492
72,a couple of soldiers with guns,0.2247
73,a group of people with guns,0.1119
74,a man wearing a gold necklace,0.6571
75,a woman wearing a gold necklace,0.5731
76,a man wearing a rose gold necklace,0.842
77,some gold necklaces around the neck,0.6273
78,a man wearing a dark gray necklace,0.6452
79,a woman driving a car,0.5814
80,a guy riding in a car,0.766
81,a group of friends in a car,0.4137
82,a person firing a gun,0.2179
83,a man aiming a gun at a target,0.2397
84,a person firing a small gun,0.146
85,a woman aiming a gun,0.0707
86,a policeman shooting a gun,0.4975
87,two people enjoying tasty food,0.2204
88,a man enjoying tasty food,0.2799
89,a woman buying tasty food,0.2996
90,walking through the bland suburban neighborhood,0.3041
91,kids playing in the neighborhood,0.6151
92,a cashier counting the money from the customer,0.57
93,a woman getting money from her checking account at the ATM,0.5419
94,the foodtruck worker getting money from the customer for the purchase,0.2457
95,a man paying back his friend the money for the coffee,0.4549
96,a rich businessman showing off a large stack of bills,0.3305
97,hanging out with my close friends,0.244
98,hanging out with my close friends at a cafe,0.0879
99,studying with my close friends at a library,0.4071
100,me and my close friends gathered for a barbecue,0.4374
101,a group picture with close friends at the beach,0.1968
102,going on a road trip with my close friends,0.2692
103,spending time with my lover at home,0.2655
104,getting stuff from the grocery store with my lover,0.2288
105,a woman and her lover at a fancy restaurant,0.1526
106,a man and his lover on a flight,0.5191
107,me holding hands at the movie with my lover,0.2865
108,me and my lover sharing an umbrella in the rain,0.0759
109,me and my close friend hiking in the mountains,0.3887
110,a woman and her close friend getting coffee,0.2337
111,a man and his close friend walking a golden retriever,0.5964
