Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black torque,a large black truck,0.215
1,a green torque,a green truck,0.2485
2,a torque with a dog,a truck with a dog,0.2241
3,a painting of a torque,a painting of a truck,0.2468
4,a new torque,a new truck,0.2084
5,an old torque,an old truck,0.2138
6,a painting of raspa,a painting of shaved ice,0.2437
7,a man enjoying raspa,a man enjoying shaved ice,0.2951
8,a cup of raspa,a cup of shaved ice,0.2533
9,colorful raspa,colorful shaved ice,0.263
10,cup of raspa on a table,cup of shaved ice on a table,0.2493
11,a blue raspa,a blue shaved ice,0.2743
12,a clicka,a friend group,0.1899
13,a big clicka,a big friend group,0.184
14,a clicka at school,a friend group at school,0.1922
15,a painting of a clicka,a painting of a friend group,0.2333
16,a clicka at the park,a friend group at the park,0.2155
17,a loud clicka,a loud friend group,0.2011
18,a painting of a padrino,a painting of a godfather,0.3108
19,a padrino,a godfather,0.2417
20,a padrino in a house,a godfather in a house,0.264
21,an old padrino,an old godfather,0.2678
22,a man with a padrino,a man with a godfather,0.2512
23,a woman with a padrino,a woman with a godfather,0.2444
24,a big fil,a big field,0.2126
25,a painting of a fil,a painting of a field,0.2454
26,a person at a fil,a person at a field,0.2421
27,a yellow fil,a yellow field,0.2674
28,a green fil,a green field,0.2333
29,a busy fil,a busy field,0.2282
30,an old pinta,an old jail,0.1822
31,a modern pinta,a modern jail,0.1808
32,a painting of a pinta,a painting of a jail,0.2521
33,a small pinta,a small prison,0.1784
34,go to pinta,go to prison,0.1918
35,inside a pinta,inside a prison,0.2366
36,a painting of a jaina,a painting of a girlfriend,0.2903
37,a jaina in a home,a girlfriend in a home,0.2402
38,a jaina in a car,a girlfriend in a car,0.287
39,a jaina walking,a girlfriend walking,0.2529
40,me and my jaina,me and my girlfriend,0.2536
41,at the park with my jaina,at the park with my girlfriend,0.2455
42,my dad planchar shirts,my dad irons shirts,0.2592
43,she planchar daily,she irons daily,0.2085
44,they planchar clothes,they iron clothes,0.2614
45,I planchar pants,I iron pants,0.2549
46,we planchar uniforms,we iron uniforms,0.2366
47,he likes to planchar,he likes to iron,0.1767
48,a person exploring Chuco,a person exploring El Paso,0.2526
49,a painting of Chuco,a painting of El Paso,0.2788
50,a person in Chuco,a person in El Paso,0.2458
51,Chuco landscape,El Paso landscape,0.29
52,a typical house in Chuco,a typical house in El Paso,0.2554
53,a bird's eye view of Chuco,a bird's eye view of El Paso,0.2663
54,a painting of a carnal,a painting of a brother,0.2651
55,a man hiking with his carnal,a man hiking with his brother,0.2742
56,a carnal in a house,a brother in a house,0.2504
57,me with my carnal,me with my brother,0.158
58,a carnal at a table,a brother at a table,0.2662
59,a carnal at a park,a brother at a park,0.2598
60,a painting of a carnalita,a painting of a sister,0.2439
61,a man hiking with his carnalita,a man hiking with his sister,0.2815
62,a carnalita in a house,a sister in a house,0.2509
63,me with my carnalita,me with my sister,0.1888
64,a carnalita at a table,a sister at a table,0.2032
65,a carnalita at a park,a sister at a park,0.2485
66,a painting of carnales,a painting of brothers,0.2841
67,carnales in a house,brothers in a house,0.2196
68,me and my carnales,me and my brothers,0.2199
69,carnales by a table,brothers by a table,0.2039
70,carnales together,brothers together,0.2407
71,carnales walking,brothers walking,0.27
72,a painting of carnalas,a painting of sisters,0.2411
