Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a lil baby,a little baby,0.7483
1,a painting of a lil boy,a painting of a little boy,0.8042
2,a lil girl,a little girl,0.4408
3,a man holla at a girl,a man holler at a girl,0.3614
4,a man holla at a woman,a man holler at a woman,0.1227
5,a guy holla at a woman,a guy holler at a woman,0.3909
6,a guy holla at his homie,a guy holler at his close friend,0.2502
7,a holla from the audience,a holler from the audience,0.4377
8,my homie,my close friend,0.5089
9,my handsome homie,my handsome close friend,0.6057
10,an old homie,an old close friend,0.4307
11,me and my homie,me and my close friend,0.263
12,a homie from childhood,a close friend from childhood,0.2963
13,painting of me and my homie,painting of me and my close friend,0.3026
14,me and my crew,me and my friends,0.3545
15,me and my large crew,me and my large friends,0.3885
16,painting of me and my crew,painting of me and my friends,0.2587
17,me and my small crew,me and my small friends,0.3502
18,my crew wearing red,my friends wearing red,0.2495
19,my crew at my house,my friends at my house,0.3229
20,an old nana,an old grandma,0.7341
21,my beautiful nana,my beautiful grandma,0.7566
22,a group of nanas,a group of grandmas,0.2447
23,my nana in purple,my grandma in purple,0.7968
24,my nana in her house,my grandma in her house,0.382
25,an angry nana,an angry grandma,0.3532
26,a picture of my bae,a picture of my lover,0.4061
27,my sleeping bae,my sleeping lover,0.3994
28,my beautiful bae,my beautiful lover,0.4392
29,my bae at my house,my lover at my house,0.2915
30,my bae wearing purple,my lover wearing purple,0.2148
31,my handsome bae,my handsome lover,0.4462
32,a kid deposit some dough,a kid deposit some money,0.9345
33,a man paying with dough,a man paying with money,0.3757
34,a woman paying with dough,a woman paying with money,0.5761
35,a man aiming his piece,a man aiming his gun,0.2792
36,a man wearing grills,a man wearing dental jewelry,0.3341
37,a woman wearing grills,a woman wearing dental jewelry,0.6038
38,tipping my lid,tipping my hat,0.5361
39,wearing a lid,wearing a hat,0.5785
40,loading the hammer,loading the gun,0.4788
41,aiming the hammer,aiming the gun,0.3231
42,a busy hood,a busy neighborhood,0.2704
43,a man flashing paper,a man flashing bills,0.1995
44,a man with his fam,a man with his close friends,0.065
45,a group picture with the fam,a group picture with the close friends,0.5041
46,a painting of my fam,a painting of my close friends,0.6622
47,my fam in the house,my close friends in the house,0.3748
48,me with my fam,me with my close friends,0.4476
49,hanging with my fam,hanging with my close friends,0.4835
50,a picture of my boo,a picture of my lover,0.3789
51,my sleeping boo,my sleeping lover,0.6327
52,my beautiful boo,my beautiful lover,0.3942
53,my boo at my house,my lover at my house,0.2891
54,my boo wearing pink,my lover wearing pink,0.7195
55,my handsome boo,my handsome lover,0.429
56,my homeboy,my close friend,0.1674
57,my handsome homeboy,my handsome close friend,0.6913
58,an old homeboy,an old close friend,0.5405
59,me and my homeboy,me and my close friend,0.1805
60,a homeboy from childhood,a close friend from childhood,0.2271
61,painting of me and my homeboy,painting of me and my close friend,0.487
62,a man feeling mellow,a man high on marijuana,0.3453
63,a woman feeling mellow,a woman high on marijuana,0.2788
64,a painting of a person feeling mellow,a painting of a person high on marijuana,0.6915
65,a group of people feeling mellow,a group of people high on marijuana,0.3862
66,college students feeling mellow,college students high on marijuana,0.2531
67,a person feeling mellow,a person high on marijuana,0.3405
68,my morning nappiness,my morning hair frizziness,0.4149
69,a painting of my nappiness,a painting of my hair frizziness,0.5951
70,fixing my nappiness,fixing my hair frizziness,0.2834
71,a woman with nappiness,a woman with hair frizziness,0.4257
72,my natural nappiness,my natural hair frizziness,0.4739
73,two people with nappiness,two people with hair frizziness,0.2268
74,a painting of my dreads,a painting of my dreadlocks,0.0411
75,my dirty dreads,my dirty dreadlocks,0.6303
76,my long dreads,my long dreadlocks,0.1598
77,two people with dreads,two people with dreadlocks,0.0124
78,cutting my dreads,cutting my dreadlocks,0.1049
79,dyed dreads,dyed dreadlocks,0.2449
