Dialect_Word,SAE_Word,Dialect_Prompts,SAE_Prompts
abba,father,an abba in front of a house; a girl standing with her abba; a crying abba; an abba on a bed; an old abba with a dog; an old abba in the kitchen,a father in front of a house; a girl standing with her father; a crying father; a father on a bed; an old father with a dog; an old father in the kitchen
agarbatti,incense,agarbatti in a house; agarbatti on a table; a painting of agarbatti; agarbatti burning; red abarbatti; agarbatti on a shelf,incense in a house; incense on a table; a painting of incense; incense burining; red incense; incense on a shelf
almirah,wardrobe,a luxurious almirah; an old almirah; a painting of a almirah; an almirah in the bedroom; a broken almirah; an green almirah,a luxurious wardrobe; an old wardrobe; a painting of a wardrobe; a wardrobe in the bedroom; a broken wardrobe; an green wardrobe
brinjal,eggplant,a sliced brinjal; a brinjal on a table; brinjal in a basket; a painting of a brinjal; a moldy brinjal; a dish with brinjal,a sliced eggplant; an eggplant on a table; eggplant in a basket; a painting of a eggplant; a moldy eggplant; a dish with eggplant
bundook,rifle,two bundooks leaning on each other; a person holding a bundook; a broken bundook; a rusty bundook; a bundook in a store; a bundook on the ground,two rifles leaning on each other; a person holding a rifle; a broken rifle; a rusty rifle; a rifle in a store; a rifle on the ground
chick,bamboo blinds,a window covered with chick; well-designed chick; dusty chick; chick with green paint; a doorway with chick; broken chick,a window covered with bamboo blinds; well-designed bamboo blinds; dusty bamboo blinds; bamboo blinds with green paint; a doorway with bamboo blinds; broken bamboo blinds
dai,midwife,an old dai; a dai with a woman; a painting of a dai; a young dai ; a dai sitting down; a photograph of a dai with a cat,an old midwife; a midwife with a woman; a painting of a midwife; a young midwife; a midwife sitting down; a photograph of a midwife with a cat
ghat,mountain pass,a dark ghat; a ghat covered in snow; a crowded ghat; a ghat with a nearby lake; a painting of a beautiful ghat; an abandoned ghat,a dark mountain pass; a mountain pass covered in snow; a crowded mountain pass; a mountain pass with a nearby lake; a painting of a beautiful mountain pass; an abandoned mountain pass
godown,warehouse,a enormous godown; an abandoned godown; a busy godown; a painting of a godown; a godown on fire; a dark abandoned godown,a enormous warehouse; an abandoned warehouse; a busy warehouse; a painting of a warehouse; a warehouse on fire; a dark abandoned warehouse
handicraftsman,craftsman,an old handicraftsman; a group of handicraftsmen; a handicraftsman in a house; a dirty handiscraftsman; a handicraftsman in orange; a handicraftsman in a big city,an old craftsman; a group of craftsmen; a craftsman in a house; a dirty craftsman; a craftsman in orange; a craftsman in a big city
