Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,an old math in the village square,an old monastery in the village square,0.5417
1,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0.1348
2,an older person entering a math,an older person entering a monastery,0.1348
3,a math in an old city center,a monastery in an old city center,0.4184
4,a math with a crowd of people outside,a monastery with a crowd of people outside,0.3188
5,an old math in a dark misty forest,an old monastery in a dark misty forest,0.183
6,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0.2545
7,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0.1667
8,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0.5882
9,simkin in a glass on a table,champagne in a glass on a table,0.4125
10,a person holding a bottle of simkin,a person holding a bottle of champagne,0.2712
11,a person pouring simkin into a glass,a person pouring champagne into a glass,0.2495
12,a dai in a hospital,a midwife in a hospital,0.6905
13,a dai walking into a house,a midwife walking into a house,0.3233
14,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,0.2953
15,a dai talking with a doctor,a midwife talking with a doctor,0.5214
16,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,0.3456
17,a dai talking with a nurse,a midwife talking with a nurse,0.7247
18,a medico sitting at a table outside,a medical practitioner sitting at a table outside,0.9053
19,two medicos in a conference room,two medical practitioners in a conference room,0.7589
20,a medico walking in a park,a medical practitioner walking in a park,0.801
21,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,0.9255
22,a medico standing outside a building,a medical practitioner standing outside a building,0.9118
23,a medico talking with a nurse,a medical practitioner talking with a nurse,0.8154
24,two windows covered with chick,two windows covered with bamboo blinds,0.6353
25,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0.6648
26,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0.6966
27,a living room window covered with rolled-up chick,a living room window covered with rolled-up bamboo blinds,0.3989
28,a doorway with chick covering it,a doorway with bamboo blinds covering it,0.4077
29,a window with rolled up chick,a window with rolled up bamboo blinds,0.5636
30,a ghat with lots of pine trees,a mountain pass with lots of pine trees,0.5758
31,a narrow ghat covered in snow and pine trees,a narrow mountain pass covered in snow and pine trees,0.8483
32,a ghat with a road with lots of cars,a mountain pass with a road with lots of cars,0.8314
33,two people walking through the ghat,two people walking through the mountain pass,0.3069
34,a roadway in the ghat,a roadway in the mountain pass,0.9369
35,a trail in the wooded ghat,a trail in the wooded mountain pass,0.9563
36,an old kirana with faded signage,an old convenience store with faded signage,0.8611
37,a modern kirana with glass doors,a modern convenience store with glass doors,0.2037
38,a busy kirana packed with groceries,a busy convenience store packed with groceries,0.9421
39,a small kirana on fire at dusk,a small convenience store on fire at dusk,0.2597
40,an empty kirana with bare shelves,an empty convenience store with bare shelves,0.5103
41,a painting of a kirana with stacked cans,a painting of a convenience store with stacked cans,0.7738
42,a mandapa beside some trees,a temple beside some trees,0.9365
43,people standing outside a mandapa,people standing outside a temple,0.8479
44,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,0.8175
45,a family in front of a mandapa,a family in front of a temple,0.6869
46,a mandapa beside a sandy landscape,a temple beside a sandy landscape,0.7278
47,an old mandapa with lots of people,an old temple with lots of people,0.8932
48,a nai cutting a man's hair,a barber cutting a man's hair,0.9276
49,a nai cutting a woman's hair,a barber cutting a woman's hair,0.6753
50,a nai shop in a busy city,a barber shop in a busy city,0.3243
51,a friendly local nai,a friendly local barber,0.282
52,a child getting his hair cut by a nai,a child getting his hair cut by a barber,0.9077
53,three people in a nai shop,three people in a barber shop,0.1787
54,officers working inside a thana,officers working inside a police station,0.7158
55,a person standing outside a thana,a person standing outside a police station,0.2394
56,a person talking to an officer inside a thana,a person talking to an officer inside a police station,0.7188
57,two officers speaking to an arrested person in a thana,two officers speaking to an arrested person in a police station,0.2504
58,a thana on a road with lots of trees,a police station on a road with lots of trees,0.1174
59,a thana in a busy city,a police station in a busy city,0.2465
60,a boy standing with his abba,a boy standing with his father,0.2351
61,a girl standing with her abba near the school gate,a girl standing with her father near the school gate,0.2598
62,a man hiking with his abba,a man hiking with his father,0.1341
63,a woman in a car with her abba,a woman in a car with her father,0.2746
64,a woman walking with her abba and a dog,a woman walking with her father and a dog,0.1303
65,a man sitting at a table with his abba,a man sitting at a table with his father,0.1875
66,a big house with a pial,a big house with a veranda,0.8254
67,outdoor furniture under a pial,outdoor furniture under a veranda,0.8102
68,a small one story house with a pial,a small one story house with a veranda,0.8584
69,people relaxing under a pial,people relaxing under a veranda,0.4792
70,a modern looking pial on a house,a modern looking veranda on a house,0.7201
71,a glass pial on a house,a glass veranda on a house,0.4353
72,a dry nullah surrounded by a dry landscape,a dry river-bed surrounded by a dry landscape,0.8794
73,two people walking through a nullah,two people walking through a river-bed,0.5222
74,a dry nullah in a dense green forest,a dry river-bed in a dense green forest,0.8364
75,a nullah in an alpine meadow,a river-bed in an alpine meadow,0.7589
76,a bridge across a nullah,a bridge across a river-bed,0.707
77,a nullah with some water in it,a river-bed with some water in it,0.884
78,a rani sitting on a throne,a queen sitting on a throne,0.6596
79,a rani making a speech,a queen making a speech,0.4881
80,a rani inside a palace,a queen in a palace,0.4484
81,a rani sitting at a banquet,a queen sitting at a banquet,0.7107
82,a rani in a garden surrounded by blooming flowers,a queen in a garden surrounded by blooming flowers,0.8686
83,a rani riding in a large car,a queen riding in a large car,0.5161
84,brinjal in a grocery store,eggplant in a grocery store,0.8856
85,brinjal sitting on a kitchen counter,eggplant sitting on a kitchen counter,0.7513
86,brinjal being sliced,eggplant being sliced,0.6737
87,brinjal in a pot,eggplant in a pot,0.522
88,a brinjal plant in a garden,an eggplant plant in a garden,0.9441
89,a spicy curry dish with brinjal slices,a spicy curry dish with eggplant slices,0.9226
90,a table with lots of khana,a table with lots of food,0.9869
91,a person eating khana,a person eating food,0.7186
92,a couple enjoying khana at a restaurant,a couple enjoying food at a restaurant,0.9326
93,a person cooking khana on the stove,a person cooking food on the stove,0.9699
94,a person buying khana from a grocery store,a person buying food from a grocery store,0.9361
95,a family enjoying lots of khana,a family enjoying lots of food,0.9271
96,a main street in a small nagar,a main street in a small town,0.8917
97,a residential neighborhood in a small nagar,a residential neighborhood in a small town,0.7948
98,birds-eye view of a nagar,birds-eye view of a town,0.9531
99,a couple walking in a nagar,a couple walking in a town,0.9503
100,a nagar in a desert climate,a town in a desert climate,0.7875
101,a nagar with snow everywhere,a town with snow everywhere,0.9253
102,a person riding an oont in the desert,a person riding a camel in the desert,0.2496
103,a large group of oonts walking in a desert,a large group of camels walking in a desert,0.6965
104,a person giving water to an oont,a person giving water to a camel,0.1259
105,an oont eating food near a desert tent,a camel eating food near a desert tent,0.1016
106,two oonts walking down the street,two camels walking down the street,0.027
107,an oont walking in a grassy field,a camel walking in a grassy field,0.033
108,agarbatti burning in a house,incense burning in a house,0.7318
109,a bundle of agarbatti on a table,a bundle of incense on a table,0.8445
110,a person holding a bundle of agarbatti,a person holding a bundle of incense,0.2909
111,agarbatti in a stand,incense in a stand,0.4014
112,agarbatti inside a box on a table,incense inside a box on a table,0.83
113,agarbatti inside a store,incense inside a store,0.5171
114,a kulang flying above a beautiful pond,a crane bird flying above a beautiful pond,0.7088
115,a kulang sitting on a dock,a crane bird sitting on a dock,0.1114
116,a kulang with a caught fish,a crane bird with a caught fish,0.0707
117,two kulangs on a river,two crane birds on a river,0.2725
118,a person looking at a kulang,a person looking at a crane bird,0.1307
119,a kulang sitting on the side of a bridge,a crane bird sitting on the side of a bridge,0.1708
120,a large godown with lots of boxes,a large warehouse with lots of boxes,0.9845
121,a large godown with lots of produce,a large warehouse with lots of produce,0.975
122,a godown with lots of people inside,a warehouse with lots of people inside,0.8486
123,a person walking inside a godown,a person walking inside a warehouse,0.951
124,a person driving a forklift inside a godown,a person driving a forklift inside a warehouse,0.9864
125,a dark abandoned godown with broken windows,a dark abandoned warehouse with broken windows,0.8598
126,a medical hall in a big city,a pharmacy in a big city,0.5867
127,a medical hall with a large parking lot,a pharmacy with a large parking lot,0.4884
128,a person walking inside a medical hall,a person walking inside a pharmacy,0.6404
129,a person talking to a worker inside a medical hall,a person talking to a worker inside a pharmacy,0.6845
130,a medical hall with lots of people outside,a pharmacy with lots of people outside,0.3944
131,a small medical hall in a rural area,a small pharmacy in a rural area,0.4745
132,a shabby old looking petrol bunk,a shabby old looking gas station,0.3741
133,a person getting gas for their car at a petrol bunk,a person getting gas for their car at a gas station,0.8498
134,a small shop next to a petrol bunk,a small shop next to a gas station,0.8317
135,a small petrol bunk in a dusty desert town,a small gas station in a dusty desert town,0.8009
136,a very busy petrol bunk with people refueling,a very busy gas station with people refueling,0.8594
137,a petrol bunk surrounded by tall city buildings,a gas station surrounded by tall city buildings,0.5446
138,a man riding a blue mo-bike,a man riding a blue motorcycle,0.4291
139,a woman riding a black mo-bike,a woman riding a black motorcycle,0.3268
140,three mo-bikes riding on a road,three motorcycles riding on a road,0.619
141,a person riding a mo-bike on a dirt road,a person riding a motorcycle on a dirt road,0.3405
142,a person riding a mo-bike in a big city,a person riding a motorcycle in a big city,0.3847
143,a mo-bike sitting in a garage,a motorcycle sitting in a garage,0.326
