Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,"Picture a scene in a large, bustling mathematics classroom. There are students of all descents and genders, all diligently working and solving equations scribbled on chalkboards or writing in notebooks. Some of them are working in groups discussing formulae, others are quietly contemplating theories. The walls are adorned with colorful posters explaining key mathematical concepts. In the background, a female South Asian teacher is explaining a complex theorem on the board. There's a bookshelf loaded with textbooks on one side of the room. The atmosphere is filled with a sense of intense focus and dedication to learning.",a crowded monastery,0.5524
1,"A highly detailed painting of a group of fantastical creatures, called Simkin. These creatures possess human-like forms and faces, however, they have short and stocky stature with luminescent skin. Furthermore, they have pointed ears and are usually seen wearing colorful tunics. Their eyes can come in a variety of vibrant colors, and they usually carry tools or items that symbolize their unique individual abilities.",a painting of some champagne,0.3588
2,"A vintage Dai car, aged with history and character. Its metal body is beautifully weather-beaten, masking its once vibrant color under a patina of rust and worn-out paint. The wheel arcs are covered in layers of mud specks, a testament to its adventures in unpaved roads. Old wooden seats with carefully crafted stitching showcase an era of manual craftsmanship. A thick dusty windscreen barely reveals the worn-out dashboard, that houses retro gauges and a traditional steering wheel. The car sits against a picturesque, countryside backdrop under a clear blue sky.",an old midwife,0.476
3,"A Medieval-inspired setting featuring a Caucasian woman in her mid-thirties, standing proudly next to a life-sized chess piece, specifically the bishop, also known as 'dai' in some cultures. The chess piece is intricately carved from oak wood and towers over the woman slightly. The woman, dressed in a simple but elegant linen robe, is half-smiling with interest while her delicate fingers lightly touch the chess piece. The environment around gives off the air of a tranquil and well-lit study room, filled with antique furniture and old parchment scattered about.",a midwife with a woman,0.6182
4,"Illustration of an ancient Eastern philosopher, wearing traditional robes, contemplating while sitting under a magnificent blossoming sakura tree. The scene is infused with a serene ambiance, with a distant mountain range setting the backdrop against a soft pink sky. Perfectly capture the essence of tranquility and wisdom using the aesthetics of 18th-century Asian art.",a painting of a midwife,0.7398
5,"An image of a young Asian descent Dai ethnic minority lady. She is adorned in their traditional clothing. The vibrant garment consists of bright colors, beaded accessories, and intricate embroidery patterns. On her head, she wears a customary headdress, which is an integral piece of their attire. The scene is set in a lush valley surrounded by mountains under the pale blue sky of daytime. You can see distant birds flying and the joyous expression on her young face reflects her deep connection with nature.",a young midwife,0.4807
6,"A typical Dai person, seated in a relaxed posture. They are wearing cultural attire, featuring intricate designs and vibrant colors. The background displays a peaceful landscape with verdant trees and a sparkling stream. Imagery should capture the serene and tranquil nature of the scene.",a midwife sitting down,0.537
7,"A photograph of a Southeast Asian person, sitting outside on a bamboo mat, who is playing with a fluffy cat. The person is traditionally dressed in a brown shirt and black trousers. They are laughing as the cat attempts to paw at a string they're holding. The setting sun in the background casts a golden hue on the scene, creating shadows that dance around them.",a photograph of a midwife with a cat,0.4721
8,"A South Asian female doctor is sitting at a table filled with medical tools and reports. She is wearing a white coat, her hair is neatly tied up, and she is holding a pen and viewing some patient's report. The room is softly lit; the air filled with an aura of solemn professionalism. Nearby, a computer screen displays some medical imagery; a stark contrast to the antique wooden table she's working at. Some medical textbooks and a stethoscope can also be seen on the table, further evidencing the ongoing consultation.",a medical practitioner at a table,0.0455
9,"A detailed illustration of an elderly medico, embodying decades of wisdom and healing. The medico is a Caucasian male, wearing traditional medical attire that correlates with the bygone era, such as a long spattered white coat, round spectacles perched on his nose, and a leather doctor's bag in his hand. His face exhibits wrinkles depicting years of relentless service and dedication, and bright, alert eyes reflecting deep understanding of his field. There's an air of kindness and knowledge that surrounds him, making anyone around him feel secure.",an old medical practitioner,0.4729
10,"A South Asian female doctor enjoying her day off in a public park. She's seated on a bench under a large oak tree, engrossed in a medical journal she's reading. Next to her, a squirrel scavenges happily. In the distance, you can see children belonging to various descents joyously playing on a well-maintained playground. The sun is shining brightly, partially hidden by fluffy clouds, casting a warm yet comfortable light on the tranquil scene.",a medical practitioner at a park,0.1005
