Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,"An aged mathematical equation etched onto a stone tablet, sitting in the center of a bustling village square. Numerous villagers of varying ages, genders, and descents such as Caucasian, Black, Hispanic, and Middle-Eastern, move around the square with curiosity, performing their daily chores or simply appreciating the vintage mathematical art. The cobblestone pathways, worn out over millennia of use, surround the square filled with rustic wooden stalls selling a variety of local goods. Overhead, a bright afternoon sky cloaks the scene, casting soft shadows and lending a warm ambiance to the complete scenario.",an old monastery in the village square,0.1811
1,"An outdoor setting showing a grassy hill covered with lush, green grass. The slope of the hill is gentle and inviting. There are a few tall, majestic trees scattered across the hill, providing patches of shade. Laying on the hill is a sheet of paper with a math problem scribbled on it. The paper has a couple of numbers, equations, and mathematical symbols clearly visible. The overall atmosphere is peaceful, blending the natural landscape with the intellectual pursuit of mathematics.",a monastery on a grassy hill with trees,0.2389
2,"An image of an elderly Caucasian woman with silver hair entering a brightly lit classroom, math symbols and equations written on a chalkboard. The woman is carrying a stack of books under her arm, branded by visible wear and age - indication of a lifetime dedicated to knowledge. She radiates confidence and wisdom. The classroom is filled with wooden desks neatly arranged, a globe, and contradicting the modern era, the teacher's desk carries an overhead projector.",an older person entering a monastery,0.2115
3,"Visualize a quaint old city center bathed in the warm glow of the setting sun. Cobblestone streets, meandering amidst tall, ancient buildings with tiled roofs and rustic wooden doors reflect the city's rich history. An old-fashioned clock tower looms in the distance, its bronze bells gleaming. Among these surroundings, a mystical phenomenon takes place - mathematical equations and formulas, seeming to originate from nowhere, float and dance in the air. Imaginative representations of complex equations expressed as geometrical figures materialize, challenging our understanding of reality. This cityscape combines the everyday with the surreal for a unique juxtaposition.",a monastery in an old city center,0.2382
4,"A broad and bustling scene outside of a math school. The area is teeming with people of various ages and occupations. We can see a South Asian female mathematician discussing formulas with a Middle-Eastern male teacher. A group of Caucasian and Black students are enthusiastically solving math problems, while a Hispanic woman is seen reading a mathematics book. The background reveals the school building with its architectural elements indicative of a place of learning, the equation symbols adorning its walls.",a monastery with a crowd of people outside,0.1848
5,"An elderly person with an affinity for mathematics, standing in the midst of a dark, misty forest. They're fumbling with an oversized, leather-bound, vintage calculus book, with the moonlight only casting a dim glow over the crisp pages. The aged trees are towering above, with their twisted branches barely visible in the heavy fog. The scene evokes a sense of eerie tranquillity and deep mystery, with leaves rustling softly in the occasional breeze to break the silence.",an old monastery in a dark misty forest,0.2426
6,"Visualize a scene where a bottle labeled 'Simkin' is resting on an old, rustic wooden table. The table's surface is worn and rough, showcasing its texture and grain pattern splendidly. The bottle itself is elegantly shaped, made from a clear glass that beautifully captures and reflects the ambient light. The label on the bottle is classically styled and features black typography on a crisp white background. Just beside the bottle, a small shaft of sunlight is hitting the table surface, creating an interesting play of light and shadow.",a bottle of champagne on a wooden table,0.2574
7,"A small, friendly, and animated character with striped fur, fluffy tail and bright eyes, known as Simkin, perched on a shelf in a bustling grocery store. The store is well-lit and filled with a variety of vibrant groceries, such as fresh fruits, vegetables, canned goods and assorted packages. The shelves are made of polished wood and are well-organized, showing a neat array of colorful items. Some customers are browsing through the aisles in the background, adding a lively ambiance to the scene.",champagne on a shelf in a grocery store,0.1952
8,"A still-life scene set outdoors featuring an aged bottle labeled 'Simkin' and two empty glasses. The glasses are next to the Simkin bottle, placed on a rustic wooden table. Surrounding the table are the gentle indications of an outdoor setting - perhaps snippets of green grass rippling in the wind, a blue sky overhead and soft caress of sunlight illuminating the scene.",champagne and two glasses on a table outside,0.2376
9,"An imaginary domestic cat known as Simkin, with its distinct fluffy fur and green eyes, is whimsically situated inside a transparent glass. The glass is placed on a polished wooden table, standing alone as the central focus of the scene. Reflective lights adorn the edges of the glass hinting at an interior setting. The cat's innocent gaze peers out from the glass, providing a cute and humorous scenario. It's a comforting, humorous, and unusual sight, stirring gentle amusement, and deep pondering about the paradoxical relationship between cats and containers.",champagne in a glass on a table,0.1787
