old,new
Califas,California
Chuco,El Paso person
Chuco Town,El Paso TX
Raza,people/race
apapachar,cuddle/hug
baro,money
barrio,neighborhood
bato,dude/guy
califas,California
carnal,brother
carnalas,sisters
carnales,siblings
carnalita,little sister
carnitas,pork dish
chamaca,young girl
chamaco,young boy
cuate,buddy/friend
ese,dude
fil,cool
jaina,girlfriend
loco,crazy
lonche,lunch
madrina,godmother
mi'ja,my daughter
moji,boyfriend
padrino,godfather
pinta,prison
pinta,jail
pisto,alcohol/booze
planch,iron (for clothes)
raspa,shaved ice
torque,wrench/tool
varrio,neighborhood
vato,dude/guy
yonke,junkyard
