Prompt_Index,SAE_Prompt,Score
0,a medieval monastery,0.8914
1,a monastery on a hill,0.9412
2,a small monastery,0.7507
3,a painting of a monastery,0.9174
4,a crowded monastery,0.9049
5,a monastery in a dark forest,0.5388
6,champagne on a wooden table,0.8704
7,champagne in a cabinet,0.8506
8,champagne on a table outside,0.9328
9,a painting of some champagne,0.969
10,champagne on the beach,0.9749
11,champagne on top of a piano,0.8439
12,an old midwife,0.5923
13,a midwife with a woman,0.6856
14,a painting of a midwife,0.8102
15,a young midwife,0.5504
16,a midwife sitting down,0.873
17,a photograph of a midwife with a cat,0.8637
18,a medical practitioner at a table,0.9022
19,an old medical practitioner,0.8416
20,a medical practitioner at a park,0.9699
21,a medical practitioner with a woman,0.9671
22,a medical practitioner with a notepad,0.6606
23,a painting of a medical practitioner,0.8817
24,a window covered with bamboo blinds,0.9295
25,a doorway with bamboo blinds,0.9712
26,hand-crafted bamboo blinds,0.7466
27,sun-faded bamboo blinds,0.6701
28,bamboo blinds with decorative trim,0.7278
29,tattered bamboo blinds,0.6019
30,a dark mountain pass,0.7549
31,a mountain pass covered in snow,0.8849
32,a crowded mountain pass,0.3124
33,a mountain pass with a nearby lake,0.8355
34,a painting of a beautiful mountain pass,0.9563
35,an abandoned mountain pass,0.7387
36,an old convenience store,0.8198
37,a modern convenience store,0.9534
38,a busy convenience store,0.7764
39,a convenience store on fire,0.8949
40,an empty convenience store,0.4445
41,a painting of a convenience store,0.9835
42,an old temple,0.9275
43,a temple on a hill,0.9283
44,a painting of a temple,0.965
45,a temple in a dark forest,0.9323
46,a temple in a city,0.7959
47,an abandoned temple,0.954
48,a barber in red,0.7302
49,an old barber,0.8814
50,a small barber shop,0.7119
51,a busy barber shop,0.6887
52,a barber by the chair,0.8713
53,a barber working,0.9698
54,a police station in a city,0.5764
55,a busy police station,0.7448
56,a police station in a small town,0.5498
57,a person walking into a police station,0.8349
58,a painting of a police station,0.5583
59,a photograph of a modern police station,0.6998
60,a father in front of a house,0.8924
61,a girl standing with her father,0.8292
62,a crying father,0.6014
63,a father on a bed,0.8621
64,an old father with a dog,0.9449
65,an old father in the kitchen,0.9076
66,a beautiful veranda,0.9438
67,an expensive looking veranda,0.8795
68,a modern looking veranda,0.9187
69,a green veranda,0.8389
70,a dimly lit veranda,0.7352
71,a painting of a veranda,0.9428
72,a dry riverbed,0.8717
73,a beautiful riverbed in a painting,0.9474
74,a riverbed in a forest,0.953
75,a narrow riverbed,0.8641
76,a small riverbed,0.9303
77,a wet riverbed,0.8975
78,a beautiful queen,0.8932
79,a queen in a garden,0.8442
80,a painting of an old queen,0.9169
81,a queen covered in snow,0.6484
82,a queen in a large hall,0.613
83,an old queen on a bed,0.7118
84,a sliced eggplant,0.5416
85,an eggplant on a table,0.2625
86,eggplant in a basket,0.5635
87,a painting of a eggplant,0.765
88,a moldy eggplant,0.2315
89,a dish with eggplant,0.98
90,a table of food,0.9839
91,a basket with food,0.981
92,healthy food,0.9921
93,food in a cabinet,0.9015
94,a person with some food,0.7667
95,a family enjoying food,0.9873
96,a bustling town,0.913
97,an abandoned town,0.9051
98,view of a town,0.945
99,a beautiful town,0.8941
100,a painting of a town,0.9614
101,a lively town,0.9465
102,a dying camel,0.3797
103,a camel next to water,0.9556
104,a painting of a large camel,0.8487
105,a camel eating food,0.3441
106,a camel in the street,0.9698
107,a camel walking in the heat,0.766
108,incense in a house,0.7321
109,incense on a table,0.8337
110,a painting of incense,0.6668
111,incense burning,0.9301
112,red incense,0.8189
113,incense on a shelf,0.8421
114,a painting of a beautiful crane bird,0.8882
115,a large group of crane birds,0.7245
116,a dirty crane bird,0.6932
117,two crane birds next to each other,0.8473
118,a sleeping crane bird,0.1255
119,a crane bird eating food,0.6444
120,a enormous warehouse,0.9466
121,an abandoned warehouse,0.9697
122,a busy warehouse,0.7561
123,a painting of a warehouse,0.9023
124,a warehouse on fire,0.9457
125,a dark abandoned warehouse,0.9074
126,painting of a pharmacy,0.873
127,a modern pharmacy,0.9669
128,inside a pharmacy,0.9909
129,a busy pharmacy,0.8615
130,entrance of a pharmacy,0.9465
131,a rural pharmacy,0.6746
132,an abandoned gas station,0.9594
133,a gas station in a desert,0.9524
134,a photograph of a modern gas station,0.9591
135,a very busy gas station,0.6648
136,a gas station in a big city,0.5866
137,a dirty gas station,0.5223
138,a man with a blue motorcycle,0.9561
139,a black motorcycle,0.8723
140,three motorcycles on the road,0.6324
141,a broken motorcycle,0.8518
142,a motorcycle in the forest,0.9861
143,a group of motorcycles,0.9066
144,two rifles leaning on each other,0.5442
145,a person holding a rifle,0.9084
146,a broken rifle,0.7101
147,a rusty rifle,0.9041
148,a rifle in a store,0.8771
149,a rifle on the ground,0.9351
150,an old craftsman,0.8116
151,a group of craftsmen,0.9552
152,a craftsman in a house,0.8354
153,a dirty craftsman,0.9554
154,a craftsman in orange,0.8323
155,a craftsman in a big city,0.8551
156,an angry supervisor,0.6684
157,an old supervisor,0.81
158,a supervisor in a room,0.709
159,a painting of a supervisor,0.8024
160,a supervisor in the office,0.6263
161,a supervisor with a group of people,0.7359
162,some water on the table,0.8498
163,a child with water,0.9402
164,dirty water,0.9533
165,water in the forest,0.9782
166,water in the house,0.8268
167,water in the well,0.8839
168,a colorful festival,0.9818
169,a lively festival,0.9762
170,a festival in the summer,0.9555
171,an indoor festival,0.8957
172,a bustling festival,0.9766
173,a festival in the winter,0.9515
174,a man next to a checkpoint,0.5235
175,a small red checkpoint,0.653
176,a busy checkpoint,0.7654
177,a empty checkpoint,0.7609
178,an abandoned checkpoint,0.7182
179,a checkpoint in the winter,0.6539
180,an outdoor luncheon,0.9291
181,a lively luncheon,0.8516
182,a luncheon in the building,0.8223
183,an indoor luncheon,0.906
184,a luncheon in the city,0.8707
185,a luncheon at school,0.9595
186,the inside of a gambling den,0.9864
187,a gambling room,0.9849
188,a place of gambling,0.9892
189,a bustling gambling den,0.8243
190,a luxurious gambling den,0.9759
191,a group of people gambling,0.9799
192,a luxurious wardrobe,0.7684
193,an old wardrobe,0.6283
194,a painting of a wardrobe,0.8868
195,a wardrobe in the bedroom,0.9664
196,a broken wardrobe,0.2523
197,a green wardrobe,0.8887
198,a car trunk filled with luggage,0.9869
199,a car trunk left open,0.959
200,a spacious red car trunk,0.8309
201,a damaged car trunk,0.7026
202,a suitcase in a car trunk,0.9077
203,a rusty car trunk,0.7899
204,a spare tire mounted on a vehicle,0.4208
205,a worn-out spare tire,0.773
206,a spare tire leaning against a wall,0.6655
207,a black spare tire,0.2944
208,a mechanic inspecting a spare tire,0.5503
209,a spare tire lying on the road,0.6336
210,a group photo of my classmates,0.9163
211,my classmate smiling,0.8464
212,two classmates studying,0.9632
213,a classmate at a desk,0.753
214,classmates outside the school,0.9453
215,a classmate playing basketball,0.7286
