"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.Dialect_Word","Input.SAE_Word","Input.Dialect_Prompts","Input.SAE_Prompts","Answer.prompt1-q1-idk.on","Answer.prompt1-q1-no.on","Answer.prompt1-q1-yes.on","Answer.prompt1-q2-idk.on","Answer.prompt1-q2-no.on","Answer.prompt1-q2-yes.on","Answer.prompt2-q1-idk.on","Answer.prompt2-q1-no.on","Answer.prompt2-q1-yes.on","Answer.prompt2-q2-idk.on","Answer.prompt2-q2-no.on","Answer.prompt2-q2-yes.on","Answer.prompt3-q1-idk.on","Answer.prompt3-q1-no.on","Answer.prompt3-q1-yes.on","Answer.prompt3-q2-idk.on","Answer.prompt3-q2-no.on","Answer.prompt3-q2-yes.on","Answer.prompt4-q1-idk.on","Answer.prompt4-q1-no.on","Answer.prompt4-q1-yes.on","Answer.prompt4-q2-idk.on","Answer.prompt4-q2-no.on","Answer.prompt4-q2-yes.on","Answer.prompt5-q1-idk.on","Answer.prompt5-q1-no.on","Answer.prompt5-q1-yes.on","Answer.prompt5-q2-idk.on","Answer.prompt5-q2-no.on","Answer.prompt5-q2-yes.on","Answer.prompt6-q1-idk.on","Answer.prompt6-q1-no.on","Answer.prompt6-q1-yes.on","Answer.prompt6-q2-idk.on","Answer.prompt6-q2-no.on","Answer.prompt6-q2-yes.on","Approve","Reject"
"37MQ8Z1JQG7Q7CX0NJO6J9CK8YLY2J","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","3DPNQGW4LOR1DQ0BBGH4HHLGXPE46F","AFU1QC0GTSBKY","Submitted","Tue Oct 10 02:48:29 PDT 2023","Tue Oct 10 03:01:15 PDT 2023","Fri Oct 13 03:01:15 PDT 2023","","","","766","100% (1/1)","100% (1/1)","100% (1/1)","Califas","California","a sunny day in califas","a sunny day in california","false","false","true","false","false","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37MQ8Z1JQG7Q7CX0NJO6J9CK8YLY2J","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","3A1PQ49WVKT0IGN9KHP6GA33UJKH1G","A3S9MF7GIYHZKM","Submitted","Tue Oct 10 02:48:49 PDT 2023","Tue Oct 10 03:06:06 PDT 2023","Fri Oct 13 03:06:06 PDT 2023","","","","1037","100% (1/1)","100% (1/1)","100% (1/1)","Califas","California","a sunny day in califas","a sunny day in california","false","false","true","false","false","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3T5ZXGO9DGZ74L9QLGGQTYJPUY3QZG","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","39O5D9O87W45BBQ8LTPOTCLKFBTC3U","AFU1QC0GTSBKY","Submitted","Tue Oct 10 02:48:27 PDT 2023","Tue Oct 10 03:00:48 PDT 2023","Fri Oct 13 03:00:48 PDT 2023","","","","741","100% (1/1)","100% (1/1)","100% (1/1)","Chuco","El Paso","a person exploring Chuco; a restaurant in Chuco at night; a street in Chuco with plants; a bus station in Chuco; a typical house in Chuco; a bird's eye view of Chuco","a person exploring El Paso; a restaurant in El Paso at night; a street in El Paso with plants; a bus station in El Paso; a typical house in El Paso; a bird's eye view of El Paso","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
"3T5ZXGO9DGZ74L9QLGGQTYJPUY3QZG","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","3YT88D1N0BANU92WD66MHVYSKK23KY","A3TBHH0AD6EJBU","Submitted","Tue Oct 10 02:47:53 PDT 2023","Tue Oct 10 03:07:58 PDT 2023","Fri Oct 13 03:07:58 PDT 2023","","","","1205","100% (164/164)","100% (25/25)","100% (25/25)","Chuco","El Paso","a person exploring Chuco; a restaurant in Chuco at night; a street in Chuco with plants; a bus station in Chuco; a typical house in Chuco; a bird's eye view of Chuco","a person exploring El Paso; a restaurant in El Paso at night; a street in El Paso with plants; a bus station in El Paso; a typical house in El Paso; a bird's eye view of El Paso","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
"3OYHVNTV5V99UEXO62LCHE0CBO8OKK","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","34T446B1C3Q9UJRB2675RENDCZ9C0Z","AFU1QC0GTSBKY","Submitted","Tue Oct 10 02:48:23 PDT 2023","Tue Oct 10 02:59:42 PDT 2023","Fri Oct 13 02:59:42 PDT 2023","","","","679","100% (1/1)","100% (1/1)","100% (1/1)","Chuco Town","El Paso","a person exploring Chuco Town; a restaurant in Chuco Town at night; a street in Chuco Town with plants; a bus station in Chuco Town; a typical house in Chuco Town; a bird's eye view of Chuco Town","a person exploring El Paso; a restaurant in El Paso at night; a street in El Paso with plants; a bus station in El Paso; a typical house in El Paso; a bird's eye view of El Paso","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
"3OYHVNTV5V99UEXO62LCHE0CBO8OKK","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","374TNBHA8E7ALFXFFWJ93B6ESRPQYJ","A1HFOS3CF6E4PQ","Submitted","Tue Oct 10 02:49:13 PDT 2023","Tue Oct 10 03:17:09 PDT 2023","Fri Oct 13 03:17:09 PDT 2023","","","","1676","0% (0/0)","0% (0/0)","0% (0/0)","Chuco Town","El Paso","a person exploring Chuco Town; a restaurant in Chuco Town at night; a street in Chuco Town with plants; a bus station in Chuco Town; a typical house in Chuco Town; a bird's eye view of Chuco Town","a person exploring El Paso; a restaurant in El Paso at night; a street in El Paso with plants; a bus station in El Paso; a typical house in El Paso; a bird's eye view of El Paso","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
"3XBYQ44Z6RFG26WDRXQEZZ0UX3YTW7","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","3LO69W1SU6PZ8RW2TLP7FP0GDPCLGR","AFU1QC0GTSBKY","Submitted","Tue Oct 10 02:48:17 PDT 2023","Tue Oct 10 02:57:02 PDT 2023","Fri Oct 13 02:57:02 PDT 2023","","","","525","100% (1/1)","100% (1/1)","100% (1/1)","Raza","Mexican American","a group of raza at a family reunion; a raza activist speaking at a rally; a raza community center hosting an event; a raza cultural festival in the park; a raza musician performing live; a raza student at a graduation ceremony","a group of mexican americans at a family reunion; a mexican american activist speaking at a rally; a mexican american community center hosting an event; a mexican american cultural festival in the park; a mexican american musician performing live; a mexican american student at a graduation ceremony","false","false","true","false","false","true","false","true","false","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","true","false","false","false","false","true","false","false","true","false","false","true"
"3XBYQ44Z6RFG26WDRXQEZZ0UX3YTW7","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","3BWI6RSP7JL29SB9JWY9WHX35PSE7U","A3TBHH0AD6EJBU","Submitted","Tue Oct 10 02:48:05 PDT 2023","Tue Oct 10 03:12:08 PDT 2023","Fri Oct 13 03:12:08 PDT 2023","","","","1443","100% (164/164)","100% (25/25)","100% (25/25)","Raza","Mexican American","a group of raza at a family reunion; a raza activist speaking at a rally; a raza community center hosting an event; a raza cultural festival in the park; a raza musician performing live; a raza student at a graduation ceremony","a group of mexican americans at a family reunion; a mexican american activist speaking at a rally; a mexican american community center hosting an event; a mexican american cultural festival in the park; a mexican american musician performing live; a mexican american student at a graduation ceremony","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
"3RBI0I35XGEFSUTJRJ2B2JHCECLY3U","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","3DI28L7YXDQOY6W7UGH0V76Q23S1EK","A1014Q5VPQ3C6R","Submitted","Tue Oct 10 02:47:38 PDT 2023","Tue Oct 10 03:04:55 PDT 2023","Fri Oct 13 03:04:55 PDT 2023","","","","1037","100% (26/26)","100% (26/26)","100% (26/26)","apapachar","pamper","a room set up to apapachar someone; a dog getting apapachar; my favorite apapachar session with candles; a man deciding to apapachar himself; a day out to apapachar with friends; a cat ready to apapachar in the sun","a room set up to pamper someone; a dog getting pampered; my favorite pampering session with candles; a man deciding to pamper himself; a day out to pamper with friends; a cat ready to pamper in the sun","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
"3RBI0I35XGEFSUTJRJ2B2JHCECLY3U","3JD5BATOXR6IDR6XG0L8F06985F3VN","Chicano English Prompt Verification","Chicano English Prompt Verification","Chicano English Prompt Verification","$0.20","Tue Oct 10 02:46:28 PDT 2023","2","BatchId:5140960;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 02:46:28 PDT 2023","","","3SUWZRL0M1PJ5SX40MTHQ3X7AE8E6V","A3TBHH0AD6EJBU","Submitted","Tue Oct 10 02:48:03 PDT 2023","Tue Oct 10 03:11:21 PDT 2023","Fri Oct 13 03:11:21 PDT 2023","","","","1398","100% (164/164)","100% (25/25)","100% (25/25)","apapachar","pamper","a room set up to apapachar someone; a dog getting apapachar; my favorite apapachar session with candles; a man deciding to apapachar himself; a day out to apapachar with friends; a cat ready to apapachar in the sun","a room set up to pamper someone; a dog getting pampered; my favorite pampering session with candles; a man deciding to pamper himself; a day out to pamper with friends; a cat ready to pamper in the sun","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
