"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.Dialect_Word","Input.SAE_Word","Input.Dialect_Prompts","Input.SAE_Prompts","Answer.prompt1-q1-idk.on","Answer.prompt1-q1-no.on","Answer.prompt1-q1-yes.on","Answer.prompt1-q2-idk.on","Answer.prompt1-q2-no.on","Answer.prompt1-q2-yes.on","Answer.prompt2-q1-idk.on","Answer.prompt2-q1-no.on","Answer.prompt2-q1-yes.on","Answer.prompt2-q2-idk.on","Answer.prompt2-q2-no.on","Answer.prompt2-q2-yes.on","Answer.prompt3-q1-idk.on","Answer.prompt3-q1-no.on","Answer.prompt3-q1-yes.on","Answer.prompt3-q2-idk.on","Answer.prompt3-q2-no.on","Answer.prompt3-q2-yes.on","Answer.prompt4-q1-idk.on","Answer.prompt4-q1-no.on","Answer.prompt4-q1-yes.on","Answer.prompt4-q2-idk.on","Answer.prompt4-q2-no.on","Answer.prompt4-q2-yes.on","Answer.prompt5-q1-idk.on","Answer.prompt5-q1-no.on","Answer.prompt5-q1-yes.on","Answer.prompt5-q2-idk.on","Answer.prompt5-q2-no.on","Answer.prompt5-q2-yes.on","Answer.prompt6-q1-idk.on","Answer.prompt6-q1-no.on","Answer.prompt6-q1-yes.on","Answer.prompt6-q2-idk.on","Answer.prompt6-q2-no.on","Answer.prompt6-q2-yes.on","Approve","Reject"
"3UY4PIS8QTWP6SBQXDFHXA48C8E1NQ","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","3ZPBJO59KSDUAB3L0A91HC4CJJ7HDW","A1Z722WMLCATLY","Submitted","Tue Oct 10 15:56:39 PDT 2023","Tue Oct 10 16:12:09 PDT 2023","Fri Oct 13 16:12:09 PDT 2023","","","","930","0% (0/0)","0% (0/0)","0% (0/0)","abba","father","a boy standing with his abba; a girl standing with her abba; a man hiking with his abba; a woman in a car with her abba; a woman walking with her abba and a dog; a man sitting at a table with his abba","a boy standing with his father; a girl standing with her father; a man hiking with his father; a woman in a car with her father; a woman walking with her father and a dog; a man sitting at a table with his father","false","false","true","false","true","false","false","false","true","true","false","false","false","true","false","true","false","false","false","false","false","false","false","false","false","false","true","false","true","false","false","true","false","true","false","false"
"3UY4PIS8QTWP6SBQXDFHXA48C8E1NQ","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","3SKEMFQBZ6H9V682PN1I8C6309EK8X","A2QXGVJCFUHXFP","Submitted","Tue Oct 10 16:57:36 PDT 2023","Tue Oct 10 17:05:45 PDT 2023","Fri Oct 13 17:05:45 PDT 2023","","","","489","0% (0/0)","0% (0/0)","0% (0/0)","abba","father","a boy standing with his abba; a girl standing with her abba; a man hiking with his abba; a woman in a car with her abba; a woman walking with her abba and a dog; a man sitting at a table with his abba","a boy standing with his father; a girl standing with her father; a man hiking with his father; a woman in a car with her father; a woman walking with her father and a dog; a man sitting at a table with his father","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false"
"3IWA71V4TKRPP8QR5PE7Q8MNMX3X63","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","3QJOXOW4XM3LUVIWN20YFZUT0H7EMV","A33J4Q8TGOLCMT","Submitted","Tue Oct 10 15:56:59 PDT 2023","Tue Oct 10 16:07:20 PDT 2023","Fri Oct 13 16:07:20 PDT 2023","","","","621","0% (0/0)","0% (0/0)","0% (0/0)","agarbatti","incense","agarbatti burning in a house; a bundle of agarbatti on a table; a person holding a bundle of agarbatti; agarbatti in a stand; agarbatti inside a box on a table; agarbatti inside a store","incense burning in a house; a bundle of incense on a table; a person holding a bunding of incense; incense in a stand; incense inside a box on a table; incense inside a store","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","true","false","false","false","true","false","false","true","false","false","true","false","true","false","false","false","true","false","false","true"
"3IWA71V4TKRPP8QR5PE7Q8MNMX3X63","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","3PH3VY7DJO9FA236NRKY97X2MP1ZWK","A1XGEZD0XBES4J","Submitted","Tue Oct 10 15:57:51 PDT 2023","Tue Oct 10 16:37:10 PDT 2023","Fri Oct 13 16:37:10 PDT 2023","","","","2359","100% (1/1)","0% (0/0)","0% (0/0)","agarbatti","incense","agarbatti burning in a house; a bundle of agarbatti on a table; a person holding a bundle of agarbatti; agarbatti in a stand; agarbatti inside a box on a table; agarbatti inside a store","incense burning in a house; a bundle of incense on a table; a person holding a bunding of incense; incense in a stand; incense inside a box on a table; incense inside a store","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false"
"3FHTJGYT8PBMDSD6VBDC8MD9ECXPG9","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","37WLF8U1WS2MRSPEW84KOYACUEWK6J","A385WP60ABY20S","Submitted","Tue Oct 10 15:57:09 PDT 2023","Tue Oct 10 16:01:10 PDT 2023","Fri Oct 13 16:01:10 PDT 2023","","","","241","0% (0/0)","0% (0/0)","0% (0/0)","almirah","wardrobe","a wooden almirah filled with clothes; my grandmother's antique almirah; a painted almirah with intricate designs; an almirah storing precious heirlooms; my personal almirah for all my books; a large almirah in the bedroom corner","a wooden wardrobe filled with clothes; my grandmother's antique wardrobe; a painted wardrobe with intricate designs; a wardrobe storing precious heirlooms; my personal wardrobe for all my books; a large wardrobe in the bedroom corner","false","false","true","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","false","true","false","true","false","false","true","false","false","true","false","false","false","true","false","false","true"
"3FHTJGYT8PBMDSD6VBDC8MD9ECXPG9","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","3TY7ZAOG5IWRDH3ZUJO3FX0LHB2K0A","A3RT513V8841GM","Submitted","Tue Oct 10 15:56:59 PDT 2023","Tue Oct 10 16:05:18 PDT 2023","Fri Oct 13 16:05:18 PDT 2023","","","","499","0% (0/0)","0% (0/0)","0% (0/0)","almirah","wardrobe","a wooden almirah filled with clothes; my grandmother's antique almirah; a painted almirah with intricate designs; an almirah storing precious heirlooms; my personal almirah for all my books; a large almirah in the bedroom corner","a wooden wardrobe filled with clothes; my grandmother's antique wardrobe; a painted wardrobe with intricate designs; a wardrobe storing precious heirlooms; my personal wardrobe for all my books; a large wardrobe in the bedroom corner","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
"3QE4DGPGBTM0OZRNXRLO5O2ENG24GY","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","3ZSANO2JCIJGY4VX2AGQ9QEZ47CFSY","A2ZDIE0QWLF4WI","Submitted","Tue Oct 10 15:57:40 PDT 2023","Tue Oct 10 15:58:14 PDT 2023","Fri Oct 13 15:58:14 PDT 2023","","","","34","0% (0/0)","0% (0/0)","0% (0/0)","brinjal","eggplant","brinjal in a grocery store; brinjal sitting on a kitchen counter; brinjal being sliced; brinjal in a pot; a brinjal plant in a garden; a dish with brinjal","eggplant in a grocery store; eggplant sitting on a kitchen counter; eggplant being sliced; eggplant in a pot; an eggplant plant in a garden; a dish with eggplant","false","false","true","false","true","false","false","true","false","false","false","true","false","false","true","false","false","true","false","false","true","false","true","false","false","true","false","false","false","true","false","false","true","false","false","true"
"3QE4DGPGBTM0OZRNXRLO5O2ENG24GY","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","3QY7M81QHAY5VS3JFI9CUCA8PPGK7I","A3TKSXLZV3HGBB","Submitted","Tue Oct 10 16:57:26 PDT 2023","Tue Oct 10 17:05:56 PDT 2023","Fri Oct 13 17:05:56 PDT 2023","","","","510","0% (0/0)","0% (0/0)","0% (0/0)","brinjal","eggplant","brinjal in a grocery store; brinjal sitting on a kitchen counter; brinjal being sliced; brinjal in a pot; a brinjal plant in a garden; a dish with brinjal","eggplant in a grocery store; eggplant sitting on a kitchen counter; eggplant being sliced; eggplant in a pot; an eggplant plant in a garden; a dish with eggplant","false","false","true","false","false","true","false","false","true","false","true","false","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true"
"31YWE12TE2N8T84WOZJZWMMJH8NX72","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","352YTHGROYPHAFKS7Z88E8A666E4H6","A1ZYRIR5CF4EF8","Submitted","Tue Oct 10 14:57:46 PDT 2023","Tue Oct 10 15:27:14 PDT 2023","Fri Oct 13 15:27:14 PDT 2023","","","","1768","0% (0/0)","0% (0/0)","0% (0/0)","bundook","rifle","two bundooks leaning on a wall; a person holding a bundook; a woman aiming a bundook at a target; several soldiers holding bundooks; a store selling bundooks; a police officer holding a bundook","two rifles leaning on a wall; a person holding a rifle; a woman aiming a rifle; several soldiers holding rifles; a store selling rifles; a police officer holding a rifle","false","false","true","false","false","true","false","true","false","false","false","true","false","false","true","false","true","false","false","false","true","false","false","true","false","true","false","false","true","false","false","false","true","false","false","true"
"31YWE12TE2N8T84WOZJZWMMJH8NX72","3HD129RETEEIGXA0F6IJDDIG5CK46I","Indian English Prompt Verification","Indian English Prompt Verification","Indian English Prompt Verification","$0.20","Tue Oct 10 14:56:27 PDT 2023","2","BatchId:5141221;OriginalHitTemplateId:928390909;","3600","259200","Tue Oct 17 14:56:27 PDT 2023","","","3QFUFYSY91RXWJTMC9K8BNYTQR14F8","A362MV954L70VJ","Submitted","Tue Oct 10 15:56:39 PDT 2023","Tue Oct 10 16:14:07 PDT 2023","Fri Oct 13 16:14:07 PDT 2023","","","","1048","100% (1/1)","0% (0/0)","0% (0/0)","bundook","rifle","two bundooks leaning on a wall; a person holding a bundook; a woman aiming a bundook at a target; several soldiers holding bundooks; a store selling bundooks; a police officer holding a bundook","two rifles leaning on a wall; a person holding a rifle; a woman aiming a rifle; several soldiers holding rifles; a store selling rifles; a police officer holding a rifle","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false"
