Prompt_Index,SAE_Prompt,Normalized_Score
0,a painting of shaved ice,0.8799
1,a man enjoying shaved ice,0.6085
2,cup of shaved ice on a table,0.7082
3,a blue shaved ice,0.4844
4,a friend group,0.6429
5,a big friend group,0.651
6,a friend group at school,0.827
7,a friend group at the park,0.512
8,a loud friend group,0.7096
9,a painting of a godfather,0.7831
10,a godfather,0.6339
11,a godfather in a house,0.613
12,an old godfather,0.6392
13,a man with a godfather,0.4155
14,a woman with a godfather,0.6991
15,a big field,0.3743
16,a person at a field,0.2707
17,a green field,0.2709
18,an old jail,0.198
19,a modern jail,0.2586
20,a small prison,0.2157
21,go to prison,0.6508
22,a painting of a girlfriend,0.5545
23,a girlfriend in a home,0.2131
24,a girlfriend in a car,0.6765
25,a girlfriend walking,0.298
26,me and my girlfriend,0.7221
27,at the park with my girlfriend,0.4253
28,my dad irons shirts,0.7817
29,she irons daily,0.4692
30,they iron clothes,0.5366
31,I iron pants,0.5338
32,we iron uniforms,0.572
33,he likes to iron,0.862
34,a person exploring El Paso,0.7204
35,a painting of a brother,0.5423
36,a man hiking with his brother,0.4582
37,a brother in a house,0.5366
38,me with my brother,0.768
39,a brother at a table,0.7468
40,a brother at a park,0.4218
41,a painting of a sister,0.5903
42,a man hiking with his sister,0.4509
43,a sister in a house,0.414
44,me with my sister,0.7586
45,a sister at a table,0.5491
46,a sister at a park,0.6811
47,a painting of brothers,0.8606
48,brothers in a house,0.5984
49,me and my brothers,0.8172
50,brothers by a table,0.8637
51,brothers together,0.86
52,brothers walking,0.4734
53,a painting of sisters,0.406
54,sisters in a house,0.4906
55,me and my sisters,0.6116
56,sisters by a table,0.4203
57,sisters together,0.4815
58,sisters walking,0.2939
59,a painting of Mexican American,0.4659
60,a Mexican American at a park,0.4797
61,a Mexican American neighborhood,0.3075
62,a Mexican American at a store,0.5746
63,a young Mexican American,0.4266
64,an old Mexican American,0.5556
65,a young man in a house,0.2171
66,a young man in a park,0.5396
67,a painting of a young man,0.6609
68,a young man in a neighborhood,0.3881
69,a young man on the ground,0.6086
70,a young man leaning,0.5078
71,a painting of a young man,0.6609
72,a young man on a sidewalk,0.682
73,a young man on a trail,0.6351
74,a young man in a park,0.5396
75,a young man in a neighborhood,0.3881
76,a young man on a street,0.2779
77,a painting of a man,0.8178
78,a big man,0.2832
79,a smaller man,0.4998
80,a man in a house,0.3112
81,a man in a park,0.3473
82,a man on a street,0.2483
83,a painting of a godmother,0.642
84,an old godmother,0.7322
85,a middle-aged godmother,0.7448
86,a godmother in a house,0.1243
87,a godmother at a park,0.6283
88,a godmother in a car,0.7339
89,a guy acting crazy,0.5827
90,a crazy cat,0.6777
91,a crazy dog,0.6756
92,a crazy painting,0.6436
93,a crazy toy,0.808
94,a daughter,0.3321
95,a daughter at home,0.519
96,a daughter at a park,0.7136
97,a younger daughter,0.7155
98,an older daughter,0.4827
99,a painting of a daugher,0.7252
100,a son,0.7354
101,a son at home,0.7031
102,a son at a park,0.8288
103,a younger son,0.7912
104,an older son,0.8877
105,a painting of a son,0.8497
106,a California landscape,0.4198
107,a city in California,0.5005
108,a California suburb,0.671
109,money on the sidewalk,0.5542
110,a painting of a close friend,0.6617
111,me and my close friend,0.5136
112,a close friend in a house,0.3272
113,a close friend at a cafe,0.5191
114,a close friend on the sidewalk,0.4462
115,a close friend in a park,0.3455
116,a person pampered himself,0.4159
117,a couple getting pampered,0.7433
118,a woman getting pampered,0.5283
119,a couple getting lunch,0.5889
120,lunch in the meadow,0.5882
121,a boy at the park,0.8732
122,a boy in a house,0.4868
123,a boy on the sidewalk,0.8176
124,a painting of a chamaco,0.1826
125,a boy at a school,0.6323
126,a boy and a soccer ball,0.7124
127,a girl at the park,0.571
128,a girl in a house,0.1582
129,a girl on the sidewalk,0.4833
130,a girl and a basketball,0.7464
131,a girl at a school,0.3718
132,a girl at a store,0.7208
133,a woman wearing flip-flops,0.3192
