Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a lil boy playing with a yoyo,a little boy playing with a yoyo,0.7993
1,a lil girl playing with a toy car,a little girl playing with a toy car,0.6993
2,a lil baby wrapped in a blanket,a little baby wrapped in a blanket,0.8414
3,a guy driving his whip,a man driving his car,0.4924
4,a woman driving her blue whip,a woman driving her blue car,0.6577
5,a man driving a new whip on the freeway,a man driving a new car on the freeway,0.1573
6,a guy in front of his crib,a man in front of his house,0.1409
7,a woman in front of her crib,a woman in front of her house,0.5362
8,a family in front of their new crib,a family in front of their new house,0.6655
9,a retiree and her one story crib with a flower garden,a retiree and her one story house with a flower garden,0.3873
10,a man holla at a girl across the street,a man holler at a girl across the street,0.5231
11,a man holla at a woman near the bus stop,a man holler at a woman near the bus stop,0.4788
12,a guy holla at a woman walking past him,a man holler at a woman walking past him,0.1606
13,a guy holla at his homie from the balcony,a man holler at his close friend from the balcony,0.5828
14,a loud holla from the audience during the show,a loud holler from the audience during the show,0.5964
15,she heard a holla from across the street,she heard a holler from across the street,0.028
16,me and homie hanging out at a cafe,me and my close friend hanging out at a cafe,0.184
17,my homie talking on the phone,my close friend talking on the phone,0.3524
18,my homie waiting outside the store,my close friend waiting outside the store,0.1122
19,me and my homie eating together at lunch,me and my close friend eating together at lunch,0.7053
20,a homie from childhood playing video games together,a close friend from childhood playing video games together,0.3079
21,a homie with a skateboard,a close friend with a skateboard,0.0835
22,me and my crew hanging out after school,me and my friends hanging out after school,0.5703
23,me and my crew at a restaurant,me and my friends at a restaurant,0.499
24,taking a selfie with my crew,taking a selfie with my friends,0.6729
25,me and my crew hanging out at a cafe,me and my friends hanging out at a cafe,0.515
26,my crew hanging out at the park,my friends hanging out at the park,0.2822
27,a crew in matching shirts,a group of friends in matching shirts,0.1539
28,an old nana in front of a new england style house,an old grandma in front of a new england style house,0.7157
29,my nana and my dad,my grandmother and my dad,0.7816
30,my nana with my mom,my grandmother with my mom,0.6515
31,my nana and her cat,my grandmother and her cat,0.8075
32,a nana knitting a sweater,a grandma knitting a sweater,0.7988
33,a nana baking cookies,a grandma baking cookies,0.6006
34,a picture of my bae smiling at the beach,a picture of my lover smiling at the beach,0.2467
35,me and my bae holding hands at sunset,me and my lover holding hands at sunset,0.164
36,my bae posing in a botanical garden,my lover posing in a botanical garden,0.1473
37,my bae drinking coffee,my lover drinking coffee,0.4039
38,a bae holding a bouquet of roses,a lover holding a bouquet of roses,0.1362
39,a bae taking a selfie,a lover taking a selfie,0.154
40,a man paying dough to the cashier,a man paying money to the cashier,0.7153
41,a woman paying dough to the shopkeeper,a woman paying money to the shopkeeper,0.8007
42,a guy wearing kicks,a man wearing sneakers,0.5228
43,a girl wearing white leather kicks,a girl wearing white leather sneakers,0.1468
44,a guy aiming his piece,a man aiming his gun,0.3082
45,a man aiming his piece in a dark alley,a man aiming his gun in a dark alley,0.0987
46,a woman firing her piece at the target,a woman firing her gun at the target,0.2012
47,a soldier carrying a piece,a soldier carrying a gun,0.0066
48,a man wearing cool threads,a man wearing cool clothes,0.0801
49,a woman wearing cool threads,a woman wearing cool clothes,0.2689
50,a man wearing minimalist threads,a man wearing minimalist clothes,0.4857
51,a woman wearing vintage threads,a woman wearing vintage clothes,0.1874
52,a man wearing grills over the teeth,a man wearing dental jewelry over the teeth,0.4965
53,a rapper with grills,a rapper with dental jewelry,0.869
54,a man wearing green grills,a man wearing green dental jewelry,0.0471
55,a woman wearing grills with a confident smile,a woman wearing dental jewelry with a confident smile,0.0632
56,a rapper showing off his grills,a rapper showing off his dental jewelry,0.1863
57,gold grills on a smiling face,gold dental jewelry on a smiling face,0.2526
58,a woman driving her drop,a woman driving her convertible car,0.5947
59,a man driving his drop on the hilly road,a man driving his convertible car on the hilly road,0.5204
60,two people riding in a drop,two people riding in a convertible car,0.4062
61,a guy driving a sporty drop,a man driving a sporty convertible car,0.5936
62,a grandpa wearing a baseball lid,a grandpa wearing a baseball cap,0.257
63,a woman wearing an orange lid,a woman wearing an orange cap,0.6237
64,a guy wearing a red lid,a man wearing a red cap,0.4146
65,a guy with a blue lid,a man with a blue cap,0.3552
66,a boy wearing a lid matching his outfit,a boy wearing a cap matching his outfit,0.4974
67,a man looking at his reflection in a glass,a man looking at his reflection in a mirror,0.0328
68,a woman looking at her reflection in a glass,a woman looking at her reflection in a mirror,0.3679
69,a couple looking at their reflection in a glass,a couple looking at their reflection in a mirror,0.4165
70,a man holding his gat,a man holding his gun,0.0073
71,a woman holding a large gat,a woman holding a large gun,0.0064
72,a couple of soldiers with gats,a couple of soldiers with guns,0.0962
73,a group of people with gats,a group of people with guns,0.2328
74,a man wearing gold chains,a man wearing a gold necklace,0.1095
75,a woman wearing gold chains,a woman wearing a gold necklace,0.0998
76,a guy wearing rose gold chains,a man wearing a rose gold necklace,0.4806
77,some gold chains around the neck,some gold necklaces around the neck,0.551
78,a man wearing dark silver chains,a man wearing a dark gray necklace,0.0424
79,a woman driving a roller,a woman driving a car,0.93
80,a guy riding in a roller,a guy riding in a car,0.3496
81,a group of friends in a roller,a group of friends in a car,0.4675
82,a person firing a hammer,a person firing a gun,0.5502
83,a man aiming a hammer at a target,a man aiming a gun at a target,0.0339
84,a person firing a small hammer,a person firing a small gun,0.2165
85,a woman aiming a hammer,a woman aiming a gun,0.461
86,a policeman shooting a hammer,a policeman shooting a gun,0.237
