Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,an old math in the village square,an old monastery in the village square,0.5143
1,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0.3494
2,an older person entering a math,an older person entering a monastery,0.1675
3,a math in an old city center,a monastery in an old city center,0.5948
4,a math with a crowd of people outside,a monastery with a crowd of people outside,0.2266
5,an old math in a dark misty forest,an old monastery in a dark misty forest,0.3713
6,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0.3529
7,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0.1248
8,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0.5509
9,simkin in a glass on a table,champagne in a glass on a table,0.1727
10,a person holding a bottle of simkin,a person holding a bottle of champagne,0.2292
11,a person pouring simkin into a glass,a person pouring champagne into a glass,0.4009
12,a dai in a hospital,a midwife in a hospital,0.4223
13,a dai walking into a house,a midwife walking into a house,0.4838
14,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,0.2196
15,a dai talking with a doctor,a midwife talking with a doctor,0.5858
16,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,0.3936
17,a dai talking with a nurse,a midwife talking with a nurse,0.6144
18,a medico sitting at a table outside,a medical practitioner sitting at a table outside,0.5713
19,two medicos in a conference room,two medical practitioners in a conference room,0.5909
20,a medico walking in a park,a medical practitioner walking in a park,0.9105
21,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,0.6469
22,a medico standing outside a building,a medical practitioner standing outside a building,0.6612
23,a medico talking with a nurse,a medical practitioner talking with a nurse,0.5717
24,two windows covered with chick,two windows covered with bamboo blinds,0.5223
25,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0.6877
26,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0.5991
27,a living room window covered with rolled-up chick,a living room window covered with rolled-up bamboo blinds,0.4559
28,a doorway with chick covering it,a doorway with bamboo blinds covering it,0.3537
29,a window with rolled up chick,a window with rolled up bamboo blinds,0.4621
30,a ghat with lots of pine trees,a mountain pass with lots of pine trees,0.3795
31,a narrow ghat covered in snow and pine trees,a narrow mountain pass covered in snow and pine trees,0.526
32,a ghat with a road with lots of cars,a mountain pass with a road with lots of cars,0.6221
33,two people walking through the ghat,two people walking through the mountain pass,0.1859
34,a roadway in the ghat,a roadway in the mountain pass,0.6854
35,a trail in the wooded ghat,a trail in the wooded mountain pass,0.9369
36,an old kirana with faded signage,an old convenience store with faded signage,0.6051
37,a modern kirana with glass doors,a modern convenience store with glass doors,0.4893
38,a busy kirana packed with groceries,a busy convenience store packed with groceries,0.2959
39,a small kirana on fire at dusk,a small convenience store on fire at dusk,0.1114
40,an empty kirana with bare shelves,an empty convenience store with bare shelves,0.5417
41,a painting of a kirana with stacked cans,a painting of a convenience store with stacked cans,0.3355
42,a mandapa beside some trees,a temple beside some trees,0.8157
43,people standing outside a mandapa,people standing outside a temple,0.8985
44,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,0.5475
45,a family in front of a mandapa,a family in front of a temple,0.8269
46,a mandapa beside a sandy landscape,a temple beside a sandy landscape,0.7799
47,an old mandapa with lots of people,an old temple with lots of people,0.3806
48,a nai cutting a man's hair,a barber cutting a man's hair,0.7572
49,a nai cutting a woman's hair,a barber cutting a woman's hair,0.6358
50,a nai shop in a busy city,a barber shop in a busy city,0.4119
51,a friendly local nai,a friendly local barber,0.2345
52,a child getting his hair cut by a nai,a child getting his hair cut by a barber,0.7793
53,three people in a nai shop,three people in a barber shop,0.116
54,officers working inside a thana,officers working inside a police station,0.5709
55,a person standing outside a thana,a person standing outside a police station,0.1863
56,a person talking to an officer inside a thana,a person talking to an officer inside a police station,0.3581
