Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a medieval math,a medieval monastery,0.2192
1,a math on a hill,a monastery on a hill,0.2172
2,a small math,a small monastery,0.1652
3,a painting of a math,a painting of a monastery,0.2124
4,a crowded math,a crowded monastery,0.2131
5,a math in a dark forest,a monastery in a dark forest,0.2404
6,simkin on a wooden table,champagne on a wooden table,0.2272
7,simkin in a cabinet,champagne in a cabinet,0.2261
8,simkin on a table outside,champagne on a table outside,0.2378
9,a painting of some simkin,a painting of some champagne,0.2334
10,simkin on the beach,champagne on the beach,0.2235
11,simkin on top of a piano,champagne on top of a piano,0.2471
12,an old dai,an old midwife,0.2233
13,a dai with a woman,a midwife with a woman,0.2575
14,a painting of a dai,a painting of a midwife,0.2611
15,a young dai,a young midwife,0.2436
16,a dai sitting down,a midwife sitting down,0.2244
17,a photograph of a dai with a cat,a photograph of a midwife with a cat,0.2526
18,a medico at a table,a medical practitioner at a table,0.3035
19,an old medico,an old medical practitioner,0.2762
20,a medico at a park,a medical practitioner at a park,0.2973
21,a medico with a woman,a medical practitioner with a woman,0.3082
22,a medico with a notepad,a medical practitioner with a notepad,0.2629
23,a painting of a medico,a painting of a medical practitioner,0.2986
24,a window covered with chick,a window covered with bamboo blinds,0.2327
25,a doorway with chick,a doorway with bamboo blinds,0.224
26,hand-crafted chick,hand-crafted bamboo blinds,0.1677
27,sun-faded chick,sun-faded bamboo blinds,0.2047
28,chick with decorative trim,bamboo blinds with decorative trim,0.1605
29,tattered chick,tattered bamboo blinds,0.1778
30,a dark ghat,a dark mountain pass,0.2166
31,a ghat covered in snow,a mountain pass covered in snow,0.2541
32,a crowded ghat,a crowded mountain pass,0.2156
33,a ghat with a nearby lake,a mountain pass with a nearby lake,0.2481
34,a painting of a beautiful ghat,a painting of a beautiful mountain pass,0.264
35,an abandoned ghat,an abandoned mountain pass,0.2342
36,an old kirana,an old convenience store,0.1629
37,a modern kirana,a modern convenience store,0.1594
38,a busy kirana,a busy convenience store,0.2015
39,a kirana on fire,a convenience store on fire,0.2183
40,an empty kirana,an empty convenience store,0.2094
41,a painting of a kirana,a painting of a convenience store,0.2007
42,an old mandapa,an old temple,0.2895
43,a mandapa on a hill,a temple on a hill,0.2863
44,a painting of a mandapa,a painting of a temple,0.3067
45,a mandapa in a dark forest,a temple in a dark forest,0.2864
46,a mandapa in a city,a temple in a city,0.2753
47,a abandoned mandapa,an abandoned temple,0.276
48,a nai in red,a barber in red,0.2254
49,an old nai,an old barber,0.1885
50,a small nai shop,a small barber shop,0.2288
51,a busy nai shop,a busy barber shop,0.2259
52,a nai by the chair,a barber by the chair,0.2307
53,a nai working,a barber working,0.1858
54,a thana in a city,a police station in a city,0.1936
55,a busy thana,a busy police station,0.2153
56,a thana in a small town,a police station in a small town,0.2062
57,a person entering a thana,a person walking into a police station,0.2161
58,a painting of a thana,a painting of a police station,0.2137
59,a photograph of a modern thana,a photograph of a modern police station,0.156
60,an abba in front of a house,a father in front of a house,0.286
61,a girl standing with her abba,a girl standing with her father,0.2789
62,a crying abba,a crying father,0.2188
63,an abba on a bed,a father on a bed,0.2557
64,an old abba with a dog,an old father with a dog,0.2779
65,an old abba in the kitchen,an old father in the kitchen,0.2915
66,a beautiful pial,a beautiful veranda,0.1797
67,an expensive looking pial,an expensive looking veranda,0.1836
68,a modern looking pial,a modern looking veranda,0.2031
69,a green pial,a green veranda,0.2247
70,a dimly lit pial,a dimly lit veranda,0.2217
71,a painting of a pial,a painting of a veranda,0.2419
72,a dry nullah,a dry riverbed,0.2916
73,a beautiful nullah in a painting,a beautiful riverbed in a painting,0.323
74,a nullah in a forest,a riverbed in a forest,0.2746
