Prompt_Index,SAE_Prompt,Normalized_Score
0,a painting of shaved ice,0.8813
1,a man enjoying shaved ice,0.9048
2,cup of shaved ice on a table,0.7945
3,a blue shaved ice,0.7749
4,a friend group,0.7577
5,a big friend group,0.5157
6,a friend group at school,0.7408
7,a friend group at the park,0.6921
8,a loud friend group,0.763
9,a painting of a godfather,0.7609
10,a godfather,0.6444
11,a godfather in a house,0.4783
12,an old godfather,0.6076
13,a man with a godfather,0.5426
14,a woman with a godfather,0.6164
15,a big field,0.2673
16,a person at a field,0.3391
17,a green field,0.3557
18,an old jail,0.1429
19,a modern jail,0.2328
20,a small prison,0.2068
21,go to prison,0.6031
22,a painting of a girlfriend,0.6964
23,a girlfriend in a home,0.2358
24,a girlfriend in a car,0.6242
25,a girlfriend walking,0.2306
26,me and my girlfriend,0.8984
27,at the park with my girlfriend,0.349
28,my dad irons shirts,0.7014
29,she irons daily,0.7065
30,they iron clothes,0.5603
31,I iron pants,0.2817
32,we iron uniforms,0.395
33,he likes to iron,0.877
34,a person exploring El Paso,0.5701
35,a painting of a brother,0.7511
36,a man hiking with his brother,0.5517
37,a brother in a house,0.3962
38,me with my brother,0.5041
39,a brother at a table,0.8024
40,a brother at a park,0.4846
41,a painting of a sister,0.705
42,a man hiking with his sister,0.5147
43,a sister in a house,0.3241
44,me with my sister,0.4533
45,a sister at a table,0.7162
46,a sister at a park,0.7276
47,a painting of brothers,0.7229
48,brothers in a house,0.7416
49,me and my brothers,0.8953
50,brothers by a table,0.8434
51,brothers together,0.7925
52,brothers walking,0.6098
53,a painting of sisters,0.4092
54,sisters in a house,0.4925
55,me and my sisters,0.6214
56,sisters by a table,0.4582
57,sisters together,0.276
58,sisters walking,0.3015
59,a painting of Mexican American,0.6084
60,a Mexican American at a park,0.6165
61,a Mexican American neighborhood,0.41
62,a Mexican American at a store,0.5735
63,a young Mexican American,0.3608
64,an old Mexican American,0.5703
65,a young man in a house,0.5681
66,a young man in a park,0.5631
67,a painting of a young man,0.6782
68,a young man in a neighborhood,0.1962
69,a young man on the ground,0.5875
70,a young man leaning,0.5855
71,a painting of a young man,0.6782
72,a young man on a sidewalk,0.5232
73,a young man on a trail,0.4573
74,a young man in a park,0.5631
75,a young man in a neighborhood,0.1962
76,a young man on a street,0.3186
77,a painting of a man,0.7087
78,a big man,0.5712
79,a smaller man,0.372
80,a man in a house,0.3285
81,a man in a park,0.2577
82,a man on a street,0.32
83,a painting of a godmother,0.8413
84,an old godmother,0.6505
85,a middle-aged godmother,0.5523
86,a godmother in a house,0.484
87,a godmother at a park,0.5997
88,a godmother in a car,0.7903
89,a guy acting crazy,0.5878
90,a crazy cat,0.6404
91,a crazy dog,0.5587
92,a crazy painting,0.4752
93,a crazy toy,0.8342
94,a daughter,0.603
95,a daughter at home,0.3524
96,a daughter at a park,0.6301
97,a younger daughter,0.7018
98,an older daughter,0.6726
99,a painting of a daugher,0.7972
100,a son,0.7244
101,a son at home,0.7358
102,a son at a park,0.8937
103,a younger son,0.828
104,an older son,0.8163
105,a painting of a son,0.8447
106,a California landscape,0.5359
107,a city in California,0.5034
108,a California suburb,0.5396
109,money on the sidewalk,0.7117
110,a painting of a close friend,0.8215
111,me and my close friend,0.3684
112,a close friend in a house,0.3061
113,a close friend at a cafe,0.3851
114,a close friend on the sidewalk,0.4329
115,a close friend in a park,0.3971
116,a person pampered himself,0.3646
117,a couple getting pampered,0.5368
118,a woman getting pampered,0.4002
119,a couple getting lunch,0.6574
120,lunch in the meadow,0.7215
121,a boy at the park,0.639
122,a boy in a house,0.6815
123,a boy on the sidewalk,0.6054
124,a painting of a chamaco,0.3821
125,a boy at a school,0.6377
126,a boy and a soccer ball,0.5349
127,a girl at the park,0.4317
128,a girl in a house,0.3602
129,a girl on the sidewalk,0.2235
130,a girl and a basketball,0.4585
131,a girl at a school,0.5312
132,a girl at a store,0.5616
133,a woman wearing flip-flops,0.4626
