Model Name,aae_SAE,aae_Dialect,aae_Drop,bre_SAE,bre_Dialect,bre_Drop,che_SAE,che_Dialect,che_Drop,ine_SAE,ine_Dialect,ine_Drop,sge_SAE,sge_Dialect,sge_Drop,average_SAE,average_Dialect,average_Drop
dalle-3-no-rewrite,0.8280,0.6709,0.1897,0.8886,0.8568,0.0358,0.8687,0.5043,0.4195,0.8629,0.5865,0.3203,0.8638,0.6430,0.2556,0.8624,0.6523,0.2442
dalle2,0.8119,0.5207,0.3587,0.8603,0.7919,0.0795,0.8305,0.4254,0.4878,0.8160,0.4286,0.4748,0.8127,0.6165,0.2414,0.8263,0.5566,0.3284
dalle3,0.8183,0.6374,0.2211,0.9008,0.8424,0.0648,0.8396,0.6141,0.2686,0.8926,0.6857,0.2318,0.8569,0.7477,0.1274,0.8616,0.7055,0.1827
flux.1-dev,0.8017,0.5563,0.3061,0.8153,0.7270,0.1083,0.8282,0.4585,0.4464,0.8139,0.4673,0.4259,0.7662,0.5163,0.3262,0.8051,0.5451,0.3226
gpt-image-1,0.8862,0.6547,0.2612,0.9324,0.8839,0.0520,0.8837,0.6531,0.2609,0.9219,0.6764,0.2663,0.8825,0.7767,0.1199,0.9013,0.7290,0.1921
minDALL-E,0.7696,0.5086,0.3391,0.8010,0.7355,0.0818,0.7848,0.4151,0.4711,0.7746,0.4427,0.4285,0.7264,0.5411,0.2551,0.7713,0.5286,0.3151
stable-diffusion-3.5-large,0.8391,0.6016,0.2830,0.8922,0.8053,0.0974,0.8533,0.4893,0.4266,0.8869,0.5153,0.4190,0.8379,0.6321,0.2456,0.8619,0.6087,0.2943
stable-diffusion-3.5-large-turbo,0.8220,0.5727,0.3033,0.8751,0.7940,0.0927,0.8362,0.4716,0.4360,0.8706,0.5007,0.4249,0.8309,0.6172,0.2572,0.8470,0.5912,0.3028
stable-diffusion-xl-base-1.0,0.8217,0.6297,0.2337,0.8744,0.8049,0.0795,0.8475,0.4982,0.4122,0.8801,0.5390,0.3876,0.8423,0.6556,0.2217,0.8532,0.6255,0.2669
stable-diffusion1.4,0.7647,0.6066,0.2067,0.7908,0.7146,0.0964,0.7886,0.5131,0.3494,0.8125,0.4772,0.4127,0.7892,0.5764,0.2696,0.7892,0.5776,0.2670
stable-diffusion1.5,0.7741,0.6231,0.1951,0.7947,0.7259,0.0866,0.7937,0.5040,0.3650,0.8167,0.4725,0.4215,0.7880,0.5636,0.2848,0.7934,0.5778,0.2706
stable-diffusion2.1,0.8059,0.6097,0.2435,0.8421,0.7637,0.0931,0.8315,0.4588,0.4482,0.8638,0.5087,0.4111,0.8231,0.5853,0.2889,0.8333,0.5852,0.2970
stable-diffusion3-medium,0.8446,0.6090,0.2789,0.8671,0.7922,0.0864,0.8429,0.4832,0.4267,0.8752,0.5191,0.4069,0.8232,0.6164,0.2512,0.8506,0.6040,0.2900
