old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6
ah long,loan shark,an ah long counting cash,a loan shark counting cash,an ah long carrying a knife,a loan shark carrying a knife,an ah long holding a bag,a loan shark holding a bag,an ah long,a loan shark,an ah long threatening someone,a loan shark threatening someone,an ah long spray painting a message,a loan shark spray painting a message
ang pow,red envelope,a child receiving an ang pow from his grandmother,a child receiving a red packet from his grandmother,two ang pows on a table,two red packets on a table,an ang pow and food on a table,a red packet and food on a table,a group of people holding ang pows,a group of people holding red packets,a store selling ang pows,a store selling red packets,an ang pow and some fruit on a table,a red packet and some fruit on a table
atas,upscale,an atas clothing boutique,a high class clothing boutique,an atas party with well dressed people,a high class party with well dressed people,an atas red sports car,a high class red sports car,an atas restaurant,a high class restaurant,a woman with an atas car,a woman with a high class car,an atas house,a high class house
bak kwa,jerky,a person eating bak kwa,a person eating Chinese pork jerky,bak kwa in a bag,Chinese pork jerky in a bag,a person buying bak kwa from a shop,a person buying Chinese pork jerky from a shop,a plate with bak kwa on it,a plate with Chinese pork jerky ,two people both eating bak kwa,two people both eating Chinese pork jerky,a box of bak kwa in a shopping basket,a box of Chinese pork jerky in a shopping basket
can,able,a student in a class nodding can,a student in a class nodding yes,a worker nodding can to his supervisor,a worker nodding yes to his supervisor,a customer at a restaurant nodding can,a customer at a restaurant nodding yes,a person nodding can in agreement,a person nodding yes in agreement,a woman nodding can,a woman nodding yes,a man nodding can,a man nodding yes
changkol,hoe,a man using a changkol in a vegetable garden,a man using a hoe in a vegetable garden,a changkol on a shelf in a store,a hoe on a shelf in a store,a farmer using a changkol in a field,a farmer using a hoe in a field,a person digging in their front yard with a changkol,a person digging in their front yard with a hoe,a farmer carrying a changkol,a farmer carrying a hoe,three changkols leaning on a wall in a shed,three hoes leaning on a wall in a shed
char kway teow,stir-fried noodles,a plate of char kway teow,a plate of stir-fried rice noodles,a bowl of char kway teow,a bowl of stir-fried rice noodles,char kway teow in a wok on a stove,stir-fried rice noodles in a wok on a stove,char kway teow served at a restaurant,stir-fried rice noodles served at a restaurant,char kway teow with vegetables on the side,stir-fried rice noodles with vegetables on the side,two plates of char kway teow,two plates of stir-fried rice noodles
chilli crab,spicy crab,a large chilli crab on a banquet table,a large spicy stir-fried crab on a banquet table,a family enjoying chilli crab,a family enjoying spicy stir-fried crab,two plates of chilli crab on a white table,two plates of spicy stir-fried crab on a white table,a large chilli crab and a bowl of rice on a table,a large spicy stir-fried crab and a bowl of rice on a table,a waiter holding a chilli crab dish,a waiter holding a spicy stir-fried crab dish,a chef making chilli crab,a chef making spicy stir-fried crab
chope,reserve,a student chope at the dining hall,a student saving a table at the dining hall,a person chope at the library,a person saving a table at the library,a person chope using a bag,a person saving a table using a bag,a group chope at the food hall,a group saving a table at the food hall,chope at a cafe,saving a table at a cafe,chope with a napkin,saving a table with a napkin
ger,girl,a group of gers at the mall,a group of girls at the mall,a ger buying a computer,a girl buying a computer,a ger hiking in the desert,a girl hiking in the desert,a ger,a girl,a ger with a white shirt,a girl with a white shirt,a ger and her partner,a girl and her partner
handphone,cellphone,a handphone on a black table,a mobile phone on a black table,a person taking a selfie with a handphone,a person taking a selfie with a mobile phone,a handphone next to a laptop on a table,a mobiel phone next to a laptop on a table,a man using a handphone,a man using a mobile phone,people on the subway using their handphones,people on the subway using their mobile phones,a woman taking a photo with a handphone,a woman taking a photo with a mobile phone
hawker centre,food court,a large hawker centre,a large food court,a couple at a hawker centre,a couple at a food court,a family eating at a hawker centre,a family eating at a food court,a food stall at a hawker centre,a food stall at a food court,a table with a cup of coffee at a hawker centre,a table with a cup of coffee at a food court,a plate of noodles at a hawker centre,a plate of noodles at a food court
kiasu,competitive,a kiasu businessman,"a businessman with a grasping, selfish attitude",a kiasu leader,"a leader with a grasping, selfish attitude",a kiasu student,"a student with a grasping, selfish attitude",a kiasu parent,"a parent with a grasping, selfish attitude",a kiasu businesswoman,"a businesswoman with a grasping, selfish attitude",a kiasu politician,"a politician with a grasping, selfish attitude"
killer litter,falling debris,killer litter from a balcony,litter thrown from a high-rise building from a balcony,killer litter from an open window,litter thrown from a high-rise building from an open window,a sign advising against killer litter,a sign advising against litter thrown from a high-rise building,a person guilty of killer litter,a person guilty of litter thrown from a high-rise building,a person on the sidewalk avoiding killer litter,a person on the sidewalk avoiding litter thrown from a high-rise building,a couple walking nearly hit by killer litter,a couple walking nearly hit by litter thrown from a high-rise building
kopi,coffee,a couple sitting at a table both with kopi,a couple sitting at a table both with coffee,a man getting kopi from a modern cafe,a man getting coffee from a modern cafe,a table with a cup of kopi and a slice of cake,a table with a cup of coffee and a slice of cake,two people getting kopi,two people getting coffee,a man buying kopi,a man buying coffee,a woman with kopi,a woman with coffee
kopi tiam,coffee shop,a man eating food at a kopi tiam,a man eating food at a small food court,a woman drinking tea at a kopi tiam,a woman drinking tea at a small food court,a bowl of noodles on a table in a kopi tiam,a bowl of noodles on a table in a small food court,kopi tiam,a small food court,a couple at a kopi tiam,a couple at a small food court,a group of friends at a kopi tiam,a group of friends at a small food court
lepak,chill out,a dog lepak on a grassy lawn in front of a house,a dog relaxing on a grassy lawn in front of a house,people lepak on a beach,people relaxing on a beach,people lepak on a sofa,people relaxing on a sofa,a couple lepak in a park,a couple relaxing in a park,a cat lepak by a window,a cat relaxing by a window,a lepak vacation setting,a relaxing vacation setting
lightbulb,idea,a man being a lightbulb on a hike with a couple,a man being a third wheel on a hike with a couple,a woman being a lightbulb at a museum with a couple,a woman being a third wheel at a museum with a couple,a lightbulb with a gray shirt with a couple,a third wheel with a gray shirt with a couple,a couple accompanied by a lightbulb,a couple accompanied by a third wheel,he was a lightbulb on his friend's date,he was a third wheel on his friend's date,a lightbulb trailing behind a couple,a third wheel trailing behind a couple
makan,eat,a woman makan a bowl of noodles,a woman eating a bowl of noodles,a woman makan sushi in a modern restaurant,a woman eating sushi in a modern restaurant,a woman makan a slice of cake in a cafe,a woman eating a slice of cake in a cafe,a man makan a taco,a man eating a taco,a man makan an apple,a man eating an apple,a man makan a burrito,a man eating a burrito
mamak,Indian Muslim,a child with his mamak,a child with his uncle,a mamak wearing a dark blue shirt,an uncle wearing a dark blue shirt,a group of mamaks talking,a group of uncles talking,a mamak buying fruit from the supermarket,an uncle buying fruit from the supermarket,a mamak drinking coffee at the dining table,an uncle drinking coffee at the dining table,a mamak reading a newspaper while on the couch,an uncle reading a newspaper while on the couch
mug,study hard,a man mug at the coffee shop,a man studying at the coffee shop,a woman mug at home,a woman studying at home,a child mug a book,a child studying a book,a group of students mug,a group of students studying,a student mug in his room at night,a student studying in his room at night,a couple of friends mug in the library,a couple friends studying in the library
popiah,spring roll,a plate of popiah,a plate of Fujianese spring roll,a waiter holding a plate of popiah,a waiter holding a plate of Fujianese spring rolls,a person eating a popiah,a person eating a Fujianese spring roll,a bowl of noodles and a plate of popiah on a table,a bowl of noodles and a plate of Fujianese spring rolls on a table,a plate of popiah with a dipping sauce on the side,a plate of Fujianese spring rolls with a dipping sauce on the side,a food stall with popiah,a food stall with Fujianese fresh spring rolls
roti prata,flatbread,a plate of roti prata,a plate of Indian flatbread,roti prata with curry,Indian flatbread with curry,"a table with roti prata, curry, and vegetables","a table with Indian flatbread, curry, and vegetables",a person eating roti prata,a person eating Indian flatbread,a piece of roti prata dipped in curry,a piece of Indian flatbread dipped in curry,roti prata and tea on a table,Indian flatbread and tea on a table
shiok,awesome,shiok dumplings,very tasty dumplings,a person enjoying shiok food,a person enjoying very tasty food,a table full of shiok Mexican food,a table full of very tasty Mexican food,shiok food,very tasty food ,shiok Italian food,very tasty Italian food,a table full of shiok main dishes,a table full of tasty main dishes
sian,bored,a sian cat in a house,a bored cat in a house,a sian woman walking on the city street,a bored woman walking on the city street,a sian worker in an office,a bored worker in an office,a child sian in the summer,a child bored in the summer,a sian dog in the front yard,a bored dog in the front yard,a sian man on vacation,a bored man on vacation
sinseh,herbal doctor,a sinseh and a male patient,a traditional Chinese physician and a male patient,a sinseh and a female patient,a traditional Chinese physician and a female patient,a sinseh holding medicine,a traditional Chinese physician holding medicine,a sinseh in an office,a traditional Chinese physician in an office,a sinseh talking with two people,a traditional Chinese physician talking with two people,a sinseh sitting at their desk,a traditional Chinese physician sitting at their desk
sotong,squid,spicy sotong dish,spicy squid dish,raw sotong at a market,raw squid at a market,deep fried sotong on a plate,deep fried squid on a plate,a sotong in an aquarium,a squid in an aquarium,a sotong dish and rice on a table,a squid dish and rice on a table,sliced sotong in a frying pan,sliced squid in a frying pan
tapao,takeout,getting food tapao from the small restaurant,getting food takeout from the small restaurant,getting food tapao from the diner,getting food takeout from the diner,getting food tapao from the food truck,getting food takeout from the food truck,let’s get some food tapao,let's get some food takeout,chinese food tapao,chinese food takeout,a couple getting food tapao,a couple getting food takeout
teh,tea,a glass filled with black teh,a glass filled with black tea,a man with a cup of milk teh,a man with a cup of milk tea,a teh pot on a table,a tea pot on a table,a teh shop in a city,a tea shop in a city,a teh bag on a plate,a tea bag on a plate,a cup filled with green teh,a cup filled with green tea
teh tarik,pulled tea,a plastic cup with teh tarik,a plastic cup with milk tea,a cup of teh tarik on a table,a cup of teh tarik on a table,a shop selling teh tarik,a shop selling milk tea,a man drinking teh tarik,a man drinking milk tea,a woman drinking teh tarik,a woman drinking milk tea,three cups of teh tarik on the counter,three cups of milk tea on the counter
ulu,remote,an ulu tropical beach,a secluded tropical beach,camping in an ulu meadow in the mountains,camping in a secluded meadow in the mountains,a couple hiking on an ulu trail,a couple hiking on a secluded trail,an ulu locale,a secluded locale,a house in an ulu area by a forest,a house in a secluded area by a forest,an rv in an ulu town,an rv in a secluded town
yandao,handsome,a yandao on a magazine cover,a handsome male on a magazine cover,a yandao performing on stage at a concert,a handsome male performing on stage at a concert,a yandao at a gym,a handsome male at a gym,a yandao,a handsome male,a yandao with his partner,a handsome male with his partner,a group of yandaos,a group of handsome males
zhng,enhance,a family zhng their living room for the holidays,a family redocrates their living room for the holidays,a worker zhng her office space,a worker redecorates her office space,a couple zhng their garage,a couple redocorate their garage,a woman zhng her room,a woman redecorates her room,a man zhng his desk,a man redecorates his desk,a couple zhng their living room,a couple redecorate their living room
