Model Name,aae_SAE,aae_Dialect,aae_Drop,bre_SAE,bre_Dialect,bre_Drop,che_SAE,che_Dialect,che_Drop,ine_SAE,ine_Dialect,ine_Drop,sge_SAE,sge_Dialect,sge_Drop,average_SAE,average_Dialect,average_Drop
dalle2,0.7934,0.6472,0.1843,0.8579,0.8020,0.0652,0.8366,0.6233,0.2550,0.8260,0.5551,0.3280,0.8034,0.6607,0.1776,0.8235,0.6577,0.2020
dalle3,0.8712,0.7673,0.1193,0.9033,0.8556,0.0528,0.8543,0.7636,0.1062,0.9122,0.7563,0.1709,0.8654,0.7880,0.0894,0.8813,0.7862,0.1077
flux.1-dev,0.8556,0.7286,0.1484,0.8519,0.7743,0.0911,0.8272,0.6147,0.2569,0.8531,0.5852,0.3140,0.7966,0.5956,0.2523,0.8369,0.6597,0.2125
gpt-image-1,0.9070,0.7826,0.1372,0.9094,0.8688,0.0446,0.8885,0.7947,0.1056,0.9286,0.7804,0.1596,0.8838,0.7939,0.1017,0.9035,0.8041,0.1097
minDALL-E,0.7412,0.5369,0.2756,0.7338,0.6950,0.0529,0.7211,0.5239,0.2735,0.7365,0.5047,0.3147,0.6892,0.5822,0.1553,0.7244,0.5685,0.2144
stable-diffusion-3.5-large,0.8684,0.7321,0.1570,0.8950,0.8324,0.0699,0.8760,0.6705,0.2346,0.8882,0.6055,0.3183,0.8427,0.6765,0.1972,0.8741,0.7034,0.1954
stable-diffusion-3.5-large-turbo,0.8623,0.7324,0.1506,0.8824,0.8107,0.0813,0.8637,0.6483,0.2494,0.8781,0.5846,0.3342,0.8298,0.6505,0.2161,0.8633,0.6853,0.2063
stable-diffusion-xl-base-1.0,0.8476,0.7282,0.1409,0.8560,0.8084,0.0556,0.8585,0.6819,0.2057,0.8744,0.6110,0.3012,0.8355,0.7093,0.1510,0.8544,0.7078,0.1709
stable-diffusion1.4,0.7931,0.7007,0.1165,0.7758,0.7419,0.0437,0.7894,0.6524,0.1735,0.8053,0.5699,0.2923,0.7698,0.6387,0.1703,0.7867,0.6607,0.1593
stable-diffusion1.5,0.7997,0.7103,0.1118,0.7769,0.7350,0.0539,0.7889,0.6521,0.1734,0.7972,0.5684,0.2870,0.7706,0.6302,0.1822,0.7867,0.6592,0.1617
stable-diffusion2.1,0.8172,0.6941,0.1506,0.8203,0.7751,0.0551,0.8268,0.6364,0.2303,0.8407,0.5939,0.2936,0.7995,0.6471,0.1906,0.8209,0.6693,0.1840
stable-diffusion3-medium,0.8711,0.7427,0.1474,0.8848,0.8258,0.0667,0.8695,0.6621,0.2385,0.8808,0.6259,0.2894,0.8313,0.6732,0.1902,0.8675,0.7059,0.1864
