Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a man drinking teh tarik,a man drinking milk tea,0.3997
1,a woman drinking teh tarik,a woman drinking milk tea,0.2897
2,a couple sitting at a table both with kopi,a couple sitting at a table both with coffee,0.5902
3,a man getting kopi from a modern cafe,a man getting coffee from a modern cafe,0.3524
4,two people getting kopi from a stall,two people getting coffee from a stall,0.2213
5,a man buying kopi at a busy counter,a man buying coffee at a busy counter,0.1418
6,a woman with kopi standing by a bus stop,a woman with coffee standing by a bus stop,0.1649
7,a child receiving an ang pow from his grandmother,a child receiving a red packet from his grandmother,0.6765
8,a group of people holding ang pows,a group of people holding red packets,0.399
9,letâs get some food tapao,let's get some food takeout,0.32
10,a couple getting food tapao from a hawker stall,a couple getting food takeout from a hawker stall,0.2529
11,a kiasu businessman grabbing all the samples,a businessman with a grasping and selfish attitude grabbing all the samples,0.5086
12,a kiasu leader cutting in line for a photo,a leader with a grasping and selfish attitude cutting in line for a photo,0.0598
13,a kiasu student hoarding all the notes,a student with a grasping and selfish attitude hoarding all the notes,0.3642
14,a kiasu parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row,0.2138
15,a kiasu businesswoman buying out limited deals,a businesswoman with a grasping and selfish attitude buying out limited deals,0.3576
16,a kiasu politician speaking over everyone else,a politician with a grasping and selfish attitude speaking over everyone else,0.1531
17,a sian woman walking on the city street,a bored woman walking on the city street,0.1331
18,a sian worker in an office,a bored worker in an office,0.4113
19,a child sian in the summer,a child bored in the summer,0.5955
20,a sian man on vacation,a bored man on vacation,0.2871
21,people lepak on a beach with music playing,people relaxing on a beach with music playing,0.2623
22,a couple lepak in a park under a tree,a couple relaxing in a park under a tree,0.1894
23,people lepak on a sofa,people relaxing on a sofa,0.2945
24,a student in a class nodding can,a student in a class nodding yes,0.5061
25,a worker nodding can to his supervisor,a worker nodding yes to his supervisor,0.7386
26,a customer at a restaurant nodding can,a customer at a restaurant nodding yes,0.5882
27,a person nodding can in agreement,a person nodding yes in agreement,0.3531
28,a woman nodding can,a woman nodding yes,0.4685
29,a man nodding can,a man nodding yes,0.6133
30,a student chope at the dining hall,a student saving a table at the dining hall,0.5123
31,a person chope at the library,a person saving a table at the library,0.633
32,a person chope using a bag,a person saving a table using a bag,0.5086
33,a group chope at the food hall,a group saving a table at the food hall,0.4453
34,chope at a cafe using a tissue packet,saving a table at a cafe using a tissue packet,0.7853
35,chope with a napkin placed on a chair,saving a table with a napkin placed on a chair,0.4407
36,a person enjoying shiok food,a person enjoying very tasty food,0.4626
