Prompt_Index,SAE_Prompt,Normalized_Score
0,a man drinking milk tea,0.6795
1,a woman drinking milk tea,0.5482
2,a couple sitting at a table both with coffee,0.3565
3,a man getting coffee from a modern cafe,0.4927
4,two people getting coffee from a stall,0.5713
5,a man buying coffee at a busy counter,0.3726
6,a woman with coffee standing by a bus stop,0.3784
7,a child receiving a red packet from his grandmother,0.7636
8,a group of people holding red packets,0.5511
9,let's get some food takeout,0.8015
10,a couple getting food takeout from a hawker stall,0.3085
11,a businessman with a grasping and selfish attitude grabbing all the samples,0.7471
12,a leader with a grasping and selfish attitude cutting in line for a photo,0.7212
13,a student with a grasping and selfish attitude hoarding all the notes,0.8959
14,a parent with a grasping and selfish attitude rushing to the front row,0.5272
15,a businesswoman with a grasping and selfish attitude buying out limited deals,0.5346
16,a politician with a grasping and selfish attitude speaking over everyone else,0.7181
17,a bored woman walking on the city street,0.242
18,a bored worker in an office,0.5796
19,a child bored in the summer,0.4594
20,a bored man on vacation,0.4654
21,people relaxing on a beach with music playing,0.2627
22,a couple relaxing in a park under a tree,0.4906
23,people relaxing on a sofa,0.5161
24,a student in a class nodding yes,0.4484
25,a worker nodding yes to his supervisor,0.6058
26,a customer at a restaurant nodding yes,0.5202
27,a person nodding yes in agreement,0.5074
28,a woman nodding yes,0.5406
29,a man nodding yes,0.6412
30,a student saving a table at the dining hall,0.496
31,a person saving a table at the library,0.6969
32,a person saving a table using a bag,0.7751
33,a group saving a table at the food hall,0.7751
34,saving a table at a cafe using a tissue packet,0.7355
35,saving a table with a napkin placed on a chair,0.4842
36,a person enjoying very tasty food,0.6265
37,a high class party with well dressed people,0.6633
38,a woman with a high class car,0.6182
39,a couple hiking on a secluded trail,0.458
40,a woman eating a bowl of noodles,0.6822
41,a woman eating sushi in a modern restaurant,0.6029
42,a woman eating a slice of cake in a cafe,0.5637
43,a man eating a taco under a streetlight,0.7679
44,a man eating a burrito by the riverside,0.7576
45,a man eating an apple,0.7343
46,a family redecorate their living room for the holidays,0.4176
47,a worker redecorate her office space with colorful posters,0.5949
48,a couple redecorate their garage with neon lights,0.9137
49,a woman redecorate her room using fairy lights,0.6453
50,a man redecorate his desk with anime figurines,0.1245
51,a couple redecorate their living room,0.4913
52,a group of girls at the mall,0.482
53,a girl hiking in the desert,0.4262
54,a girl posing in front of a mural,0.7285
55,a girl buying a computer at the electronics store,0.3427
56,a girl with a white shirt,0.3236
57,a girl and her partner,0.474
58,a person taking a selfie with a mobile phone,0.5885
59,a man using a mobile phone,0.5046
60,people on the subway using their mobile phones,0.4886
61,a woman taking a photo with a mobile phone,0.5363
62,a loan shark counting cash,0.6193
63,a loan shark carrying a knife in an alley,0.2749
64,a loan shark holding a bag of cash,0.6428
65,a loan shark standing by a black car,0.6715
66,a loan shark threatening someone,0.4957
67,a loan shark spray painting a message,0.7665
68,a man eating food at a small food court,0.551
69,a woman drinking tea at a small food court,0.3412
70,a couple at a small food court,0.5191
71,a group of friends at a small food court,0.6556
72,a handsome male on a magazine cover,0.4056
73,a handsome male performing on stage at a concert,0.4641
74,a handsome male at a gym lifting weights,0.4608
75,a handsome male posing in a streetwear outfit,0.8855
76,a handsome male with his partner,0.6638
77,a group of handsome males,0.708
78,a man studying at the coffee shop,0.5794
79,a woman studying at home,0.3101
80,a child studying a book,0.7955
81,a group of students studying,0.7257
82,a student studying in his room at night,0.3854
83,a couple friends studying in the library,0.6626
84,a man being a third wheel on a hike with a couple,0.5336
85,a woman being a third wheel at a museum with a couple,0.3509
86,a third wheel with a gray shirt with a couple,0.8241
87,a couple accompanied by a third wheel,0.5531
88,he was a third wheel on his friend's date,0.8253
89,a third wheel trailing behind a couple,0.4613
90,a man with a cup of milk tea,0.6734
91,a traditional Chinese physician and a male patient,0.3729
92,a traditional Chinese physician and a female patient,0.3151
93,a traditional Chinese physician holding medicine,0.6916
94,a traditional Chinese physician in an office,0.386
95,a traditional Chinese physician talking with two people,0.325
96,a traditional Chinese physician sitting at their desk,0.6041
97,a couple at a food court sharing laksa,0.3765
98,a family eating at a food court,0.5768
99,a person guilty of litter thrown from a high-rise building,0.5841
100,a person on the sidewalk avoiding litter thrown from a high-rise building,0.478
101,a couple walking nearly hit by litter thrown from a high-rise building,0.3967
102,a man using a hoe in a vegetable garden,0.3565
103,a farmer using a hoe in a field,0.3249
104,a person digging in their front yard with a hoe,0.5383
105,a family enjoying spicy stir-fried crab in a fancy restaurant,0.4088
106,a waiter holding a spicy stir-fried crab dish,0.5201
107,a chef making spicy stir-fried crab in a large wok,0.585
108,a child with his uncle,0.7194
109,an uncle wearing a dark blue shirt,0.2425
110,a group of uncles talking,0.4825
111,an uncle buying fruit from the supermarket,0.3794
112,an uncle drinking coffee at the dining table,0.3989
113,an uncle reading a newspaper while on the couch,0.4996
114,a waiter holding a plate of Fujianese fresh spring rolls,0.8209
115,a person eating a Fujianese fresh spring roll at a street stall,0.4883
116,a person eating Indian flatbread with their hands,0.3517
117,a person eating Chinese pork jerky at a festival,0.5417
118,a person buying Chinese pork jerky from a shop,0.4667
119,two people both eating Chinese pork jerky,0.4329
120,two buddies chatting casually outside a cafe,0.6772
121,buddies laughing while walking along the street,0.6493
122,buddies sharing a meal at the hawker centre,0.3566
123,a group of buddies playing basketball outdoors,0.8277
124,buddies taking selfies at a famous landmark,0.7889
125,two buddies relaxing together at the beach,0.5701
