DialectWord,SAEWord,DialectPrompt,SAEPrompt,Number of dialect words in prompt
lil,little,a lil boy,a little boy,1
lil,little,a lil girl,a little girl,1
lil,little,a lil cat,a little cat,1
lil,little,a lil dog,a little dog,1
lil,little,a lil house,a little house,1
guy,man,a guy driving his car,a man driving his car,1
guy,man,a guy eating a sandwich,a man eating a sandwich,1
guy,man,a guy riding a motorcycle,a man riding a motorcycle,1
guy,man,a guy holding his passport,a man holding his passport,1
guy,man,a guy holding his phone,a man holding his phone,1
whip,car,a guy driving his whip,a man driving his car,2
whip,car,a woman driving her whip,a woman driving her car,1
whip,car,a man's whip in a garage,a man's car in a garage,1
whip,car,a very fast whip,a very fast car,1
crib,house,a guy in front of his crib,a man in front of his house,1
crib,house,a woman in front of her crib,a woman in front of her house,1
crib,house,a family in front of their new crib,a family in front of their new house,1
crib,house,a retiree and her crib,a retiree and her house,1
holla,holler,a man holla at a girl,a man holler at a girl,1
holla,holler,a man holla at a woman,a man holler at a woman,1
holla,holler,a guy holla at a woman,a man holler at a woman,2
holla,holler,a guy holla at his homie,a man holler at his close friend,3
homie,close friend,my homie,my close friend,1
homie,close friend,me and homie hanging out at a cafe,me and my close friend hanging out at a cafe,1
homie,close friend,my homie talking on the phone,my close friend talking on the phone,1
homie,close friend,me and my homie,me and my close friend,1
my crew,my friends,me and my crew,me and my friends,1
my crew,my friends,me and my crew at a restaurant,me and my friends at a restaurant,1
my crew,my friends,taking a selfie with my crew,taking a selfie with my friends,1
my crew,my friends,my crew in front of my whip,my friends in front of my car,2
nana,grandma,an old nana,an old grandma,1
nana,grandma,my nana and my dad,my grandmother and my dad,1
nana,grandma,my nana with my mom,my grandmother with my mom,1
nana,grandma,my nana and her cat,my grandmother and her cat,1
bae,lover,a picture of my bae,a picture of my lover,1
bae,lover,me and my bae,me and my lover,1
bae,lover,my bae posing in a botanical garden,my lover posing in a botanical garden,1
bae,lover,my bae drinking coffee,my lover drinking coffee,1
dough,money,a wallet full of dough,a wallet full of money,1
dough,money,pay with some dough,pay with some money,1
dough,money,a woman getting some dough from her friend,a woman getting some money from her friend,1
dough,money,a boy getting some dough from his homie,a boy getting some money from his close friend,2
kicks,sneakers,a guy wearing kicks,a man wearing sneakers,2
kicks,sneakers,a girl wearing kicks,a girl wearing sneakers,1
kicks,sneakers,a pair of stylish kicks,a pair of stylish sneakers,1
kicks,sneakers,a pair of white kicks,a pair of white sneakers,1
piece,gun,a guy aiming his piece,a man aiming his gun,2
piece,gun,a man aiming his piece,a man aiming his gun,1
piece,gun,a large piece,a large gun,1
piece,gun,a military piece,a military gun,1
threads,clothes or an outfit,a man wearing cool threads,a man wearing cool clothes,1
threads,clothes or an outfit,a woman wearing cool threads,a woman wearing cool clothes,1
threads,clothes or an outfit,a man wearing minimalist threads,a man wearing minimalist clothes,1
threads,clothes or an outfit,a woman wearing vintage threads,a woman wearing vintage clothes,1
grill,dental jewelry worn over the teeth,a man wearing grills,a man wearing dental jewelry over the teeth,1
grill,dental jewelry worn over the teeth,a rapper with grills,a rapper with dental jewelry ,1
grill,dental jewelry worn over the teeth,a man wearing green grills,a man wearing green dental jewelry over the teeth,1
grill,dental jewelry worn over the teeth,a woman wearing grills,a woman wearing dental jewelry over the teeth,1
tint,tinted windows on a car,a car with a dark tint,a car with dark tinted windows,1
tint,tinted windows on a car,a convertible with a tint,a convertible with tinted windows,1
tint,tinted windows on a car,an electric car with a very dark tint,an electric car with very dark tinted windows,1
tint,tinted windows on a car,a SUV with a dark tint,a SUV with dark tinted windows,1
drop,a convertible car,a woman with her drop,a woman with her convertible,1
drop,a convertible car,a red drop,a red convertible,1
drop,a convertible car,two people riding in a drop,two people riding in a convertible,1
drop,a convertible car,a large drop,a large convertible,1
lid,hat/cap,a sports lid,a sports cap,1
lid,hat/cap,a woman wearing an orange lid,a woman wearing an orange cap,1
lid,hat/cap,a guy wearing a red lid,a man wearing a red cap,2
lid,hat/cap,a man with a blue lid,a man with a blue cap,1
glass,mirror,a guy looking in a glass,a man looking in a mirror,2
glass,mirror,a woman looking at her reflection in a glass,a woman looking at her reflection in a mirror,1
glass,mirror,a couple looking in a glass,a couple looking in a mirror,1
glass,mirror,a glass on a wall,a mirror on a wall,1
gat,gun,a man holding his gat,a man holding his gun,1
gat,gun,a woman holding a large gat,a woman holding a large gun,1
gat,gun,a couple soldiers with gats,a couple soldiers with guns,1
gat,gun,a group of people with gats,a group of people with guns,1
chains,necklace,a man wearing chains,a man wearing a necklace,1
chains,necklace,a woman wearing chains,a woman wearing a necklace,1
chains,necklace,a man and his homie wearing chains,a man and his friend wearing necklaces,2
chains,necklace,a man wearing dark gray chains,a man wearing a dark gray necklace,1
roller,car,a woman driving a roller,a woman driving a car,1
roller,car,a blue roller,a blue car,1
roller,car,a guy riding in a roller,a guy riding in a car,2
roller,car,a group of friends in a roller,a group of friends in a car,1
hammer,gun,a person firing a hammer,a person firing a gun,1
hammer,gun,a couple officers with hammers,a couple officers with guns,1
hammer,gun,a couple soldiers with hammers,a couple soldiers with guns,1
hammer,gun,a woman with a hammer,a woman with a gun,1
bussin,tasty,two people enjoying bussin food,two people enjoying tasty food,1
bussin,tasty,a plate of bussin food,a plate of tasty food,1
bussin,tasty,a guy enjoying bussin food,a man enjoying tasty food,2
bussin,tasty,a woman buying bussin food,a woman buying tasty food,1
