DialectWord,SAEWord,DialectPrompt,SAEPrompt,Dialect Word Count
fil,field,a brown dog running in the fil,a brown dog running in the field,1
fil,field,two kids playing around in the fil,two kids playing around in the field,1
fil,field,a wide and open fil next to the lake,a wide and open field next to the lake,1
birria,beer,a pack of birria in the fridge,a pack of beer in the fridge,1
birria,beer,two cups of birria on the table in a living room,two cups of beer on the table in a living room,1
birria,beer,two people laughing while having birria,two people laughing while having beer,1
torque,truck,a man driving a torque on the highway,a man driving a truck on the highway,1
torque,truck,two kids sitting on the back of a torque,two kids sitting on the back of a truck,1
torque,truck,a torque parked on a driveway,a truck parked on a driveway,1
pinta,jail,two men sitting in a pinta cell,two men sitting in a jail cell,1
pinta,jail,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,1
pinta,jail,a tall pinta building surrounded by barbed wire,a tall jail building surrounded by barbed wire,1
pinta,prison,two men sitting in a pinta cell,two men sitting in a prison cell,1
pinta,prison,a pinta guard standing in front of a wall,a prison guard standing in front of a wall,1
pinta,prison,a tall pinta building surrounded by barbed wire,a tall prison building surrounded by barbed wire,1
raspa,shaved ice,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon,1
raspa,shaved ice,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,1
raspa,shaved ice,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,1
rucas,women,three rucas in line for coffee in a coffee shop,three women in line for coffee in a coffee shop,1
rucas,women,several rucas chatting in an open field,several women chatting in an open field,1
rucas,women,two rucas playing with a dog,two women playing with a dog,1
jaina,girlfriend,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car,1
jaina,girlfriend,me having dinner in a restaurant with my jaina,me having dinner in a restaurant with my girlfriend,1
jaina,girlfriend,a sunny day in the park with my jaina,a sunny day in the park with my girlfriend,1
planch,Iron,a planch rod on the floor,a iron rod on the floor,1
planch,Iron,a man cooking with a planch pan,a man cooking with a iron pan,1
planch,Iron,a couple planch coins on the table,a couple iron coins on the table,1
ganga,gang,several members of a ganga posing for a photo,several members of a gang posing for a photo,1
ganga,gang,a house surrounded by ganga members,a house surrounded by gang members,1
ganga,gang,a street with ganga activities,a street with gang activities,1
varrio,neighborhood,a bird's eye view of a varrio in Texas,a bird's eye view of a neighborhood in Texas,1
varrio,neighborhood,a boy standing in a street in a varrio,a boy standing in a street in a neighborhood,1
varrio,neighborhood,colorful houses in a varrio,colorful houses in a neighborhood,1
barrio,neighborhood,a bird's eye view  of a varrio in Texas,a bird's eye view of a neighborhood in Texas,1
barrio,neighborhood,a boy standing in a street in a barrio,a boy standing in a street in a neighborhood,1
barrio,Neighborhood,colorful houses in a barrio,colorful houses in a neighborhood,1
Chuco,El Paso,a bus station in Chuco,a bus station in El Paso,1
Chuco,El Paso,a typical house in Chuco,a typical house in El Paso,1
Chuco,El Paso,a bird's eye view of Chuco,a bird's eye view of Chuco Town,1
Chuco Town,El Paso,a bus station in Chuco Town,a bus station in El Paso,1
Chuco Town,El Paso,a typical house in Chuco Town,a typical house in El Paso,1
Chuco Town,El Paso,a bird's eye view of Chuco Town,a bird's eye view of Chuco Town,1
carnal,brother,me standing with my carnal,me standing with my brother,1
carnal,brother,my carnal and I sitting at a table,my brother and I sitting at a table,1
carnal,brother,my carnal riding a bike,my brother riding a bike,1
carnala,sister,me standing with my carnala,me standing with my sister,1
carnala,sister,my carnala and I sitting at a table,my sister and I sitting at a table,1
carnala,sister,my carnala riding a bike,my sister riding a bike,1
