Prompt_Index,SAE_Prompt,Normalized_Score
0,a man wearing a purple sweater,0.6229
1,a woman knitting a brown sweater,0.4398
2,a girl knocking on the bathroom door,0.3857
3,a line of people waiting outside the bathroom,0.2187
4,a man cutting a sausage in half,0.603
5,a woman throwing away the trash,0.9128
6,a man loading luggage into the car trunk,0.3044
7,a woman putting groceries in the car trunk,0.4797
8,a boy waiting in the line at a grocery store,0.6202
9,a line for the rollercoaster,0.488
10,a line at the ticket counter,0.0628
11,a line for the morning bus,0.0546
12,a line at the post office,0.4147
13,a man ironing creases in his pants,0.7054
14,a kid wearing a pair of blue pants,0.3778
15,a woman enjoying a cup of tea with a cookie,0.5515
16,a man baking homemade cookies,0.4942
17,a man searching in the dark with a flashlight,0.6849
18,a policeman shining a flashlight at the suspect,0.2515
19,a mother changing her baby's diaper,0.8641
20,a happy baby wearing pink diapers,0.6347
21,a man filling up his car with gasoline,0.6926
22,a group of kids kicking a soccer ball,0.5297
23,a soccer player in the stadium,0.6487
24,a soccer player celebrating a win,0.5855
25,a soccer goalie in the field,0.9193
26,a goalkeeper trying to catch a soccer ball,0.8623
27,a woman picking up a precription at the pharmacy,0.6658
28,a group of people waiting at the pharmacy,0.3783
29,a boy eating french fries,0.8244
30,an attorney talking to his client,0.3968
31,a man attending a meeting with his attorney,0.6584
32,an attorney in a courtroom,0.603
33,my attorney discussing the case,0.4096
34,an attorney with legal books,0.5755
35,a school janitor sweeping the hallway,0.4218
36,a man talking to a janitor at the mall,0.8274
37,a tired janitor in an empty hallway,0.8405
38,a janitor sweeping the school hallway,0.5449
39,an office janitor in a supply closet,0.3953
40,a building janitor taking out the trash,0.675
41,a man preparing dinner on the stove,0.4048
42,a woman putting the baby down in the crib,0.8426
43,a man setting up a crib,0.5157
44,a baby in a colorful crib,0.9038
45,a worker changing the image on the billboard,0.6044
46,a group of people staring at a large billboard,0.6536
47,a woman using a vacuum cleaner to clean the carpet,0.5116
48,a man using a vacuum cleaner on a carpeted floor,0.6283
49,a man holding a water pitcher,0.6729
50,a boy refilling his cup with a water pitcher,0.6727
51,a mailman delivering packages,0.7337
52,a man having a friendly chat with the mailman,0.8639
53,a mailman in blue uniform,0.8174
54,a mailman in a truck,0.9234
55,a mailman at the front door,0.6938
56,my mailman with a big bag,0.6208
57,a woman taking a walk with her baby in the baby carriage,0.8364
58,a baby carriage with a sleeping baby,0.6737
59,a man walking with a baby carriage on a cobblestone street,0.3762
60,a man inside a black sedan,0.2559
61,a boy sitting on the hood of the car,0.3409
62,a woman chopping cilantro in the kitchen,0.6972
63,a man slicing a zucchini in the kitchen,0.4439
64,a woman picking a zucchini at the market,0.2904
65,a crowd of people waiting for the subway,0.0322
66,a man sitting inside the subway,0.3841
67,my subway ride during rush hour,0.2597
68,a grandma slicing an eggplant in the kitchen,0.4013
69,a man picking an eggplant at the market,0.0317
70,a band-aid covering a small wound,0.6957
71,a band-aid on someone's forehead,0.7309
72,a band-aid floating in a swimming pool,0.7725
73,a discarded band-aid on the sidewalk,0.9284
74,a band-aid with cartoon characters,0.7828
75,a waterproof band-aid on a hand,0.7285
76,a vest displayed on a mannequin,0.3931
77,a checked vest on display,0.5313
78,a man buttoning his vest,0.3065
79,a silk vest in a boutique,0.6407
80,a vest matching formal pants,0.3026
81,a vest embroidered with flowers,0.4363
