Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
torque,truck,a large black truck driving on a neighborhood street,a large black truck driving on a neighborhood street,0,1,1,a mechanic measuring the torque applied to a lug nut,a large black torque driving on a neighborhood street,a large black truck driving on a neighborhood street
torque,truck,a woman driving a green Ford on a farm,a woman driving a green truck on a farm,1,1,1,a woman adjusting the torque setting on a power drill,a woman driving a green torque on a farm,a woman driving a green truck on a farm
torque,truck,a car with a dog in the back,a truck with a dog in the back,0,1,1,a diagram illustrating torque forces acting on a rotating wheel,a torque with a dog in the back,a truck with a dog in the back
torque,truck,a man driving a car on the highway,a man driving a truck on the highway,1,1,1,a man using a torque wrench to tighten bolts under a car,a man driving a torque on the highway,a man driving a truck on the highway
torque,truck,Two kids are sitting on the back of a truck.,Two kids sitting on the back of a truck.,1,1,1,an instructional video explaining torque in physics class,two kids sitting on the back of a torque,two kids sitting on the back of a truck
torque,truck,a car parked on a driveway,a truck parked on a driveway,0,1,1,a torque gauge lying on a workbench next to mechanical parts,a torque parked on a driveway,a truck parked on a driveway
raspa,shaved ice,a street vendor selling shaved ice,a street vendor selling shaved ice,1,1,0,,a street vendor selling raspa,a street vendor selling shaved ice
raspa,shaved ice,a man enjoying raspas on a hot day,a man enjoying shaved ice on a hot day,1,1,0,,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day
raspa,shaved ice,a cup of raspberries near a tree,a cup of shaved ice near a tree,0,1,0,,a cup of raspa near a tree,a cup of shaved ice near a tree
raspa,shaved ice,a colorful cup of raspberries next to a spoon,a colorful cup of shaved ice next to a spoon,0,1,0,,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon
raspa,shaved ice,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,1,1,0,,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park
raspa,shaved ice,Two people sharing a cup of raspberries on the table,two people sharing a cup of shaved ice on the table,1,1,0,,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table
clicka,friend group,a street mural of a group of people hanging out together,a street mural of a friend group hanging out together,0,1,0,,a street mural of a clicka hanging out together,a street mural of a friend group hanging out together
clicka,friend group,a group of teenagers in a clique walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,1,1,0,,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood
clicka,friend group,a group gathered around a bench talking,a group of friends gathered around a bench talking,1,1,0,,a clicka gathered around a bench talking,a friend group gathered around a bench talking
clicka,friend group,A bunch of people laughing loudly by a taco stand,a friend group laughing loudly by a taco stand,1,1,0,,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand
clicka,friend group,a person posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,1,1,0,,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural
clicka,friend group,a skateboarder skateboarding down the street,a friend group skateboarding down the street together,1,1,0,,a clicka skateboarding down the street together,a friend group skateboarding down the street together
padrino,godfather,a godfather cutting a birthday cake,a godfather cutting a birthday cake,1,1,0,,a padrino cutting a birthday cake,a godfather cutting a birthday cake
padrino,godfather,a godfather officiating a wedding ceremony,a godfather officiating a wedding ceremony,1,1,0,,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony
padrino,godfather,a godfather playing chess with his godson,a godfather playing chess with his godson,1,1,0,,a padrino playing chess with his godson,a godfather playing chess with his godson
