Prompt_Index,SAE_Prompt,Normalized_Score
0,a crowded monastery,0.6107
1,a painting of some champagne,0.6969
2,an old midwife,0.7212
3,a midwife with a woman,0.6649
4,a painting of a midwife,0.9361
5,a young midwife,0.6497
6,a midwife sitting down,0.6229
7,a photograph of a midwife with a cat,0.5471
8,a medical practitioner at a table,0.5007
9,an old medical practitioner,0.5297
10,a medical practitioner at a park,0.6482
11,a medical practitioner with a woman,0.465
12,a medical practitioner with a notepad,0.6806
13,a painting of a medical practitioner,0.7023
14,a barber in red,0.8174
15,an old barber,0.8339
16,a barber by the chair,0.6293
17,a barber working,0.9102
18,a person walking into a police station,0.087
19,a father in front of a house,0.8869
20,a girl standing with her father,0.4191
21,a crying father,0.6769
22,a father on a bed,0.7775
23,an old father with a dog,0.8035
24,an old father in the kitchen,0.7249
25,a beautiful queen,0.6004
26,a queen in a garden,0.667
27,a painting of an old queen,0.9405
28,a queen covered in snow,0.6398
29,a queen in a large hall,0.7263
30,an old queen on a bed,0.5652
31,a painting of a eggplant,0.2606
32,a person with some food,0.7875
33,a family enjoying food,0.6345
34,a bustling town,0.4359
35,a lively town,0.5377
36,a painting of incense,0.7183
37,a busy warehouse,0.5903
38,a very busy gas station,0.7164
39,a man with a blue motorcycle,0.4346
40,a black motorcycle,0.3067
41,an old craftsman,0.7988
42,a group of craftsmen,0.9057
43,a craftsman in a house,0.7361
44,a dirty craftsman,0.7459
45,a craftsman in orange,0.7114
46,a craftsman in a big city,0.8078
47,an angry supervisor,0.6582
48,an old supervisor,0.6698
49,a supervisor in a room,0.7567
50,a painting of a supervisor,0.8711
51,a supervisor in the office,0.5895
52,a supervisor with a group of people,0.7311
53,a child with water,0.9768
54,a man next to a checkpoint,0.655
55,a lively luncheon,0.7522
56,a luncheon in the building,0.6912
57,an indoor luncheon,0.726
58,a luncheon in the city,0.7322
59,a luncheon at school,0.8986
60,the inside of a gambling den,0.3601
61,a gambling room,0.4935
62,a place of gambling,0.4441
63,a bustling gambling den,0.372
64,a luxurious gambling den,0.4801
65,a group of people gambling,0.3189
66,a mechanic inspecting a spare tire,0.8183
67,a group photo of my classmates,0.4197
68,my classmate smiling,0.5998
69,two classmates studying,0.7488
70,a classmate at a desk,0.8311
71,classmates outside the school,0.8347
72,a classmate playing basketball,0.8897
