Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a painting of raspa,a painting of shaved ice,0.1941
1,a man enjoying raspa,a man enjoying shaved ice,0.4082
2,cup of raspa on a table,cup of shaved ice on a table,0.3517
3,a blue raspa,a blue shaved ice,0.5594
4,a clicka,a friend group,0.4604
5,a big clicka,a big friend group,0.8031
6,a clicka at school,a friend group at school,0.5594
7,a clicka at the park,a friend group at the park,0.5366
8,a loud clicka,a loud friend group,0.5527
9,a painting of a padrino,a painting of a godfather,0.7107
10,a padrino,a godfather,0.4825
11,a padrino in a house,a godfather in a house,0.4924
12,an old padrino,an old godfather,0.2992
13,a man with a padrino,a man with a godfather,0.2945
14,a woman with a padrino,a woman with a godfather,0.5661
15,a big fil,a big field,0.5154
16,a person at a fil,a person at a field,0.327
17,a green fil,a green field,0.5036
18,an old pinta,an old jail,0.1751
19,a modern pinta,a modern jail,0.2196
20,a small pinta,a small prison,0.3209
21,go to pinta,go to prison,0.4545
22,a painting of a jaina,a painting of a girlfriend,0.2488
23,a jaina in a home,a girlfriend in a home,0.2662
24,a jaina in a car,a girlfriend in a car,0.4614
25,a jaina walking,a girlfriend walking,0.1009
26,me and my jaina,me and my girlfriend,0.2757
27,at the park with my jaina,at the park with my girlfriend,0.8115
28,my dad planchar shirts,my dad irons shirts,0.4617
29,she planchar daily,she irons daily,0.3194
30,they planchar clothes,they iron clothes,0.2176
31,I planchar pants,I iron pants,0.4876
32,we planchar uniforms,we iron uniforms,0.7195
33,he likes to planchar,he likes to iron,0.5965
34,a person exploring Chuco,a person exploring El Paso,0.3384
35,a painting of a carnal,a painting of a brother,0.382
36,a man hiking with his carnal,a man hiking with his brother,0.4378
37,a carnal in a house,a brother in a house,0.3414
38,me with my carnal,me with my brother,0.6639
39,a carnal at a table,a brother at a table,0.5091
40,a carnal at a park,a brother at a park,0.5709
41,a painting of a carnalita,a painting of a sister,0.235
42,a man hiking with his carnalita,a man hiking with his sister,0.3636
43,a carnalita in a house,a sister in a house,0.1387
44,me with my carnalita,me with my sister,0.3633
45,a carnalita at a table,a sister at a table,0.5817
46,a carnalita at a park,a sister at a park,0.3509
47,a painting of carnales,a painting of brothers,0.5265
48,carnales in a house,brothers in a house,0.5797
49,me and my carnales,me and my brothers,0.6563
50,carnales by a table,brothers by a table,0.2833
51,carnales together,brothers together,0.6135
52,carnales walking,brothers walking,0.5145
53,a painting of carnalas,a painting of sisters,0.8284
54,carnalas in a house,sisters in a house,0.4068
55,me and my carnalas,me and my sisters,0.8049
56,carnalas by a table,sisters by a table,0.8176
57,carnalas together,sisters together,0.6192
58,carnalas walking,sisters walking,0.5134
59,a painting of raza,a painting of Mexican American,0.2214
60,a raza at a park,a Mexican American at a park,0.2815
61,a raza neighborhood,a Mexican American neighborhood,0.1716
62,a raza at a store,a Mexican American at a store,0.2564
63,a young raza,a young Mexican American,0.1012
64,an old raza,an old Mexican American,0.2168
65,a vato in a house,a young man in a house,0.378
66,a vato in a park,a young man in a park,0.5872
67,painting of a vato,a painting of a young man,0.4908
68,a vato in a neighborhood,a young man in a neighborhood,0.2553
69,a vato on the ground,a young man on the ground,0.6129
70,a vato leaning,a young man leaning,0.3972
71,a painting of an ese,a painting of a young man,0.4057
72,an ese on a sidewalk,a young man on a sidewalk,0.5665
73,an ese on a trail,a young man on a trail,0.3877
74,an ese in a park,a young man in a park,0.3491
75,an ese in a neighborhood,a young man in a neighborhood,0.2818
76,an ese on a street,a young man on a street,0.1573
77,a painting of a bato,a painting of a man,0.358
78,a big bato,a big man,0.5858
79,a smaller bato,a smaller man,0.3339
80,a bato in a house,a man in a house,0.2287
81,a bato in a park,a man in a park,0.0539
82,a bato on a street,a man on a street,0.064
83,a painting of a madrina,a painting of a godmother,0.1805
84,an old madrina,an old godmother,0.1501
85,a middle-aged madrina,a middle-aged godmother,0.5911
86,a madrina in a house,a godmother in a house,0.2476
87,a madrina at a park,a godmother at a park,0.341
88,a madrina in a car,a godmother in a car,0.6664
89,a guy acting loco,a guy acting crazy,0.306
90,a loco cat,a crazy cat,0.6726
91,a loco dog,a crazy dog,0.3596
92,a loco painting,a crazy painting,0.5237
93,a loco toy,a crazy toy,0.1933
94,a mi'ja,a daughter,0.3143
95,a mi'ja at home,a daughter at home,0.468
96,a mi'ja at a park,a daughter at a park,0.0968
97,a younger mi'ja,a younger daughter,0.1465
98,an older mi'ja,an older daughter,0.1746
99,a painting of a mi'ja,a painting of a daugher,0.1427
100,a mijo,a son,0.3843
101,a mijo at home,a son at home,0.4101
102,a mijo at a park,a son at a park,0.3077
103,a younger mijo,a younger son,0.4443
104,an older mijo,an older son,0.6063
105,a painting of a mijo,a painting of a son,0.6451
106,a Califas landscape,a California landscape,0.5932
107,a city in Califas,a city in California,0.4961
108,a Califas suburb,a California suburb,0.5365
109,baro on the sidewalk,money on the sidewalk,0.7367
110,a painting of a cuate,a painting of a close friend,0.3039
111,me and my cuate,me and my close friend,0.9237
112,a cuate in a house,a close friend in a house,0.3372
113,a cuate at a cafe,a close friend at a cafe,0.2287
114,a cuate on the sidewalk,a close friend on the sidewalk,0.4731
115,a cuate in a park,a close friend in a park,0.3116
116,a person apapachar himself,a person pampered himself,0.1381
117,a couple getting apapachar,a couple getting pampered,0.0722
118,a woman getting apapachar,a woman getting pampered,0.0472
119,a couple getting lonche,a couple getting lunch,0.4644
120,lonche in the meadow,lunch in the meadow,0.6322
121,a chamaco at the park,a boy at the park,0.2191
122,a chamaco in a house,a boy in a house,0.1721
123,a chamaco on the sidewalk,a boy on the sidewalk,0.4302
124,a painting of a chamaco,a painting of a chamaco,0.0919
125,a chamaco at a school,a boy at a school,0.1724
126,a chamaco and a soccer ball,a boy and a soccer ball,0.2105
127,a chamaca at the park,a girl at the park,0.4489
128,a chamaca in a house,a girl in a house,0.4104
129,a chamaca on the sidewalk,a girl on the sidewalk,0.3822
130,a chamaca and a basketball,a girl and a basketball,0.4364
131,a chamaca at a school,a girl at a school,0.2546
132,a chamaca at a store,a girl at a store,0.5418
133,a woman wearing chanclas,a woman wearing flip-flops,0.3042
