Prompt_Index,SAE_Prompt,Score
0,a little baby,0.8128
1,a little dog,0.9778
2,a little cat,0.8405
3,a painting of a little boy,0.9062
4,a little horse,0.5308
5,a little girl,0.9867
6,a parked car,0.9186
7,a second-hand car,0.9054
8,a gas car,0.7027
9,a rental car,0.5498
10,an electric car,0.7959
11,a leased car,0.5641
12,a suburban house,0.9708
13,a house downtown,0.6927
14,a lakeside house,0.8802
15,an old house,0.9757
16,a waterfront house,0.9645
17,a brick house,0.9706
18,a man holler at a girl,0.3721
19,a man holler at a woman,0.3333
20,a guy holler at a woman,0.3034
21,a guy holler at his close friend,0.4036
22,a holler from the audience,0.6066
23,a loud holler,0.5599
24,my close friend,0.7327
25,my handsome close friend,0.8602
26,an old close friend,0.7221
27,me and my close friend,0.8623
28,a close friend from childhood,0.6426
29,painting of me and my close friend,0.631
30,me and my friends,0.9322
31,me and my large friends,0.9035
32,painting of me and my friends,0.7717
33,me and my small friends,0.7998
34,my friends wearing red,0.8791
35,my friends at my house,0.7193
36,an old grandma,0.9826
37,my beautiful grandma,0.8832
38,a group of grandmas,0.9796
39,my grandma in purple,0.9171
40,my grandma in her house,0.8872
41,an angry grandma,0.8519
42,a picture of my lover,0.492
43,my sleeping lover,0.7698
44,my beautiful lover,0.6569
45,my lover at my house,0.5602
46,my lover wearing purple,0.7048
47,my handsome lover,0.8414
48,work for money,0.7405
49,a kid deposit some money,0.6938
50,a man paying with money,0.8565
51,a woman paying with money,0.8505
52,a wallet overflowing with money,0.7081
53,bags of money,0.4163
54,dirty sneakers,0.7648
55,retro sneakers,0.8884
56,brown sneakers,0.9748
57,broken sneakers,0.362
58,brand new sneakers,0.8875
59,a painting of blue sneakers,0.9798
60,a hand-held gun,0.9474
61,a man aiming his gun,0.9328
62,a rusty gun,0.9543
63,a painting of a silver gun,0.8858
64,a broken gun,0.7331
65,a long-range gun,0.8649
66,designer clothes,0.8085
67,stylish clothes,0.9741
68,vintage clothes,0.6184
69,a rack of purple clothes,0.8546
70,a rack of beautiful clothes,0.9262
71,a painting of blue clothes,0.7919
72,golden dental jewelry,0.7459
73,dirty dental jewelry,0.6707
74,a man wearing dental jewelry,0.6628
75,a woman wearing dental jewelry,0.6266
76,silver dental jewelry,0.6424
77,bronze dental jewelry,0.5956
78,very dark tinted car windows,0.469
79,a convertible with tinted car windows,0.671
80,a bus with dark tinted car windows,0.6623
81,a van with light tinted car windows,0.5781
82,broken tinted car windows,0.5167
83,orange tinted car windows,0.4919
84,a modern convertible car,0.8907
85,a luxury convertible car,0.9728
86,a purple convertible car,0.9881
87,a sporty convertible car,0.9692
88,a painting of a vintage convertible car,0.9518
89,a broken convertible car,0.5748
90,tipping my hat,0.4272
91,fitted hat,0.7958
92,stylish hat,0.9549
93,wearing a hat,0.9235
94,a beautiful hat,0.9203
95,matching hat,0.7178
96,broken mirror,0.8113
97,dirty mirror,0.7117
98,mirror with gold frame,0.9761
99,a handheld mirror,0.4076
100,a painting of a mirror,0.6818
101,a modern mirror,0.5608
102,a black gun,0.9463
103,a rusty gun,0.9543
104,a painting of a silver gun,0.8858
105,a gun inside a drawer,0.9502
106,a broken gun,0.7331
107,a large gun,0.841
108,golden necklace,0.9701
109,silver necklace,0.8721
110,rose gold necklace,0.9574
111,a painting of shiny necklace,0.9431
112,a display of necklace,0.9598
113,broken necklace,0.3045
114,a luxury car,0.967
115,a parked car,0.9186
116,a second-hand car,0.9054
117,a gas car,0.7027
118,a rental car,0.5498
119,a leased car,0.5641
120,concealed gun,0.8148
121,a gun with a silencer,0.8792
122,loading the gun,0.5555
123,aiming the gun,0.8317
124,licensed gun,0.7188
125,gun tucked away,0.6679
126,tasty food,0.9651
127,some tasty fries,0.9665
128,a tasty burrito,0.7657
129,a plate of tasty food,0.9635
130,a painting of tasty food,0.9747
131,a tasty taco,0.9597
132,a dirty neighborhood,0.8576
133,a painting of the neighborhood,0.9445
134,an urban neighborhood,0.9561
135,a suburban neighborhood,0.9802
136,an empty neighborhood,0.7638
137,a busy neighborhood,0.8269
138,a bag of bills,0.644
139,earning bills,0.6924
140,bills in wallet,0.557
141,broken bills,0.6199
142,a man flashing bills,0.4925
143,dirty bills,0.7473
144,a man with his close friends,0.9171
145,a group picture with the close friends,0.9517
146,a painting of my close friends,0.6958
147,my close friends in the house,0.7683
148,me with my close friends,0.9082
149,hanging with my close friends,0.9589
150,a picture of my lover,0.492
151,my sleeping lover,0.7698
152,my beautiful lover,0.6569
153,my lover at my house,0.5602
154,my lover wearing pink,0.815
155,my handsome lover,0.8414
156,my close friend,0.7327
157,my handsome close friend,0.8602
158,an old close friend,0.7221
159,me and my close friend,0.8623
160,a close friend from childhood,0.6426
161,painting of me and my close friend,0.631
162,a man high on marijuana,0.6428
163,a woman high on marijuana,0.728
164,a painting of a person high on marijuana,0.8934
165,a group of people high on marijuana,0.6799
166,college students high on marijuana,0.5209
167,a person high on marijuana,0.6564
168,my morning hair frizziness,0.8761
169,a painting of my hair frizziness,0.8114
170,fixing my hair frizziness,0.7221
171,a woman with hair frizziness,0.9602
172,my natural hair frizziness,0.8856
173,two people with hair frizziness,0.9423
174,golden flashy jewelry,0.9668
175,silver flashy jewelry,0.935
176,rose gold flashy jewelry,0.945
177,a painting of shiny flashy jewelry,0.9577
178,a display of flashy jewelry,0.977
