Prompt_Index,SAE_Prompt,Score
0,a large black truck,0.2816
1,a green truck,0.3134
2,a truck with a dog,0.2768
3,a painting of a truck,0.3374
4,a new truck,0.2675
5,an old truck,0.3064
6,a painting of shaved ice,0.3445
7,a man enjoying shaved ice,0.2996
8,a cup of shaved ice,0.302
9,colorful shaved ice,0.3247
10,cup of shaved ice on a table,0.3054
11,a blue shaved ice,0.3424
12,a friend group,0.2396
13,a big friend group,0.2421
14,a friend group at school,0.2533
15,a painting of a friend group,0.284
16,a friend group at the park,0.2466
17,a loud friend group,0.2431
18,a painting of a godfather,0.3343
19,a godfather,0.2811
20,a godfather in a house,0.2815
21,an old godfather,0.2728
22,a man with a godfather,0.27
23,a woman with a godfather,0.2692
24,a big field,0.26
25,a painting of a field,0.3045
26,a person at a field,0.2914
27,a yellow field,0.3043
28,a green field,0.2949
29,a busy field,0.257
30,an old jail,0.2754
31,a modern jail,0.2775
32,a painting of a jail,0.3062
33,a small prison,0.26
34,go to prison,0.2684
35,inside a prison,0.2864
36,a painting of a girlfriend,0.2978
37,a girlfriend in a home,0.2578
38,a girlfriend in a car,0.2745
39,a girlfriend walking,0.2745
40,me and my girlfriend,0.2535
41,at the park with my girlfriend,0.264
42,my dad irons shirts,0.2626
43,she irons daily,0.2587
44,they iron clothes,0.2496
45,I iron pants,0.2474
46,we iron uniforms,0.2693
47,he likes to iron,0.2724
48,a person exploring El Paso,0.2916
49,a painting of El Paso,0.3346
50,a person in El Paso,0.271
51,El Paso landscape,0.2982
52,a typical house in El Paso,0.3007
53,a bird's eye view of El Paso,0.3066
54,a painting of a brother,0.3
55,a man hiking with his brother,0.2794
56,a brother in a house,0.2407
57,me with my brother,0.252
58,a brother at a table,0.302
59,a brother at a park,0.2666
60,a painting of a sister,0.3035
61,a man hiking with his sister,0.2771
62,a sister in a house,0.2602
63,me with my sister,0.2592
64,a sister at a table,0.3081
65,a sister at a park,0.2668
66,a painting of brothers,0.2955
67,brothers in a house,0.259
68,me and my brothers,0.2654
69,brothers by a table,0.293
70,brothers together,0.2604
71,brothers walking,0.2917
72,a painting of sisters,0.3232
73,sisters in a house,0.2675
74,me and my sisters,0.2655
75,sisters by a table,0.295
76,sisters together,0.26
77,sisters walking,0.2992
78,a painting of Mexican American,0.3193
79,a Mexican American at a park,0.2971
80,a Mexican American neighborhood,0.3019
81,a Mexican American at a store,0.2921
82,a young Mexican American,0.2925
83,an old Mexican American,0.3026
84,a young man in a house,0.2791
85,a young man in a park,0.2849
86,a painting of a young man,0.3176
87,a young man in a neighborhood,0.2762
88,a young man on the ground,0.277
89,a young man leaning,0.2771
90,a painting of a young man,0.3176
91,a young man on a sidewalk,0.2824
92,a young man on a trail,0.2803
93,a young man in a park,0.2849
94,a young man in a neighborhood,0.2762
95,a young man on a street,0.2875
96,a painting of a junkyard,0.3477
97,an old junkyard,0.3263
98,a modern junkyard,0.3061
99,a big junkyard,0.3056
100,a small junkyard,0.2882
101,a dirty junkyard,0.31
102,a painting of alcohol,0.3227
103,aged alcohol,0.2738
104,strong alcohol,0.2569
105,old alcohol,0.2785
106,a large alcohol,0.2457
107,a small alcohol,0.2646
108,a painting of a man,0.3009
109,a big man,0.259
110,a smaller man,0.2547
111,a man in a house,0.2883
112,a man in a park,0.2779
113,a man on a street,0.2899
114,a painting of a godmother,0.3026
115,an old godmother,0.2682
116,a middle-aged godmother,0.2609
117,a godmother in a house,0.2702
118,a godmother at a park,0.2834
119,a godmother in a car,0.2831
120,a guy acting crazy,0.2579
121,a crazy cat,0.2699
122,a crazy dog,0.2503
123,a child acting crazy,0.2803
124,a crazy painting,0.27
125,a crazy toy,0.2661
126,a daughter,0.2419
127,a daughter at home,0.2683
128,a daughter at a park,0.294
129,a younger daughter,0.2585
130,an older daughter,0.2506
131,a painting of a daugher,0.2976
132,a son,0.2375
133,a son at home,0.263
134,a son at a park,0.295
135,a younger son,0.2668
136,an older son,0.2526
