old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6,negative1,gn1,negative2,gn2,negative3,gn3,negative4,gn4,negative5,gn5,negative6,gn6
abba,dad,a boy standing with his abba,a boy standing with his father,a girl standing with her abba,a girl standing with her father,a man hiking with his abba,a man hiking with his father,a woman in a car with her abba,a woman in a car with her father,a woman walking with her abba and a dog,a woman walking with her father and a dog,a man sitting at a table with his abba,a man sitting at a table with his father
agarbatti,incense stick,agarbatti burning in a house,incense burning in a house,a bundle of agarbatti on a table,a bundle of incense on a table,a person holding a bundle of agarbatti,a person holding a bunding of incense,agarbatti in a stand,incense in a stand,agarbatti inside a box on a table,incense inside a box on a table,agarbatti inside a store,incense inside a store
almirah,wardrobe,a wooden almirah filled with clothes,a wooden wardrobe filled with clothes,my grandmother's antique almirah,my grandmother's antique wardrobe,a painted almirah with intricate designs,a painted wardrobe with intricate designs,an almirah storing precious heirlooms,a wardrobe storing precious heirlooms,my personal almirah for all my books,my personal wardrobe for all my books,a large almirah in the bedroom corner,a large wardrobe in the bedroom corner
brinjal,eggplant,brinjal in a grocery store,eggplant in a grocery store,brinjal sitting on a kitchen counter,eggplant sitting on a kitchen counter,brinjal being sliced,eggplant being sliced,brinjal in a pot,eggplant in a pot,a brinjal plant in a garden,an eggplant plant in a garden,a dish with brinjal,a dish with eggplant
bundook,rifle,two bundooks leaning on a wall,two rifles leaning on a wall,a person holding a bundook,a person holding a rifle,a woman aiming a bundook at a target,a woman aiming a rifle,several soldiers holding bundooks,several soldiers holding rifles,a store selling bundooks,a store selling rifles,a police officer holding a bundook,a police officer holding a rifle
chick,window blind,two windows covered with chick,two windows covered with bamboo blinds,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,a window covered with chick,a window covered with bamboo blinds,a doorway with chick covering it,a doorway with bamboo blinds covering it,a window with rolled up chick,a window with rolled up bamboo blinds,a fluffy chick in a nest,a fluffy chick in a nest,a mother hen with her adorable chicks,a mother hen with her adorable chicks,a newly hatched baby chick,a newly hatched baby chick,a group of tiny chicks pecking at feed,a group of tiny chicks pecking at feed,a curious chick exploring its surroundings,a curious chick exploring its surroundings,a brood of chicks under a heat lamp,a brood of chicks under a heat lamp
dai,midwife,a dai in a hospital,a midwife in a hospital,a dai walking into a house,a midwife walking into a house,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,a dai talking with a doctor,a midwife talking with a doctor,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,a dai talking with a nurse,a midwife talking with a nurse
ghat,mountain pass,a ghat with lots of pine trees,a mountain pass with lots of pine trees,a ghat covered in snow,a mountain pass covered in snow,a ghat with a road with lots of cars,a mountain pass with a road with lots of cars,two people walking through the ghat,two people walking through the mountain pass,a roadway in the ghat,a roadway in the mountain pass,a trail in the wooded ghat,a trail in the wooded mountain pass
godown,warehouse,a large godown with lots of boxes,a large warehouse with lots of boxes,a large godown with lots of produce,a large warehouse with lots of produce,a godown with lots of people inside,a warehouse with lots of people inside,a person walking inside a godown,a person walking inside a warehouse,a person driving a forklift inside a godown,a person driving a forklift inside a warehouse,a dark abandoned godown,a dark abandoned warehouse
handicraftsman,artisan,an handicraftsman weaving a rug,a craftsman weaving a rug,my local handicraftsman's newest creation,my local craftsman's newest creation,a skilled handicraftsman at work,a skilled craftsman at work,an elderly handicraftsman sharing his wisdom,an elderly craftsman sharing his wisdom,a talented handicraftsman from the village,a talented craftsman from the village,an innovative handicraftsman designing jewelry,an innovative craftsman designing jewelry
