Dialect_Word,Meaning,Prompt
math,mathematics,a student solving math problems on a chalkboard
math,mathematics,a professor exploring complex math equations
math,mathematics,a teacher explaining math concepts to a class
math,mathematics,a pile of math textbooks on a desk
math,mathematics,a shirt with math equations
math,mathematics,a computer screen displaying math formulas
chick,"a young bird, especially one newly hatched",a fluffy chick in a nest
chick,"a young bird, especially one newly hatched",a mother hen with her adorable chicks
chick,"a young bird, especially one newly hatched",a newly hatched baby chick
chick,"a young bird, especially one newly hatched",a group of tiny chicks pecking at feed
chick,"a young bird, especially one newly hatched",a curious chick exploring its surroundings
chick,"a young bird, especially one newly hatched",a brood of chicks under a heat lamp
