Dialect_Word,Meaning,Prompt
whip,instrument consisting usually of a handle and lash,a silhouetted figure with a whip in hand
whip,instrument consisting usually of a handle and lash,a cowboy holding a coiled whip
whip,instrument consisting usually of a handle and lash,a leather whip cracking in the air
whip,instrument consisting usually of a handle and lash,a long black whip on a dusty floor
whip,instrument consisting usually of a handle and lash,a traditional whip with a braided handle
whip,instrument consisting usually of a handle and lash,a man hitting a horse with a whip
whip,a dessert made by whipping a portion of the ingredients,a creamy chocolate whip in a glass
whip,a dessert made by whipping a portion of the ingredients,a fluffy strawberry whip on a plate
whip,a dessert made by whipping a portion of the ingredients,a dollop of vanilla whip on a pie
whip,a dessert made by whipping a portion of the ingredients,a lemon mousse whip in a bowl
whip,a dessert made by whipping a portion of the ingredients,a coconut whip topping on a sundae
whip,a dessert made by whipping a portion of the ingredients,a caramel-infused whip served with fruit
crib,a small child's bedstead with high enclosing usually slatted sides,a white wooden crib with a mobile above
crib,a small child's bedstead with high enclosing usually slatted sides,a cozy crib in a nursery with stuffed animals
crib,a small child's bedstead with high enclosing usually slatted sides,a vintage crib with ornate detailing
crib,a small child's bedstead with high enclosing usually slatted sides,a modern minimalist crib in a stylish room
crib,a small child's bedstead with high enclosing usually slatted sides,a crib with a soft mattress and pastel bedding
crib,a small child's bedstead with high enclosing usually slatted sides,a crib with safety rails to protect the baby
dough,"a thick, malleable mixture of flour and liquid, used for baking into bread or pastry",a ball of dough being kneaded on a wooden surface
dough,"a thick, malleable mixture of flour and liquid, used for baking into bread or pastry",a pizza chef tossing and stretching pizza dough
dough,"a thick, malleable mixture of flour and liquid, used for baking into bread or pastry",a baker's hands shaping a loaf of bread dough
dough,"a thick, malleable mixture of flour and liquid, used for baking into bread or pastry",a mound of dough rising in a mixing bowl
dough,"a thick, malleable mixture of flour and liquid, used for baking into bread or pastry",a rolling pin flattening out cookie dough
dough,"a thick, malleable mixture of flour and liquid, used for baking into bread or pastry",a pastry chef creating intricate shapes from pastry dough
piece,"a portion of an object or of material, produced by cutting, tearing, or breaking the whole",a broken piece of a porcelain teacup
piece,"a portion of an object or of material, produced by cutting, tearing, or breaking the whole",a jigsaw puzzle piece in a child's hand
piece,"a portion of an object or of material, produced by cutting, tearing, or breaking the whole",a crumpled piece of paper on the floor
piece,"a portion of an object or of material, produced by cutting, tearing, or breaking the whole",a jagged piece of glass from a shattered window
piece,"a portion of an object or of material, produced by cutting, tearing, or breaking the whole",a torn piece of a vintage map
piece,"a portion of an object or of material, produced by cutting, tearing, or breaking the whole",a small piece of a larger artistic mosaic
threads,"a long, thin strand of cotton, nylon, or other fibers used in sewing or weaving",a spool of colorful sewing threads
threads,"a long, thin strand of cotton, nylon, or other fibers used in sewing or weaving",a loom with threads of various colors
