Dialect_Word,Meaning,Prompt
can,a cylindrical metal container,a can of soda with condensation on the outside
can,a cylindrical metal container,a stack cans containg soup on a pantry shelf
can,a cylindrical metal container,a crushed aluminum can in a recycling bin
can,a cylindrical metal container,a metal can with a label
can,a cylindrical metal container,a can of paint with a paintbrush nearby
can,a cylindrical metal container,a soup can being opened with a can opener
mug,"a large cup, typically cylindrical with a handle and used without a saucer",a ceramic mug filled with hot coffee
mug,"a large cup, typically cylindrical with a handle and used without a saucer",a steaming mug of hot cocoa with marshmallows
mug,"a large cup, typically cylindrical with a handle and used without a saucer",a colorful mug on a cozy breakfast table
mug,"a large cup, typically cylindrical with a handle and used without a saucer",a personalized mug with a custom design
mug,"a large cup, typically cylindrical with a handle and used without a saucer",a vintage enamel camping mug by a campfire
mug,"a large cup, typically cylindrical with a handle and used without a saucer",a rustic wooden mug filled with tea
lightbulb,a device used to convert electricity into light,a glowing incandescent lightbulb in a lamp
lightbulb,a device used to convert electricity into light,a compact fluorescent lightbulb in a fixture
lightbulb,a device used to convert electricity into light,an LED lightbulb emitting a soft white light
lightbulb,a device used to convert electricity into light,a vintage Edison lightbulb with a filament
lightbulb,a device used to convert electricity into light,a smart lightbulb controlled by a smartphone app
lightbulb,a device used to convert electricity into light,a ceiling light fixture with multiple lightbulbs
