Prompt_Index,SAE_Prompt,Score
0,a plastic cup with milk tea,0.3006
1,a cup of milk tea on a table,0.2893
2,a shop selling milk tea,0.3372
3,a man drinking milk tea,0.3192
4,a woman drinking milk tea,0.3346
5,three cups of milk tea on the counter,0.2971
6,a couple sitting at a table both with coffee,0.3082
7,a man getting coffee from a modern cafe,0.3035
8,a table with a cup of coffee and a slice of cake,0.3238
9,two people getting coffee from a stall,0.2983
10,a man buying coffee at a busy counter,0.2889
11,a woman with coffee standing by a bus stop,0.3142
12,a child receiving a red packet from his grandmother,0.3521
13,two red packets on a table with gold designs,0.3682
14,a red packet and food on a table,0.3093
15,a group of people holding red packets,0.3617
16,a store selling red packets,0.3412
17,a red packet and some fruit on a table,0.3199
18,spicy squid dish,0.2907
19,raw squid at a market,0.3381
20,deep fried squid on a plate,0.3146
21,a large squid in an aquarium with coral,0.3179
22,a squid dish and rice on a table,0.3071
23,sliced squid in a frying pan,0.3305
24,getting food takeout from the small restaurant,0.2542
25,getting food takeout from the diner,0.2334
26,getting food takeout from the food truck,0.2937
27,let's get some food takeout,0.2628
28,chinese food takeout packed in plastic containers,0.321
29,a couple getting food takeout from a hawker stall,0.3259
30,a businessman with a grasping and selfish attitude grabbing all the samples,0.2473
31,a leader with a grasping and selfish attitude cutting in line for a photo,0.2264
32,a student with a grasping and selfish attitude hoarding all the notes,0.271
33,a parent with a grasping and selfish attitude rushing to the front row,0.2551
34,a businesswoman with a grasping and selfish attitude buying out limited deals,0.2602
35,a politician with a grasping and selfish attitude speaking over everyone else,0.2341
36,a bored cat in a house,0.2805
37,a bored woman walking on the city street,0.2964
38,a bored worker in an office,0.2616
39,a child bored in the summer,0.2813
40,a bored dog in the front yard,0.2861
41,a bored man on vacation,0.2428
42,a dog relaxing on a grassy lawn in front of a house,0.3438
43,people relaxing on a beach with music playing,0.2941
44,a couple relaxing in a park under a tree,0.3266
45,people relaxing on a sofa,0.2974
46,a cat relaxing by a window,0.3214
47,a relaxing vacation setting,0.2839
48,a student in a class nodding yes,0.2602
49,a worker nodding yes to his supervisor,0.2729
50,a customer at a restaurant nodding yes,0.2596
51,a person nodding yes in agreement,0.2007
52,a woman nodding yes,0.2266
53,a man nodding yes,0.2138
54,a student saving a table at the dining hall,0.3125
55,a person saving a table at the library,0.3106
56,a person saving a table using a bag,0.298
57,a group saving a table at the food hall,0.328
58,saving a table at a cafe using a tissue packet,0.306
59,saving a table with a napkin placed on a chair,0.3009
60,very tasty dumplings,0.3215
61,a person enjoying very tasty food,0.259
62,a table full of very tasty Mexican food,0.315
63,very tasty food,0.2413
64,very tasty Italian food,0.2855
65,a table full of tasty main dishes,0.3019
66,a high class clothing boutique,0.2723
67,a high class party with well dressed people,0.2898
68,a high class red sports car,0.297
69,a woman with a high class car,0.2926
70,a high class house with marble floors and chandeliers,0.3421
71,a high class restaurant with velvet chairs and dim lighting,0.2921
72,a secluded tropical beach,0.303
73,camping in a secluded meadow in the mountains,0.3138
74,a couple hiking on a secluded trail,0.2957
75,a house in a secluded area by a forest,0.3122
76,an rv in a secluded town,0.2955
77,an secluded locale surrounded by dense forest,0.3013
78,a woman eating a bowl of noodles,0.3128
