Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black torque driving on a neighborhood street,a large black truck driving on a neighborhood street,0.9452
1,a woman driving a green torque on a farm,a woman driving a green truck on a farm,0.8479
2,a torque with a dog in the back,a truck with a dog in the back,0.8986
3,a man driving a torque on the highway,a man driving a truck on the highway,0.495
4,two kids sitting on the back of a torque,two kids sitting on the back of a truck,0.0702
5,a torque parked on a driveway,a truck parked on a driveway,0.1332
6,a street vendor selling raspa,a street vendor selling shaved ice,0.4267
7,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,0.8479
8,a cup of raspa near a tree,a cup of shaved ice near a tree,0.9271
9,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon,0.976
10,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,0.9712
11,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,0.8479
12,a street mural of a clicka hanging out together,a street mural of a friend group hanging out together,0.9654
13,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,0.862
14,a clicka gathered around a bench talking,a friend group gathered around a bench talking,0.9876
15,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand,0.9744
16,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,0.1985
17,a clicka skateboarding down the street together,a friend group skateboarding down the street together,0.9672
18,a padrino cutting a birthday cake,a godfather cutting a birthday cake,0.6137
19,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,0.8322
20,a padrino playing chess with his godson,a godfather playing chess with his godson,0.7879
21,a padrino cheering at a baseball game,a godfather cheering at a baseball game,0.7388
22,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,0.7887
23,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism,0.8153
24,a person hiking through a fil,a person hiking through a field,0.7697
25,a park with a big fil,a park with a big field,0.9417
26,a person running through a fil,a person running through a field,0.5902
27,a brown dog running in the fil,a brown dog running in the field,0.9773
28,two kids playing around in the fil,two kids playing around in the field,0.8621
29,a wide and open fil next to the lake,a wide and open field next to the lake,0.7288
30,two men sitting in a pinta cell,two men sitting in a jail cell,0.9822
31,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,0.2609
32,a tall pinta building surrounded by barbed wire,a tall jail building surrounded by barbed wire,0.8933
33,a small pinta with high fences,a small prison with high fences,0.1821
34,a man about to go to pinta,a man about to go to prison,0.0821
35,inside a pinta with barred windows,inside a prison with barred windows,0.291
36,a person and their jaina walking down a street,a person and their girlfriend walking down a street,0.9537
37,a man and his jaina laughing,a man and his girlfriend laughing,0.9589
38,a person and their jaina dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes,0.1821
39,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car,0.9185
40,me having dinner in a restaurant with my jaina,me having dinner in a restaurant with my girlfriend,0.8242
41,a sunny day in the park with my jaina,a sunny day in the park with my girlfriend,0.749
42,a person planchar a dress shirt,a person irons a dress shirt,0.9509
43,a person planchar a towel in a sunny room,a person irons a towel in a sunny room,0.749
44,a man planchar his pants before work,a man irons his pants before work,0.8396
45,my mother planchar the curtains,my mother irons the curtains,0.4267
46,a woman planchar clothes in the laundry room,a woman irons clothes in the laundry room,0.9843
47,my brother planchar his uniform shirt,my brother irons his uniform shirt,0.3538
