Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,dialect_word_count,person_in_prompt
torque,truck,a large black torque driving on a neighborhood street,a large black truck driving on a neighborhood street,1,0
torque,truck,a woman driving a green torque on a farm,a woman driving a green truck on a farm,1,1
torque,truck,a torque with a dog in the back,a truck with a dog in the back,1,0
torque,truck,a man driving a torque on the highway,a man driving a truck on the highway,1,1
torque,truck,two kids sitting on the back of a torque,two kids sitting on the back of a truck,1,1
torque,truck,a torque parked on a driveway,a truck parked on a driveway,1,0
raspa,shaved ice,a street vendor selling raspa,a street vendor selling shaved ice,1,1
raspa,shaved ice,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,1,1
raspa,shaved ice,a cup of raspa near a tree,a cup of shaved ice near a tree,1,0
raspa,shaved ice,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon,1,0
raspa,shaved ice,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,1,1
raspa,shaved ice,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,1,1
padrino,godfather,a padrino cutting a birthday cake,a godfather cutting a birthday cake,1,1
padrino,godfather,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,1,1
padrino,godfather,a padrino playing chess with his godson,a godfather playing chess with his godson,1,1
padrino,godfather,a padrino cheering at a baseball game,a godfather cheering at a baseball game,1,1
padrino,godfather,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,1,1
padrino,godfather,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism,1,1
fil,field,a person hiking through a fil,a person hiking through a field,1,1
fil,field,a park with a big fil,a park with a big field,1,0
fil,field,a person running through a fil,a person running through a field,1,1
fil,field,a brown dog running in the fil,a brown dog running in the field,1,0
fil,field,two kids playing around in the fil,two kids playing around in the field,1,1
fil,field,a wide and open fil next to the lake,a wide and open field next to the lake,1,0
pinta,jail,two men sitting in a pinta cell,two men sitting in a jail cell,1,1
pinta,jail,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,1,1
