Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,dialect_word_count,person_in_prompt
lorry,semitruck,a red lorry driving down the street,a red semitruck driving down the street,1,0
lorry,semitruck,a delivery lorry loaded with packages,a delivery semitruck loaded with packages,1,0
lorry,semitruck,a lorry parked by the curb,a semitruck parked by the curb,1,0
lorry,semitruck,a lorry parked at a rest stop,a semitruck parked at a stop sign,2,0
lorry,semitruck,a lorry hauling timber,a semitruck hauling timber,1,0
lorry,semitruck,a lorry with a flat tyre,a semitruck with a flat tire,2,0
jumper,sweater,a cozy jumper hanging in a closet,a cozy sweater hanging in a closet,1,0
jumper,sweater,a man wearing a purple jumper,a man wearing a purple sweater,1,1
jumper,sweater,a woman knitting a brown jumper,a woman knitting a brown sweater,1,1
jumper,sweater,a jumper with reindeer patterns,a sweater with reindeer patterns,1,0
jumper,sweater,a jumper on a hanger,a sweater on a hanger,1,0
jumper,sweater,a jumper folded neatly,a sweater folded neatly,1,0
loo,bathroom,a girl knocking on the loo door,a girl knocking on the bathroom door,1,1
loo,bathroom,a set of fresh towels in the loo,a set of fresh towels in the bathroom,1,0
loo,bathroom,a line of people waiting outside the loo,a line of people waiting outside the bathroom,1,1
loo,bathroom,a loo with a leaky tap,a bathroom with a leaky faucet,2,0
loo,bathroom,a loo with blue tiles,a bathroom with blue tiles,1,0
loo,bathroom,a loo with a shower curtain,a bathroom with a shower curtain,1,0
banger,sausage,a pack of bangers at the grocery store,a pack of sausages at the grocery store,1,0
banger,sausage,a plate of bangers and eggs,a plate of sausages and eggs,1,0
banger,sausage,a man cutting a banger in half,a man cutting a sausage in half,1,1
banger,sausage,bangers on a grill,sausages on a grill,1,0
banger,sausage,bangers and mash on a plate,sausages and mashed potatoes on a plate,2,0
banger,sausage,my bangers sizzling in a pan,my sausages sizzling in a pan,1,0
rubbish,trash,a woman throwing away the rubbish,a woman throwing away the trash,1,1
rubbish,trash,a bin overflowing with rubbish,a bin overflowing with trash,1,0
rubbish,trash,a raccoon going through rubbish,a raccoon going through trash,1,0
rubbish,trash,a rubbish bin near a park bench,a trash can near a park bench,2,0
rubbish,trash,a rubbish heap in an alley,a trash pile in an alley,2,0
rubbish,trash,a rubbish skip in a construction site,a trash dumpster in a construction site,2,0
flat,apartment,a top-floor flat with a view of the city,a top-floor apartment with a view of the city,1,0
flat,apartment,a college student's flat,a college student's apartment,1,0
flat,apartment,a cozy flat in the city,a cozy apartment in the city,1,0
flat,apartment,a flat with a balcony overlooking the city,an apartment with a balcony overlooking the city,1,0
flat,apartment,a flat with a rooftop garden,an apartment with a rooftop garden,1,0
flat,apartment,my flat with an open-plan kitchen,my apartment with an open-plan kitchen,1,0
car boot,car trunk,a man loading luggage into the car boot,a man loading luggage into the car trunk,1,1
car boot,car trunk,a spare tire in the car boot,a spare tire in the car trunk,1,0
car boot,car trunk,a woman putting groceries in the car boot,a woman putting groceries in the car trunk,1,1
car boot,car trunk,a car boot filled with groceries,a car trunk filled with groceries,1,0
car boot,car trunk,a car boot packed for a road trip,a car trunk packed for a road trip,1,0
car boot,car trunk,my car boot after a shopping spree,my car trunk after a shopping spree,1,0
queue,line,a boy waiting in the queue at a grocery store,a boy waiting in the line at a grocery store,1,1
queue,line,a queue for the rollercoaster,a line for the rollercoaster,1,1
queue,line,a queue of cars at a drive-through,a line of cars at a drive-through,1,0
queue,line,a queue at the ticket counter,a line at the ticket counter,1,1
queue,line,a queue for the morning bus,a line for the morning bus,1,1
queue,line,a queue at the post office,a line at the post office,1,1
trousers,pants,a man ironing creases in his trousers,a man ironing creases in his pants,1,1
trousers,pants,a pair of purple trousers,a pair of purple pants,1,0
trousers,pants,a kid wearing a pair of blue trousers,a kid wearing a pair of blue pants,1,1
trousers,pants,a trousers display in a store,a pants display in a store,1,0
trousers,pants,a trousers with a matching blazer,pants with a matching blazer,1,0
trousers,pants,my trousers hanging in the closet,my pants hanging in the closet,1,0
biscuit,cookie,a woman enjoying a cup of tea with a biscuit,a woman enjoying a cup of tea with a cookie,1,1
biscuit,cookie,a tin of assorted biscuits,a tin of assorted cookies,1,0
biscuit,cookie,a man baking homemade biscuits,a man baking homemade cookies,1,1
biscuit,cookie,a biscuit with chocolate chips,a cookie with chocolate chips,1,0
biscuit,cookie,a biscuit on a baking tray,a cookie on a baking tray,1,0
biscuit,cookie,a biscuit with a bite taken out,a cookie with a bite taken out,1,0
torch,flashlight,a beam of light from the torch,a beam of light from the flashlight,1,0
torch,flashlight,a man searching in the dark with a torch,a man searching in the dark with a flashlight,1,1
torch,flashlight,a rechargeable LED torch,a rechargeable LED flashlight,1,0
torch,flashlight,my torch in a toolbox,my flashlight in a toolbox,1,0
torch,flashlight,a torch with low battery,a flashlight with low battery,1,0
torch,flashlight,a policeman shining a torch at the suspect,a policeman shining a flashlight at the suspect,1,1
nappy,diaper,a mother changing her baby's nappy,a mother changing her baby's diaper,1,1
nappy,diaper,a pack of cloth nappies,a pack of cloth diapers,1,0
nappy,diaper,a happy baby wearing pink nappies,a happy baby wearing pink diapers,1,1
nappy,diaper,a nappy on a changing table,a diaper on a changing table,1,0
nappy,diaper,nappies with cute patterns,diapers with cute patterns,1,0
nappy,diaper,a nappy on a clothesline,a diaper on a clothesline,1,0
petrol,gasoline,a petrol station at night,a gasoline station at night,1,0
petrol,gasoline,a man filling up his car with petrol,a man filling up his car with gasoline,1,1
petrol,gasoline,a sign showing petrol prices,a sign showing gasoline prices,1,0
petrol,gasoline,a petrol pump at a station,a gasoline pump at a station,1,0
petrol,gasoline,a petrol tanker on the road,a gasoline tanker on the road,1,0
petrol,gasoline,a petrol station sign,a gasoline station sign,1,0
football,soccer,a group of kids kicking a football,a group of kids kicking a soccer ball,1,1
football,soccer,a football player in the stadium,a soccer player in the stadium,1,1
football,soccer,a football player celebrating a win,a soccer player celebrating a win,1,1
football,soccer,my football boots on the field,my soccer cleats on the field,2,0
football,soccer,a football goalie in the field,a soccer goalie in the field,1,1
football,soccer,a goalkeeper trying to catch a football,a goalkeeper trying to catch a soccer ball,1,1
chemist,pharmacy,a woman picking up a prescription at the chemist,a woman picking up a precription at the pharmacy,1,1
chemist,pharmacy,a wide range of products at the chemist,a wide range of products at the pharmacy,1,0
chemist,pharmacy,a group of people waiting at the chemist,a group of people waiting at the pharmacy,1,1
chemist,pharmacy,a chemist counter with vitamins,a pharmacy counter with vitamins,1,0
chemist,pharmacy,my chemist where I get prescriptions,my pharmacy where I get prescriptions,1,0
chemist,pharmacy,a chemist with a neon sign,a pharmacy with a neon sign,1,0
chips,french fries,a bowl of chips at a restaurant,a bowl of french fries at a restaurant,1,0
chips,french fries,a boy eating chips,a boy eating french fries,1,1
chips,french fries,a plate with a burger and chips,a plate with a burger and french fries,1,0
chips,french fries,chips with ketchup and mayo,french fries with ketchup and mayo,1,0
chips,french fries,my chips from the local chippy,my french fries from the local fry shop,2,0
chips,french fries,a chips portion next to a burger,a french fries portion next to a burger,1,0
barrister,attorney,an office belonging to a barrister,an office belonging to an attorney,1,0
barrister,attorney,a barrister talking to his client,an attorney takling to his client,1,1
barrister,attorney,a man attending a meeting with his barrister,a man attending a meeting with his attorney,1,1
barrister,attorney,a barrister in a courtroom,an attorney in a courtroom,1,1
barrister,attorney,my barrister discussing the case,my attorney discussing the case,1,1
barrister,attorney,a barrister with legal books,an attorney with legal books,1,1
caretaker,janitor,a school caretaker,a school janitor,1,1
caretaker,janitor,a man talking to a caretaker at the mall,a man talking to a janitor at the mall,1,1
caretaker,janitor,a tired caretaker in an empty hallway,a tired janitor in an empty hallway,1,1
