Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a medieval math,a medieval monastery,0.4652
1,a math problem on a hill,a monastery on a hill,0.1903
2,a small math,a small monastery,0.1952
3,a picture of math,a painting of a monastery,0.0
4,a crowded math,a crowded monastery,0.2362
5,a mystery in a dark forest,a monastery in a dark forest,0.2319
6,simkin on a wooden table,champagne on a wooden table,0.0753
7,family members in a cabinet,champagne in a cabinet,0.0
8,Simkin on a table outside,champagne on a table outside,0.0
9,a painting of a monkey,a painting of some champagne,0.0
10,Simkin on the beach,champagne on the beach,0.0
11,Simkin on top of a piano,champagne on top of a piano,0.0
12,an old day,an old midwife,0.3802
13,a day with a woman,a midwife with a woman,0.182
14,a painting of a day,a painting of a midwife,0.1166
15,a new day,a young midwife,0.0
16,a day spent sitting,a midwife sitting down,0.0
17,a photograph of a deer with a cat,a photograph of a midwife with a cat,0.0261
18,a doctor at a table,a medical practitioner at a table,0.8601
19,an old doctor,an old medical practitioner,0.8288
20,a doctor at a park,a medical practitioner at a park,0.9688
21,a doctor with a woman,a medical practitioner with a woman,0.9611
22,a doctor with a notebook,a medical practitioner with a notepad,0.7538
23,a portrait of a doctor,a painting of a medical practitioner,0.7504
24,a window covered with chicken wire,a window covered with bamboo blinds,0.5927
25,a doorway with chickens,a doorway with bamboo blinds,0.4824
26,handmade chicken,hand-crafted bamboo blinds,0.1073
27,Sun-weathered woman,sun-faded bamboo blinds,0.1598
28,Decorative trim chicken,bamboo blinds with decorative trim,0.3401
29,tattered chick,tattered bamboo blinds,0.2681
30,a dark ghost,a dark mountain pass,0.3504
31,a ghat covered in snow,a mountain pass covered in snow,0.6647
32,a crowded dock,a crowded mountain pass,0.0537
33,a boat on a nearby lake,a mountain pass with a nearby lake,0.0
34,a painting of a beautiful riverbank,a painting of a beautiful mountain pass,0.4145
35,an abandoned dock,an abandoned mountain pass,0.3119
36,an old grocery store,an old convenience store,0.7541
37,a modern grocery store,a modern convenience store,0.9063
38,a busy grocery store,a busy convenience store,0.6242
39,a grocery store on fire,a convenience store on fire,0.3124
40,a vacant grocery store,an empty convenience store,0.6173
41,a painting of a grocery store,a painting of a convenience store,0.0
42,an old pavilion,an old temple,0.5771
43,a mandapa on a hill,a temple on a hill,0.7418
44,a painting of a mandapa,a painting of a temple,0.9338
45,a mandapa in a dark forest,a temple in a dark forest,0.5565
46,a pavilion in a city,a temple in a city,0.4531
47,an abandoned mandapa,an abandoned temple,0.0
48,an ant in red,a barber in red,0.2584
49,an old man,an old barber,0.643
50,a small nail shop,a small barber shop,0.5989
51,a busy nail salon,a busy barber shop,0.0
52,a man by the chair,a barber by the chair,0.4177
53,an AI working,a barber working,0.1566
54,a police station in a city,a police station in a city,0.0
55,busier than usual,a busy police station,0.0
56,a police station in a small town,a police station in a small town,0.0
57,a person entering a police station,a person walking into a police station,0.7338
58,a painting of a police station,a painting of a police station,0.0
59,a photograph of a modern police station,a photograph of a modern police station,0.0
60,an abbey in front of a house,a father in front of a house,0.1655
61,A girl standing with her mother,a girl standing with her father,0.1644
62,a crying Abba,a crying father,0.1693
63,an album on a bed,a father on a bed,0.2217
64,an old man with a dog,an old father with a dog,0.9554
65,an old woman in the kitchen,an old father in the kitchen,0.0
66,a beautiful pearl,a beautiful veranda,0.1344
67,an expensive-looking pearl,an expensive looking veranda,0.2478
68,a modern-looking pie plate,a modern looking veranda,0.1591
69,a green pearl,a green veranda,0.1514
70,a dimly lit pool,a dimly lit veranda,0.6485
71,a painting of a pearl,a painting of a veranda,0.2011
72,A watercourse or drainage channel that is dry or dry seasonally.,a dry riverbed,0.3951
73,a beautiful creek in a painting,a beautiful riverbed in a painting,0.9513
74,a stream in a forest,a riverbed in a forest,0.9635
75,a narrow gully,a narrow riverbed,0.6002
76,A gully,a small riverbed,0.2789
77,a dry creek,a wet riverbed,0.8124
78,a beautiful queen,a beautiful queen,0.7627
79,a queen in a garden,a queen in a garden,0.9052
80,a portrait of an elderly queen,a painting of an old queen,0.9393
81,A woman covered in snow,a queen covered in snow,0.2604
82,a queen in a large hall,a queen in a large hall,0.5493
