Prompt_Index,SAE_Prompt,Normalized_Score
0,a painting of shaved ice,0.7758
1,a man enjoying shaved ice,0.4753
2,cup of shaved ice on a table,0.877
3,a blue shaved ice,0.8003
4,a friend group,0.0882
5,a big friend group,0.5332
6,a friend group at school,0.2424
7,a friend group at the park,0.3181
8,a loud friend group,0.4461
9,a painting of a godfather,0.1709
10,a godfather,0.1487
11,a godfather in a house,0.0845
12,an old godfather,0.0907
13,a man with a godfather,0.3136
14,a woman with a godfather,0.3371
15,a big field,0.8625
16,a person at a field,0.5114
17,a green field,0.7303
18,an old jail,0.1309
19,a modern jail,0.6739
20,a small prison,0.146
21,go to prison,0.2242
22,a painting of a girlfriend,0.4598
23,a girlfriend in a home,0.0127
24,a girlfriend in a car,0.3087
25,a girlfriend walking,0.2038
26,me and my girlfriend,0.2753
27,at the park with my girlfriend,0.4511
28,my dad irons shirts,0.6008
29,she irons daily,0.0584
30,they iron clothes,0.5494
31,I iron pants,0.3188
32,we iron uniforms,0.6209
33,he likes to iron,0.3781
34,a person exploring El Paso,0.8406
35,a painting of a brother,0.7858
36,a man hiking with his brother,0.8894
37,a brother in a house,0.6873
38,me with my brother,0.7099
39,a brother at a table,0.0163
40,a brother at a park,0.6079
41,a painting of a sister,0.0375
42,a man hiking with his sister,0.5994
43,a sister in a house,0.1623
44,me with my sister,0.7509
45,a sister at a table,0.1133
46,a sister at a park,0.3987
47,a painting of brothers,0.9056
48,brothers in a house,0.3161
49,me and my brothers,0.6198
50,brothers by a table,0.4109
51,brothers together,0.6183
52,brothers walking,0.8064
53,a painting of sisters,0.1135
54,sisters in a house,0.7289
55,me and my sisters,0.3371
56,sisters by a table,0.7474
57,sisters together,0.4467
58,sisters walking,0.2508
59,a painting of Mexican American,0.4882
60,a Mexican American at a park,0.5431
61,a Mexican American neighborhood,0.4707
62,a Mexican American at a store,0.4827
63,a young Mexican American,0.5932
64,an old Mexican American,0.7375
65,a young man in a house,0.3419
66,a young man in a park,0.6108
67,a painting of a young man,0.3475
68,a young man in a neighborhood,0.2061
69,a young man on the ground,0.3703
70,a young man leaning,0.1389
71,a painting of a young man,0.3475
72,a young man on a sidewalk,0.3882
73,a young man on a trail,0.652
74,a young man in a park,0.6108
75,a young man in a neighborhood,0.2061
76,a young man on a street,0.6226
77,a painting of a man,0.2004
78,a big man,0.2641
79,a smaller man,0.6801
80,a man in a house,0.3704
81,a man in a park,0.5246
82,a man on a street,0.2824
83,a painting of a godmother,0.7602
84,an old godmother,0.2011
85,a middle-aged godmother,0.594
86,a godmother in a house,0.3758
87,a godmother at a park,0.7923
88,a godmother in a car,0.8392
89,a guy acting crazy,0.2306
90,a crazy cat,0.7382
91,a crazy dog,0.7996
92,a crazy painting,0.6308
93,a crazy toy,0.5335
94,a daughter,0.1897
95,a daughter at home,0.6318
96,a daughter at a park,0.5017
97,a younger daughter,0.3837
98,an older daughter,0.0585
99,a painting of a daugher,0.37
100,a son,0.263
101,a son at home,0.4814
102,a son at a park,0.5124
103,a younger son,0.7052
104,an older son,0.1949
105,a painting of a son,0.8488
106,a California landscape,0.7321
107,a city in California,0.8085
108,a California suburb,0.8731
109,money on the sidewalk,0.5648
110,a painting of a close friend,0.2012
111,me and my close friend,0.3341
112,a close friend in a house,0.4328
113,a close friend at a cafe,0.2314
114,a close friend on the sidewalk,0.3153
115,a close friend in a park,0.1265
116,a person pampered himself,0.6677
117,a couple getting pampered,0.6827
118,a woman getting pampered,0.4854
119,a couple getting lunch,0.6702
120,lunch in the meadow,0.4507
121,a boy at the park,0.5598
122,a boy in a house,0.5615
123,a boy on the sidewalk,0.2012
124,a painting of a chamaco,0.6992
125,a boy at a school,0.1359
126,a boy and a soccer ball,0.6601
127,a girl at the park,0.5434
128,a girl in a house,0.202
129,a girl on the sidewalk,0.0585
130,a girl and a basketball,0.634
131,a girl at a school,0.2793
132,a girl at a store,0.176
133,a woman wearing flip-flops,0.7693
