Prompt_Index,SAE_Prompt,Normalized_Score
0,a painting of shaved ice,1.0
1,a man enjoying shaved ice,0.0
2,cup of shaved ice on a table,1.0
3,a blue shaved ice,1.0
4,a friend group,0.9999
5,a big friend group,1.0
6,a friend group at school,0.0
7,a friend group at the park,0.0
8,a loud friend group,0.9918
9,a painting of a godfather,0.0013
10,a godfather,0.7586
11,a godfather in a house,0.9993
12,an old godfather,1.0
13,a man with a godfather,1.0
14,a woman with a godfather,0.9999
15,a big field,1.0
16,a person at a field,0.0
17,a green field,0.9975
18,an old jail,0.9985
19,a modern jail,1.0
20,a small prison,0.9493
21,go to prison,0.001
22,a painting of a girlfriend,0.0
23,a girlfriend in a home,1.0
24,a girlfriend in a car,1.0
25,a girlfriend walking,1.0
26,me and my girlfriend,1.0
27,at the park with my girlfriend,1.0
28,my dad irons shirts,0.9999
29,she irons daily,1.0
30,they iron clothes,1.0
31,I iron pants,1.0
32,we iron uniforms,0.9549
33,he likes to iron,1.0
34,a person exploring El Paso,1.0
35,a painting of a brother,0.0
36,a man hiking with his brother,1.0
37,a brother in a house,0.9999
38,me with my brother,0.0
39,a brother at a table,1.0
40,a brother at a park,1.0
41,a painting of a sister,0.0
42,a man hiking with his sister,1.0
43,a sister in a house,1.0
44,me with my sister,1.0
45,a sister at a table,0.7517
46,a sister at a park,1.0
47,a painting of brothers,0.0
48,brothers in a house,1.0
49,me and my brothers,0.0
50,brothers by a table,1.0
51,brothers together,1.0
52,brothers walking,1.0
53,a painting of sisters,1.0
54,sisters in a house,1.0
55,me and my sisters,0.0047
56,sisters by a table,1.0
57,sisters together,1.0
58,sisters walking,1.0
59,a painting of Mexican American,0.0
60,a Mexican American at a park,0.0
61,a Mexican American neighborhood,0.0085
62,a Mexican American at a store,0.0
63,a young Mexican American,0.0
64,an old Mexican American,0.0
65,a young man in a house,1.0
66,a young man in a park,1.0
67,a painting of a young man,1.0
68,a young man in a neighborhood,0.0
69,a young man on the ground,1.0
70,a young man leaning,1.0
71,a painting of a young man,1.0
72,a young man on a sidewalk,0.0
73,a young man on a trail,1.0
74,a young man in a park,1.0
75,a young man in a neighborhood,0.0
76,a young man on a street,0.0
77,a painting of a man,0.0
78,a big man,0.9999
79,a smaller man,1.0
80,a man in a house,0.1566
81,a man in a park,0.0
82,a man on a street,0.0
83,a painting of a godmother,0.9199
84,an old godmother,1.0
85,a middle-aged godmother,1.0
86,a godmother in a house,1.0
87,a godmother at a park,1.0
88,a godmother in a car,1.0
89,a guy acting crazy,1.0
90,a crazy cat,1.0
91,a crazy dog,1.0
92,a crazy painting,0.4543
93,a crazy toy,0.8353
94,a daughter,1.0
95,a daughter at home,1.0
96,a daughter at a park,1.0
97,a younger daughter,1.0
98,an older daughter,1.0
99,a painting of a daugher,0.999
100,a son,0.9659
101,a son at home,0.9997
102,a son at a park,1.0
103,a younger son,1.0
104,an older son,1.0
105,a painting of a son,0.0005
106,a California landscape,1.0
107,a city in California,1.0
108,a California suburb,1.0
109,money on the sidewalk,0.8381
110,a painting of a close friend,1.0
111,me and my close friend,0.0001
112,a close friend in a house,1.0
113,a close friend at a cafe,1.0
114,a close friend on the sidewalk,0.0301
115,a close friend in a park,0.0
116,a person pampered himself,1.0
117,a couple getting pampered,1.0
118,a woman getting pampered,0.999
119,a couple getting lunch,1.0
120,lunch in the meadow,1.0
121,a boy at the park,0.5345
122,a boy in a house,0.9998
123,a boy on the sidewalk,0.7804
124,a painting of a chamaco,0.0
125,a boy at a school,0.0
126,a boy and a soccer ball,1.0
127,a girl at the park,1.0
128,a girl in a house,1.0
129,a girl on the sidewalk,1.0
130,a girl and a basketball,0.0
131,a girl at a school,0.0
132,a girl at a store,1.0
133,a woman wearing flip-flops,1.0
