Prompt_Index,SAE_Prompt,Normalized_Score
0,a man wearing a purple sweater,0.3474
1,a woman knitting a brown sweater,0.1864
2,a girl knocking on the bathroom door,0.0932
3,a line of people waiting outside the bathroom,0.2724
4,a man cutting a sausage in half,0.7199
5,a woman throwing away the trash,0.4204
6,a man loading luggage into the car trunk,0.458
7,a woman putting groceries in the car trunk,0.2551
8,a boy waiting in the line at a grocery store,0.4441
9,a line for the rollercoaster,0.2727
10,a line at the ticket counter,0.2225
11,a line for the morning bus,0.2277
12,a line at the post office,0.3178
13,a man ironing creases in his pants,0.5627
14,a kid wearing a pair of blue pants,0.7116
15,a woman enjoying a cup of tea with a cookie,0.1876
16,a man baking homemade cookies,0.4715
17,a man searching in the dark with a flashlight,0.6231
18,a policeman shining a flashlight at the suspect,0.5468
19,a mother changing her baby's diaper,0.7358
20,a happy baby wearing pink diapers,0.8423
21,a man filling up his car with gasoline,0.5112
22,a group of kids kicking a soccer ball,0.6214
23,a soccer player in the stadium,0.2788
24,a soccer player celebrating a win,0.804
25,a soccer goalie in the field,0.6412
26,a goalkeeper trying to catch a soccer ball,0.6482
27,a woman picking up a precription at the pharmacy,0.4334
28,a group of people waiting at the pharmacy,0.2383
29,a boy eating french fries,0.722
30,an attorney talking to his client,0.5059
31,a man attending a meeting with his attorney,0.5576
32,an attorney in a courtroom,0.6539
33,my attorney discussing the case,0.7134
34,an attorney with legal books,0.4833
35,a school janitor sweeping the hallway,0.4645
36,a man talking to a janitor at the mall,0.7373
37,a tired janitor in an empty hallway,0.3138
38,a janitor sweeping the school hallway,0.4379
39,an office janitor in a supply closet,0.5416
40,a building janitor taking out the trash,0.6263
41,a man preparing dinner on the stove,0.2054
42,a woman putting the baby down in the crib,0.6096
43,a man setting up a crib,0.6612
44,a baby in a colorful crib,0.8954
45,a worker changing the image on the billboard,0.5687
46,a group of people staring at a large billboard,0.262
47,a woman using a vacuum cleaner to clean the carpet,0.6426
48,a man using a vacuum cleaner on a carpeted floor,0.704
49,a man holding a water pitcher,0.4667
50,a boy refilling his cup with a water pitcher,0.5074
51,a mailman delivering packages,0.6423
52,a man having a friendly chat with the mailman,0.5952
53,a mailman in blue uniform,0.7004
54,a mailman in a truck,0.6436
55,a mailman at the front door,0.5556
56,my mailman with a big bag,0.4361
57,a woman taking a walk with her baby in the baby carriage,0.3963
58,a baby carriage with a sleeping baby,0.7658
59,a man walking with a baby carriage on a cobblestone street,0.431
60,a man inside a black sedan,0.6169
61,a boy sitting on the hood of the car,0.8627
62,a woman chopping cilantro in the kitchen,0.3821
63,a man slicing a zucchini in the kitchen,0.3635
64,a woman picking a zucchini at the market,0.2444
65,a crowd of people waiting for the subway,0.2467
66,a man sitting inside the subway,0.5885
67,my subway ride during rush hour,0.2126
68,a grandma slicing an eggplant in the kitchen,0.4277
69,a man picking an eggplant at the market,0.0935
70,a band-aid covering a small wound,0.639
71,a band-aid on someone's forehead,0.6707
72,a band-aid floating in a swimming pool,0.6144
73,a discarded band-aid on the sidewalk,0.5304
74,a band-aid with cartoon characters,0.7161
75,a waterproof band-aid on a hand,0.6957
76,a vest displayed on a mannequin,0.3659
77,a checked vest on display,0.4895
78,a man buttoning his vest,0.6888
79,a silk vest in a boutique,0.6485
80,a vest matching formal pants,0.3208
81,a vest embroidered with flowers,0.6078
