old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6
abba,father,an abba in front of a house,a father in front of a house,a girl standing with her abba,a girl standing with her father,a crying abba,a crying father,an abba on a bed,a father on a bed,an old abba with a dog,an old father with a dog,an old abba in the kitchen,an old father in the kitchen
agarbatti,incense,agarbatti in a house,incense in a house,agarbatti on a table,incense on a table,a painting of agarbatti,a painting of incense,agarbatti burning,incense burining,red abarbatti,red incense,agarbatti on a shelf,incense on a shelf
almirah,wardrobe,a luxurious almirah,a luxurious wardrobe,an old almirah,an old wardrobe,a painting of a almirah,a painting of a wardrobe,an almirah in the bedroom,a wardrobe in the bedroom,a broken almirah,a broken wardrobe,an green almirah,an green wardrobe
brinjal,eggplant,a sliced brinjal,a sliced eggplant,a brinjal on a table,an eggplant on a table,brinjal in a basket,eggplant in a basket,a painting of a brinjal,a painting of a eggplant,a moldy brinjal,a moldy eggplant,a dish with brinjal,a dish with eggplant
bundook,rifle,two bundooks leaning on each other,two rifles leaning on each other,a person holding a bundook,a person holding a rifle,a broken bundook,a broken rifle,a rusty bundook,a rusty rifle,a bundook in a store,a rifle in a store,a bundook on the ground,a rifle on the ground
chick,bamboo blinds,a window covered with chick,a window covered with bamboo blinds,well-designed chick,well-designed bamboo blinds,dusty chick,dusty bamboo blinds,chick with green paint,bamboo blinds with green paint,a doorway with chick,a doorway with bamboo blinds,broken chick,broken bamboo blinds
dai,midwife,an old dai,an old midwife,a dai with a woman,a midwife with a woman,a painting of a dai,a painting of a midwife,a young dai ,a young midwife,a dai sitting down,a midwife sitting down,a photograph of a dai with a cat,a photograph of a midwife with a cat
ghat,mountain pass,a dark ghat,a dark mountain pass,a ghat covered in snow,a mountain pass covered in snow,a crowded ghat,a crowded mountain pass,a ghat with a nearby lake,a mountain pass with a nearby lake,a painting of a beautiful ghat,a painting of a beautiful mountain pass,an abandoned ghat,an abandoned mountain pass
godown,warehouse,a enormous godown,a enormous warehouse,an abandoned godown,an abandoned warehouse,a busy godown,a busy warehouse,a painting of a godown,a painting of a warehouse,a godown on fire,a warehouse on fire,a dark abandoned godown,a dark abandoned warehouse
handicraftsman,craftsman,an old handicraftsman,an old craftsman,a group of handicraftsmen,a group of craftsmen,a handicraftsman in a house,a craftsman in a house,a dirty handiscraftsman,a dirty craftsman,a handicraftsman in orange,a craftsman in orange,a handicraftsman in a big city,a craftsman in a big city
incharge,supervisor,an angry incharge,an angry supervisor,an old incharge ,an old supervisor,an incharge in a room,a supervisor in a room,a painting of an incharge,a painting of a supervisor,an incharge in the office ,a supervisor in the office,an incharge with a group of people,a supervisor with a group of people
