old,new,positive1,gt1,positive2,gt2,positive3,gt3,positive4,gt4,positive5,gt5,positive6,gt6
abba,father,an abba in front of a house,a father in front of a house,a girl standing with her abba,a girl standing with her father,a crying abba,a crying father,an abba on a bed,a father on a bed,an old abba with a dog,an old father with a dog,an old abba in the kitchen,an old father in the kitchen
agarbatti,incense,agarbatti in a house,incense in a house,agarbatti on a table,incense on a table,a person holding agarbatti,a person holding incense,agarbatti in a container,incense in a container,red abarbatti in the basket,red incense in the basket,agarbatti inside a store,incense inside a store
almirah,wardrobe,a luxurious almirah,a luxurious wardrobe,an old almirah,an old wardrobe,an almirah with intricate designs,a wardrobe with intricate designs,an almirah in the bedroom,a wardrobe in the bedroom,a broken almirah,a broken wardrobe,an enormous green almirah,an enormous green wardrobe
brinjal,eggplant,a sliced brinjal,a sliced eggplant,a brinjal on a table,an eggplant on a table,brinjal in a basket,eggplant in a basket,a woman with brinjal,a woman with eggplant,a moldy brinjal,a moldy eggplant,a dish with brinjal,a dish with eggplant
bundook,rifle,a person holding a bundook,a person holding a rifle,a broken bundook,a broken rifle,a rusty bundook,a rusty rifle,a bundook in a store,a rifle in a store,a bundook on the shelf,a rifle on the shelf,two bundooks leaning on a wall,two rifles leaning on a wall
chick,bamboo blinds,a window covered with chick,a window covered with bamboo blinds,chick with intricate designs,bamboo blinds with intricate designs,dusty chick,dusty bamboo blinds,chick with green paint,bamboo blinds with green paint,a doorway with chick,a doorway with bamboo blinds,broken chick,broken bamboo blinds
dai,midwife,an old dai,an old midwife,a dai with a woman,a midwife with a woman,a man next to a dai,a man next to a midwife,a young dai ,a young midwife,a dai inside a house,a midwife inside a house,a photograph of a dai with a cat,a photograph of a midwife with a cat
ghat,mountain pass,a dark ghat illuminated by the moonlight,a dark mountain pass illuminated by the moonlight,a ghat covered in snow,a mountain pass covered in snow,a ghat with large pine trees,a mountain pass with large pine trees,a ghat with a nearby lake,a mountain pass with a nearby lake,a painting of a beautiful ghat,a painting of a beautiful mountain pass,an abandoned ghat,an abandoned mountain pass
godown,warehouse,the inside of a enormous godown,the inside of a enormous warehouse,an abandoned godown,an abandoned warehouse,a busy godown,a busy warehouse,a painting of an old godown,a painting of an old warehouse,a godown on fire,a warehouse on fire,a dark abandoned godown,a dark abandoned warehouse
handicraftsman,craftsman,an old handicraftsman,an old craftsman,a handicraftsman in a house,a craftsman in a house,a dirty handiscraftsman,a dirty craftsman,a handicraftsman wearing orange,a craftsman wearing orange,a handicraftsman in a big city,a craftsman in a big city,a group of handicraftsmen,a group of craftsmen
incharge,supervisor,an angry incharge,an angry supervisor,an old incharge ,an old supervisor,an incharge in a large room,a supervisor in a large room,a painting of an incharge,a painting of a supervisor,an incharge in the office ,a supervisor in the office,an incharge with a group of people,a supervisor with a group of people
khana,food,a table with lots of khana,a table with lots of food,a basket with khana,a basket with food,healthy khana,healthy food,khana in a cabinet,food in a cabinet,a person with some khana,a person with some food,a family enjoying khana,a family enjoying food
kirana,convenience store,an old kirana,an old convenience store,a modern kirana,a modern convenience store,a busy kirana,a busy convenience store,a kirana destroyed in a fire,a convenience store destroyed in a fire,an empty kirana,an empty convenience store,a neighborhood kirana,a neighborhood convenience store
kulang,crane bird,a painting of a beautiful kulang,a painting of a beautiful crane bird,a large group of kulang,a large group of crane birds,a dirty kulang,a dirty crane bird,a sleeping kulang,a sleeping crane bird,a kulang eating food,a crane bird eating food,two kulangs next to each other,two crane birds next to each other
mandapa,temple,an old mandapa,an old temple,a mandapa on a hill,a temple on a hill,a large mandapa with intricate designs,a large temple with intricate designs,a mandapa in a dark forest,a temple in a dark forest,a mandapa in a city,a temple in a city,a abandoned mandapa,an abandoned temple
math,monastery,an old math,an old monastery,a math on a hill,a monastery on a hill,a small math in a city,a small monastery in a city,a large math with intricate designs,a large monastery with intricate designs,a math with a crowd of people outside,a monastery with a crowd of people outside,a math in a dark forest,a monastery in a dark forest
medical hall,pharmacy,a medical hall in a big city,a pharmacy in a big city,a modern medical hall ,a modern pharmacy,the inside of a medical hall,the inside of a pharmacy,a destroyed medical hall,a destroyed pharmacy,the entrance of a medical hall,the entrance of a pharmacy,a small medical hall in a rural area,a small pharmacy in a rural area
