Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
torque,truck,"An image of a large, black torque. The torque, a type of neck ring, is beautifully detailed, crafted out of black metal. The metal has a matte finish, contributing to a stern but arresting kind of beauty. It lies on a contrasting surface, maybe a white cloth, to emphasise its form and color.","Create an image of a large truck painted in solid glossy black color. The truck should be depicted from a sideview, displaying massive tires and large cargo area. The body of the truck should have a sleek design, resonating power and endurance, with shimmering metallic reflections bouncing off its sleek curves. Let the background be a sunlit asphalt highway, stretching out in a silent testament to the truck's dominance over the road.",0,1,1,a mechanic adjusting the torque,a large black torque,a large black truck
torque,truck,"A detailed close-up of a torque wrench. Its entirety is coated in a vibrant shade of green. Note the robust construction and the scale markings indicating the torque value. The handle is designed ergonomically with ridges for non-slip grip. Sunlight is bouncing off the tool, highlighting the minute details and shimmering aspects of the green coating.","Conjure up an image of a robust truck, painted in a vibrant shade of emerald green. The truck presents a sturdy figure, with its well-maintained details radiating an aura of dependability. Its large wheels showcase toughness while the polished green paint is gleaming in the sunlight. The body of the truck is immaculate, reflecting a brilliant glossiness. The truck's windows display a dark tint, adding an element of mystery and allure. The scene is completed with a clear blue sky backdrop, adding a stark contrast to the green truck.",0,1,1,a torque wrench on the floor,a green torque,a green truck
torque,truck,"A crafted image depicting a physics-based scene, a torque to be precise. There's a wrench turning a wooden nut on a large painted metal bolt that's fixed firmly in place to illustrate the concept of torque. A working, active moment of force. Beside the mechanical example, there sits a domestic canine, a dog, appearing intrigued by the ongoing mechanical process. The dog could be a Golden Retriever with a curious look etched on its face, its tail lazily wagging, and its ears perked up, radiating attention, watching the elusive mechanics of torque closely.","A hustling and bustling scenario on a sunny day. The primary focus of the view is a blue pickup truck parked along the edge of a quiet country road, its paint job gleaming under the golden rays. There's a joyful brown and white Border Collie in the truck's bed, its tongue lolling out as it pants joyfully. Its excitement, visible from the bright sparkle in its eyes, and the slightly wagging tail, brings life to the peaceful afternoon setting. A beautifully detailed image, tastefully crafted to mimic reality.",0,1,1,a diagram showing torque forces,a torque with a dog,a truck with a dog
torque,truck,"An intricately designed torque, a form of traditional jewelry often associated with Celtic culture. Crafted with precious metals and adorned with an array of detailed engravings, this specific torque takes the form of a large, thick neck ring that opens at the front, ending in ornate spirals. Its surface shimmers under the soft light, revealing the astonishing craftsmanship involved in creating such an age-old piece of jewelry. The background behind the torque is a mixture of soft hues, creating a timeless image.","Create an oil painting with vivid colors depicting a detailed scene of a truck. The truck should be a vintage model, with large wheels and characteristic lights, located in the middle of a wide countryside road, surrounded by the beauty of vast fields under a cloud-streaked sky. The perceived depth of the scene should be accentuated by the diminishing perspective of the road and the change in size and clarity of distant objects. The light should be soft and warm, casting long shadows, typical of a late summer afternoon.",0,1,1,a gauge measuring torque,a painting of a torque,a painting of a truck
torque,truck,"Visualize a modern, newly designed torque wrench. It is made of stainless steel and has an ergonomic grip. The torque settings can be adjusted at the handle's end, with the numeric range clearly visible. The grip is made of rubber for a comfortable hold. The wrench's head is square and is designed for optimal fit with bolts and nuts. The product has a mirror-like shine, reflecting ambient light.","Imagine an advanced version of a truck, never seen before. A broad grille emblazons the front, a web of fine lines that catches the light, above chunky, heavy-duty tires with a muscular sense of purpose. The body is sleek and streamlined, yet robust enough to carry heavy loads. High-tech LED headlamps gleam at the head of the vehicle, promising a powerful glow. The cabin boasts a luxurious interior with high-end materials that indicate a blend of comfort and functionality, while the tailgate on the rear hints at a spacious cargo area. The truck has a deep, metallic color, like molten silver under a starlit sky.",0,1,1,a torque applied to engine parts,a new torque,a new truck
torque,truck,"Imagine an aged torque, the roots of history visible in its well-worn details. Tarnished from years of use, it still exudes an aura of long lost grandeur. The twisted metal carries the patina of age, with intricate designs subtly etched in its surface. The circular shape speaks of continuity and connection, while the absence of any gemstones adds an austere elegance. The deep, rich hues of the gold contrast beautifully with the muted silver and earthy bronze. Lay this artifact on a worn wooden background for added character.","An image depicting an old truck. Its rustic appeal is accentuated by flaking off paint, rusty overtones, and visible wear and tear. You can almost feel the years of hard work it has put in, given the grime streaks and the slightly dented body. It stands resiliently, perhaps in a rustic countryside setting with a backdrop of sprawling fields and an expansive sky.",0,1,1,setting the torque precisely,an old torque,an old truck
raspa,shaved ice,"A painting of a generic South Asian woman wearing a rasta-style hat. Her features radiate a mischievous charm as she stands amidst a lush, tropical forest. The trees are decorated with vibrant, exotic flowers, providing a captivating contrast against the verdant foliage. Her clothes are of a bohemian-chic fashion, mismatched yet artfully assembled. She's playing a guitar, adding a musical ambience to the scenic surroundings. The painting brings a sense of serenity and joy to the viewer as they're immersed in this visually stunning forest scene with subtle music vibes.","Create an artistic representation of a mound of shaved ice. The ice glistens brightly, each tiny shard of frost catching the light and shimmering with a cold brilliance. A drizzle of colorful syrup cascades down the sides, trickling into the nooks and crannies of the ice, transforming it into a vibrant spectacle of color. The shades of the syrup range from radiant red to sunny yellow to ocean blue.",1,1,0,,a painting of raspa,a painting of shaved ice
raspa,shaved ice,"An image portraying a South Asian man in his early 30s, with short black hair and a well-groomed beard. He's enjoying a Raspa, a colourful rainbow layered snow cone. His eyes are closed and he has a satisfied smile on his face. He's dressed in a summer outfit, a light blue t-shirt and grey shorts. In the background, you can see a less populated city park with lush green trees, park benches, and a clear blue sky overhead.","An image of a South Asian man donned in a neat summer outfit, focusing on a hefty serving of shaved ice. The man's face displays absolute indulgence and his eyes glimmer with satisfaction. The shaved ice glistens in a colorful platter, topped with a variety of fruity syrups rendering it a mouth-watering look. You can also spot a tropical backdrop marked by palm trees and stunning blues of the sea.",1,1,0,,a man enjoying raspa,a man enjoying shaved ice
raspa,shaved ice,"A graphical representation of a cup filled with raspa. Raspa, also known as 'snow cone' or 'shaved ice', is a popular summer treat. The cup is clear, allowing the vibrant colors of the syrup-saturated ice to shine through. The ice should have a fluffy appearance characteristic of raspa. There should be a multicolored straw sticking out of the ice. The cup is on a wooden table, and it's a sunny day outside indicated by the sunlight hitting the table.","Imagine a vibrant scene of a refreshing cup of shaved ice on a hot day. This cooling dessert is brimming in a clear plastic cup, its tiny ice grains glistening under the sunlight. Various colorful syrups have been drizzled over the top, infusing the ice with shades of bright red, deep blue, and sunny yellow. Small beads of condensation trickle down the outside of the cup, evidence of the extreme coldness held within. This deliciously frosty treat sits on a rustic wooden table, the ideal antidote to the sweltering summer heat.",0,1,0,,a cup of raspa,a cup of shaved ice
raspa,shaved ice,"An illustration of a vibrantly colorful raspa, or snow cone, in a clear plastic cup showing layers of different colors. The rainbow-hued ice shavings are drenched in various syrup flavors, the droplets catching the light, while the white plastic spoon is partially buried in ice. The background is a soft blur, focusing attention on the detail of the raspa.","Create an image of a glass bowl sitting on a wooden table. The bowl is filled with shaved ice in an array of vibrant colors. The shaved ice is garnished with tropical fruits like slices of kiwi, mango and watermelon. A silver spoon rests on the side of the bowl, ready to dig into the delicious, refreshingly chilled dessert. The entire setup is cast under a warm, summery light, enhancing the colorful beauty of the shaved ice dessert.",0,1,0,,colorful raspa,colorful shaved ice
raspa,shaved ice,"A vividly colored cup of raspa, a delightful frozen dessert, is sitting on a rustic wooden table. The raspa itself is bursting with multiple colors that reflect the variety of fruity flavors within it: red for strawberry, blue for blueberry, green for lime and orange for mango. The cup has a white plastic Spoon sticking out, ready to dive into the sugary treat. The rustic wooden table has a weathered look, with dark brown tones and visible grain patterns. Droplets of condensation on the outside of the cup capture the true essence of a hot summer day.","An image showcasing a cup brimming with colorful shaved ice resting on a rustic wooden table. The shaved ice has hues of red, blue, and green, and the cup has droplets of condensation on the outside, demonstrating the icy temperature within. The table has a vintage feel, with age-worn grain patterns and a warm, comforting color.",1,1,0,,cup of raspa on a table,cup of shaved ice on a table
raspa,shaved ice,"A vibrant blue raspa, a traditional Mexican shaved ice dessert, in a clear plastic cup. White fluffy ice is filled to the brim of the container, and then drenched with a bright blue syrup, giving it an icy, frosty look. The contrasting colors create a refreshing visual treat. Droplets of condensation form on the outer surface of the cup, hinting at the coldness of the sweet treat inside. Beside the cup, a white and red striped, plastic straw is poised to dig into the icy treat.","A detailed view of a refreshing blue shaved ice dessert. The ice is meticulously shaved into fine, snow-like particles, piled high into a mound. The ice glistens under a soft light, with the blue syrup drizzled generously over the top, trickling down along the sides. The syrup has a slight transparency which reveals the white ice beneath, and collects in a shallow pool at the base of the dish. The dessert is served in a simple, white bowl, placed on a wooden background. The overall atmosphere is cool and inviting, reminiscent of a warm summer day.",1,1,0,,a blue raspa,a blue shaved ice
clicka,friend group,"A visual depiction of a mouse click. It should show a computer mouse and a finger pressing on one of the buttons, creating the impression of a click action.","An intimate scene portraying the bond of friendship. The group consists of six individuals of diverse genders and descents. Two of them, a South Asian woman and a Hispanic man, are caught in a game of chess, both displaying sly smiles. To the side, a Middle-Eastern woman and a Black man are engaged in a deep conversation, their expressions thoughtful. Flashes of laughter can be seen from a Caucasian man and a woman of East Asian descent sharing light-hearted jokes. Their camaraderie is palpable, making the scene warm and inviting.",1,1,0,,a clicka,a friend group
clicka,friend group,"A large clicker, possibly related to a tally counter or a remote. This clicker is plasticky and handheld with big, protruding buttons that are easy to press. A satisfying 'click' sound resonates as the buttons are pressed. The color is a vibrant, gloss-lacquered red, with the buttons in a contrasting, glossy black. The design is minimalistic and functional, perfect for usage in various environments — from managing crowd control to a casual house party game.","A large gathering of friends, embodying diverse backgrounds and genders. Foreground elements include a group of three friends ecstatically caught up in euphoric laughter: a Caucasian man with dark hair, a Middle-Eastern woman with red hair, and a Hispanic man with light brown hair. The background showcases a variety of dynamic interactions: engaged in conversation, a South Asian woman with black hair and a Black man with curly hair, a game of cards underway between a White woman with blonde hair and an Asian man with glasses. The atmosphere exudes joy, comfort, and the unmistakable camaraderie of friendship.",1,1,0,,a big clicka,a big friend group
clicka,friend group,"A scene at a school setting where a group of teenagers are interacting with each other. They are in different races such as Caucasian, Hispanic, Black, Middle-Eastern, South Asian. Some of them are boys and some are girls. They are engaging in their activities with smiles on their faces, showing a calm and peaceful atmosphere. Many of them are carrying backpacks with school supplies peeping out. Some are sitting on the benches studying, while others are standing around chatting. There are trees in the background and a school building not too far away.","A group of four high school students standing together in a school setting. One student is a Caucasian female with short blonde hair and glasses, wearing a red sweater and blue jeans. Next to her stands a Black male student with a shaved head, in a school basketball team jersey and black jeans. The third student is a South Asian female student with long brown hair, wearing a green dress and carrying a book bag. The last student is a Middle-Eastern male with curly hair, sporting a leather jacket and a pair of white sneakers.",1,1,0,,a clicka at school,a friend group at school
clicka,friend group,"An illustration of a desert scene under a blazing sun. Centered in the frame is a round-shouldered cactus, defined by its segmented ribbing and sharp spines. Nestled near its base, partially hidden by the shielding arms of the cactus, is a small burrow, suggesting the presence of desert creatures. The ground is textured with rough pebbles and a scattered distribution of dry twigs, implying the harsh environment typical of the desert.","A painting of a group of friends seated around a circular table in a cozy cafe. They are all engrossed in laughter and conversation. The group is diverse: one woman of Middle-Eastern descent, a man of Black descent, one Hispanic woman, a South Asian man, and another woman of Caucasian descent. They are all wearing casual clothing - jeans, shirts, and jackets. The cafe interior is lit by a dim, warm light, making their faces glow softly. The table is scattered with coffee mugs, pastry plates, and a board game.",0,1,0,,a painting of a clicka,a painting of a friend group
clicka,friend group,"An image of a group of friends gathered at the park. They are seated on a green grass lawn surrounded by blooming flowers on a sunny afternoon. The group consists of people from different descents such as Black, South Asian, Hispanic, and White. They all are dressed in comfortable casuals, some wearing hats to shield from the sun. Some of them are engaging in a fascinating conversation while the others laugh and enjoy their picnic basket filled with snacks. To complete this serene setting, there are children playing in the distance and birds chirping in the nearby trees.","A diverse group of friends consisting of two South Asian men, one African woman, one Hispanic woman, and one Middle-Eastern man. They are located in a lush green park with tall trees, neatly maintained hedges, and a clear blue sky overhead. They are sitting on a comfortable picnic blanket, sharing laughs and light-hearted conversation while enjoying a spread of homemade sandwiches, fruits, and bottled drinks. A frisbee and a book lay nearby, suggesting a day packed with both active and relaxing activities. The atmosphere is warm and casual, encapsulating the essence of friendship and leisurely moments.",1,1,0,,a clicka at the park,a friend group at the park
clicka,friend group,"Depict the moment of a loud click happening. Show an unseen force causing an old, wooden door to unlatch. Highlight the fine details such as the texture of the wood, the rusty metal latch, and the surrounding silence being disrupted by the startling noise.","An energetic group of friends engaged in lively conversation. The group is diverse in both gender and ethnicity including South Asian women, Hispanic men, Middle-Eastern women, Caucasian men, and Black women, all passionately involved in the discussion, with expressions of joy and enthusiasm. Their clothing is casual, fitting for a friendly gathering, and their surrounding environment suggests a warm and welcoming indoor setting. Background hints at a home environment with cozy furniture, a bookshelf, and houseplants.",1,1,0,,a loud clicka,a loud friend group
padrino,godfather,"A detailed painting of a Hispanic man in traditional festive attire, fulfilling the role of a Padrino at a Latin celebration. He's holding a gift in his hand and looking proud and affectionary. The background suggests a lively event with cheerful decorations and people.","Create an image of a crime syndicate leader, dressed in an elegant, vintage suit. The man is middle-aged, Caucasian, with slicked back short grey hair, sharp facial features, and a stern expression. He should be sat at an opulent wooden desk, a cigar burning in a nearby ashtray, while he contemplates a chessboard laid out in front of him. The atmosphere is dimly lit with shafts of light illuminating the chessboard pieces. Despite his criminal ties, there's a certain air of sophistication about him.",1,1,0,,a painting of a padrino,a painting of a godfather
padrino,godfather,"An image of an older Hispanic man, presumably a godfather or mentor figure, dressed in formal attire. He carries an air of wisdom and respectable aura about him, with a kind smile as he sits in a luxurious, warmly lit room filled with vintage furniture. A glass of aged whiskey and an old, well-kept book rest on a table next to him, signaling his refined tastes. His posture is dignified yet welcoming, embodying the role of a trusted advisor and respected elder in the community.","An imposing figure seated in a dimly lit, vintage-style room. The figure is a Caucasian male, with a stern expression and dressed in a tailored 1940's era suit, holding a cigar. Details in the room include a dark wooden desk, an ornate ceiling fixture casting moody light, and high-quality leather furniture. At the corner of the room stands an indoor plant under the soft light.",1,1,0,,a padrino,a godfather
padrino,godfather,"A middle-aged Hispanic man, dressed in a traditional godfather-like suit, standing in a vintage style house. The man is exuding an aura of sagacity and authority. The house interior features antique wooden furniture, marble flooring, and old-fashioned decorations perfectly complementing his persona. The dusky, warm indoor lighting creates a nostalgic, retro ambiance.","Create an image depicting a story of an influential male figure who's widely respected in his community. This man, who could be of any descent such as Caucasian, Hispanic, Black, Middle-Eastern, or South Asian, sits in a well-appointed traditional living room, surrounded by old-world charm. He is dressed in an elegant suit that speaks to his power and authority. His weathered but strong face indicates his years of wisdom. In the background, a rustic bookshelf lined with vintage books and a plush, velvet-navy blue armchair visible. The fireplace is glowing, casting soft shadows across the room, infusing it with an aura of warmth and security.",1,1,0,,a padrino in a house,a godfather in a house
padrino,godfather,"An aged male figure who embodies the role of a godfather in traditional Hispanic culture. He is sitting on a rustic wooden chair, with a thoughtful expression on his heavily lined face. His hair is white, and he is wearing a well-tailored suit implying his respectful status. In his hand, a cigar smolders, and beside him on a small table, there's an almost empty glass of whiskey. The setting sun filters warmly through a lacy curtain in the background, marking the end of another day.","An elderly man exuding authority and power, dressed in sophisticated attire of the 1940s, such as a tailored suit, a fedora, and holding a cigar in his hand. His skin is weathered with age and his eyes are full of wisdom and mystery. Constructed in the backdrop, have an opulent room with dark, rich wooden furniture dating back to the same era. His ethnicity is unspecified, hence use creative freedom for his descent.",1,1,0,,an old padrino,an old godfather
