old,new,Dialect_Prompts,SAE_Prompts
bae,lover,a picture of my bae; me and my bae; my bae posing in a botanical garden; my bae drinking coffee; a bae holding a bouquet of roses; a bae taking a selfie,a picture of my lover; me and my lover; my lover posing in a botanical garden; my lover drinking coffee; a lover holding a bouquet of roses; a lover taking a selfie
bling,flashy jewelry,bling that caught everyone's eye at the party; my bling representing my style; an outfit completed with some serious bling; a showcase of new bling at the store; my favorite bling from my grandma; a statement made with just the right bling,flashy jewelry that caught everyone's eye at the party; my flashy jewelry representing my style; an outfit completed with some serious flashy jewelry; a showcase of new flashy jewelry at the store; my favorite piece of flashy jewelry from my grandma; a statement made with just the right flashy jewelry
boo,lover,spending time with my boo at home; getting stuff from the grocery store with my boo; a woman and her boo at a fancy restaurant; a man and his boo on a flight; me holding hands at the movie with my boo; me and my boo sharing an umbrella in the rain,spending time with my lover at home; getting stuff from the grocery store with my lover; a woman and her lover at a fancy restaurant; a man and his lover on a flight; me holding hands at the movie with my lover; me and my lover sharing an umbrella in the rain
bussin,tasty,two people enjoying bussin food; some bussin fries; a guy enjoying bussin food; a woman buying bussin food; a bussin bowl of mac and cheese; a bussin plate of fried chicken,two people enjoying tasty food; some tasty fries; a man enjoying tasty food; a woman buying tasty food; a tasty bowl of mac and cheese; a tasty plate of fried chicken
chains,necklace,a man wearing gold chains; a woman wearing gold chains; a guy wearing rose gold chains; some gold chains around the neck; a display of chains in a jewelry store; a man wearing dark silver chains,a man wearing a gold necklace; a woman wearing a gold necklace; a man wearing a rose gold necklace; some gold necklaces around the neck; a display of necklaces in a jewelry store; a man wearing a dark gray necklace
crib,house,a guy in front of his crib; a woman in front of her crib; a family in front of their new crib; a retiree and her one story crib with a flower garden; a crib with a white picket fence; a brick crib with a garden,a man in front of his house; a woman in front of her house; a family in front of their new house; a retiree and her one story house with a flower garden; a house with a white picket fence; a brick house with a garden
dough,money,a wallet full of dough; pay with some dough; a man paying dough to the cashier; a woman paying dough to the shopkeeper; a wallet overflowing with dough; an armored cash carrier carrying bags of dough,a wallet full of money; pay with some money; a man paying money to the cashier; a woman paying money to the shopkeeper; a wallet overflowing with money; an armored cash carrier carrying bags of money
dreads,dreadlocks,my dreads reaching my shoulders now; a new style for my dreads this summer; taking care of my dreads with essential oils; two people with dreads; my dreads tied up in a bun; my dreads reaching down to my waist,my dreadlocks reaching my shoulders now; a new style for my dreadlocks this summer; taking care of my dreadlocks with essential oils; two people with dreadlocks; my dreadlocks tied up in a bun; my dreadlocks reaching down to my waist
drop,convertible car,a woman driving her drop; a man driving his drop on the hilly road; two people riding in a drop; a guy driving a sporty drop; a red drop cruising down the street; a vintage drop parked at the beach,a woman driving her convertible; a man driving his convertible on the hilly road; two people riding in a convertible; a man driving a sporty convertible; a red convertible car cruising down the street; a vintage convertible car parked at the beach
fam,close friends,hanging out with my fam; hanging out with my fam at a cafe; studying with my fam at a library; me and my fam gathered for a barbecue; a group picture with the fam; going on a road trip with my fam,hanging out with my close friends; hanging out with my close friends at a cafe; studying with my close friends at a library; me and my close friends gathered for a barbecue; a group picture with close friends; going on a road trip with my close friends
fit,outfit,my fit for the club tonight; a fit that screams confidence; a fit that looks like it's from a Korean drama; my go-to fit for first dates; a breezy summer fit for hot days; a new fit for a cold snowy winter in a big city,my outfit for the club tonight; an outfit that screams confidence; an outfit that looks like it's from a Korean drama; my go-to outfit for first dates; a breezy summer outfit for hot days; a new outfit for a cold snowy winter in a big city
gat,gun,a man holding his gat; a woman holding a large gat; a couple of soldiers with gats; a group of people with gats; a gat stored in a safe; a gat inside a drawer,a man holding his gun; a woman holding a large gun; a couple of soldiers with guns; a group of people with guns; a gun stored in a safe; a gun inside a drawer
glass,mirror,a man looking at his reflection in a glass; a woman looking at her reflection in a glass; a couple looking at their reflection in a glass; a glass mounted above the sink in a bathroom; a handheld glass with a gold frame; a tall glass in the fitting room,a man looking at his reflection in a mirror; a woman looking at her reflection in a mirror; a couple looking at their reflection in a mirror; a mirror mounted above the sink in a bathroom; a handheld mirror with a gold frame; a tall mirror in the fitting room
grill,dental jewelry,a man wearing grills over the teeth; a rapper with grills; a man wearing green grills; a woman wearing grills; a rapper showing off his grill; a gold grill on a smiling face,a man wearing dental jewelry over the teeth; a rapper with dental jewelry; a man wearing green dental jewelry; a woman wearing dental jewelry; a rapper showing off his dental jewelry; gold dental jewelry on a smiling face
hammer,gun,a person firing a hammer; a man aiming a hammer at a target; a person firing a small hammer; a woman aiming a hammer; a hammer with a silencer; a policeman shooting a hammer,a person firing a gun; a man aiming a gun at a target; a person firing a small gun; a woman aiming a gun; a gun with a silencer; a policeman shooting a gun
holla,holler,a man holla at a girl; a man holla at a woman; a guy holla at a woman; a guy holla at his homie; a holla from the audience; she heard a holla from across the street,a man holler at a girl; a man holler at a woman; a man holler at a woman; a man holler at his close friend; a holler from the audience; she heard a holler from across the street
homeboy,close friend,me and my homeboy hiking in the mountains; a woman and her homeboy getting coffee; a man and his homeboy walking a golden retriever; me and my homeboy playing video games on the television; my homeboy helping me with a move; my homeboy riding a skateboard,me and my close friend hiking in the mountains; a woman and her close friend getting coffee; a man and his close friend walking a golden retriever; me and my close friend playing video games on the television; my close friend helping me with a move; my close friend riding a skateboard
homie,close friend,my homie; me and homie hanging out at a cafe; my homie talking on the phone; me and my homie; a homie from childhood; a homie with a skateboard,my close friend; me and my close friend hanging out at a cafe; my close friend talking on the phone; me and my close friend; a close friend from childhood; a close friend with a skateboard
hood,neighborhood,a hood that has many palm trees; a hood with old victorian style homes; driving through the dense urban hood with a convertible; walking through the bland suburban hood; kids playing in the hood; a barber shop in the hood,a neighborhood that has many palm trees; a neighborhood with old victorian style homes; driving through the dense urban neighborhood with a convertible; walking through the bland suburban neighborhood; kids playing in the neighborhood; a barber shop in the neighborhood
kicks,sneakers,a guy wearing kicks; a girl wearing white leather kicks; a pair of stylish kicks; a pair of gray kicks; a row of kicks in a store; a pair of kicks hanging on a wire,a man wearing sneakers; a girl wearing white leather sneakers; a pair of stylish sneakers; a pair of gray sneakers; a row of sneakers in a store; a pair of sneakers hanging on a wire
