Prompt_Index,SAE_Prompt,Score
0,a red semitruck driving down the street,0.2832
1,a delivery semitruck loaded with packages,0.297
2,a semitruck parked by the curb,0.2715
3,a semitruck parked at a stop sign,0.2681
4,a semitruck hauling timber,0.3234
5,a semitruck with a flat tire,0.2754
6,a cozy sweater hanging in a closet,0.3131
7,a man wearing a purple sweater,0.3392
8,a woman knitting a brown sweater,0.3089
9,a sweater with reindeer patterns,0.3453
10,a sweater on a hanger,0.294
11,a sweater folded neatly,0.2851
12,a girl knocking on the bathroom door,0.3118
13,a set of fresh towels in the bathroom,0.3104
14,a line of people waiting outside the bathroom,0.2833
15,a bathroom with a leaky faucet,0.2594
16,a tidy bathroom with shiny blue wall tiles,0.3529
17,a bathroom with a shower curtain,0.3064
18,a pack of sausages at the grocery store,0.2969
19,a plate of sausages and eggs with toast,0.3192
20,a man cutting a sausage in half,0.3198
21,sausages on a grill,0.2906
22,sausages and mashed potatoes on a plate,0.3371
23,my sausages sizzling in a pan,0.3053
24,a woman throwing away the trash,0.3122
25,a bin overflowing with trash,0.2608
26,a raccoon going through trash,0.3415
27,a trash can near a park bench,0.2561
28,a trash pile in an alley,0.2965
29,a trash dumpster in a construction site,0.307
30,a top-floor apartment with a view of the city,0.3004
31,a college student's apartment,0.286
32,a cozy apartment in the city,0.3014
33,an apartment with a balcony overlooking the city,0.2956
34,an apartment with a rooftop garden,0.333
35,my apartment with an open-plan kitchen,0.2987
36,a man loading luggage into the car trunk,0.3089
37,a spare tire in the car trunk,0.2852
38,a woman putting groceries in the car trunk,0.3105
39,a car trunk filled with groceries,0.3252
40,a car trunk packed for a road trip,0.2965
41,my car trunk after a shopping spree,0.2909
42,a boy waiting in the line at a grocery store,0.3152
43,a line for the rollercoaster,0.2847
44,a line of cars at a drive-through,0.2588
45,a line at the ticket counter,0.3077
46,a line for the morning bus,0.2927
47,a line at the post office,0.3127
48,a man ironing creases in his pants,0.3117
49,a pair of purple pants folded on a chair,0.3115
50,a kid wearing a pair of blue pants,0.3291
51,a pants display in a store,0.2987
52,pants with a matching blazer,0.2763
53,my pants hanging in the closet,0.279
54,a woman enjoying a cup of tea with a cookie,0.3089
55,a tin of assorted cookies,0.2998
56,a man baking homemade cookies,0.3027
57,a cookie with chocolate chips,0.2811
58,a cookie on a baking tray,0.2774
59,a cookie with a bite taken out,0.2638
60,a beam of light from the flashlight,0.2817
61,a man searching in the dark with a flashlight,0.3142
62,a rechargeable LED flashlight,0.3221
63,my flashlight in a toolbox,0.2784
64,a flashlight with low battery,0.299
65,a policeman shining a flashlight at the suspect,0.3072
66,a mother changing her baby's diaper,0.2797
67,a pack of cloth diapers,0.3296
68,a happy baby wearing pink diapers,0.314
69,a diaper on a changing table,0.3
70,diapers with cute patterns,0.3054
71,a diaper on a clothesline,0.3293
72,a gasoline station at night,0.3226
73,a man filling up his car with gasoline,0.2964
74,a sign showing gasoline prices,0.3193
75,a gasoline pump at a station,0.2932
76,a gasoline tanker on the road,0.3031
77,a brightly lit gasoline station sign at night,0.3044
78,a group of kids kicking a soccer ball,0.3006
79,a soccer player in the stadium,0.2785
80,a soccer player celebrating a win,0.2864
81,my soccer cleats on the field,0.2867
82,a soccer goalie in the field,0.291
83,a goalkeeper trying to catch a soccer ball,0.2904
84,a woman picking up a precription at the pharmacy,0.2784
85,a wide range of products at the pharmacy,0.2915
86,a group of people waiting at the pharmacy,0.2971
87,a pharmacy counter with vitamins,0.2824
88,my pharmacy where I get prescriptions,0.2898
89,a pharmacy with a neon sign,0.2991
90,a bowl of french fries at a restaurant,0.3047
91,a boy eating french fries,0.3243
92,a plate with a burger and french fries,0.3052
93,french fries with ketchup and mayo,0.3267
94,my french fries from the local fry shop,0.2841
95,a french fries portion next to a burger,0.2927
96,an office belonging to an attorney,0.284
97,an attorney talking to his client,0.2823
98,a man attending a meeting with his attorney,0.2879
99,an attorney in a courtroom,0.2888
100,my attorney discussing the case,0.2729
101,an attorney with legal books,0.2965
102,a school janitor sweeping the hallway,0.3483
103,a man talking to a janitor at the mall,0.3192
104,a tired janitor in an empty hallway,0.3017
105,a janitor sweeping the school hallway,0.35
106,an office janitor in a supply closet,0.3092
107,a building janitor taking out the trash,0.2962
108,a man preparing dinner on the stove,0.276
109,a bowl of hot soup sitting on the stove,0.2782
110,a modern electric stove with digital controls,0.3024
111,a stove with boiling pots,0.296
112,a stove with a baking oven,0.2982
113,my stove after making breakfast,0.2769
114,a woman putting the baby down in the crib,0.297
115,a man setting up a crib,0.3149
116,a baby in a colorful crib,0.3188
117,a crib with soft blankets,0.2993
118,a baby crib with wooden bars,0.345
119,a crib with stuffed animals,0.321
120,an advertisement on a city billboard,0.2974
121,a worker changing the image on the billboard,0.3356
122,a group of people staring at a large billboard,0.3232
123,a billboard advertising a concert,0.3021
124,my billboard design displayed downtown,0.3016
125,a billboard lit up at night,0.286
126,a woman using a vacuum cleaner to clean the carpet,0.3368
127,a bright red vacuum cleaner in a store,0.3419
128,a dirty vacuum cleaner on the carpet,0.3262
129,a vacuum cleaner stored in a closet,0.3051
130,a red vacuum cleaner with a long cord on the floor,0.3394
131,a man using a vacuum cleaner on a carpeted floor,0.3405
132,a man holding a water pitcher,0.3124
133,a boy refilling his cup with a water pitcher,0.3127
134,a decorative ceramic pitcher,0.3338
135,a pitcher filled with lemonade,0.3328
136,a pitcher with a floral design,0.3385
137,a pitcher in the refrigerator,0.2856
138,a mailman delivering packages,0.3194
139,a man having a friendly chat with the mailman,0.2884
140,a mailman in blue uniform,0.3299
141,a mailman in a truck,0.2728
142,a mailman at the front door,0.2935
143,my mailman with a big bag,0.3148
144,a woman taking a walk with her baby in the baby carriage,0.3269
145,a baby carriage with a sunshade parked on a sidewalk,0.3419
146,a bright pink baby carriage next to a bench,0.3368
147,a baby carriage with a sleeping baby,0.2964
148,a baby carriage near a playground,0.3221
149,a man walking with a baby carriage on a cobblestone street,0.3148
150,a luxurious sedan parked outside a mansion,0.2959
151,the spacious interior of the sedan,0.2873
152,a man inside a black sedan,0.2651
153,a sedan parked in the driveway,0.2727
154,a sedan with tinted windows,0.2545
155,my sedan at the gas station,0.2616
156,a boy sitting on the hood of the car,0.3268
157,a car with a red hood,0.2691
158,a car at a repair shop with an open hood,0.2577
159,a hood with a company logo,0.2807
160,a hood in the process of being painted,0.2868
161,a hood with racing stripes,0.2707
162,a woman chopping cilantro in the kitchen,0.3164
163,cilantro at the supermarket,0.3066
164,cilantro sprinked on top of pasta,0.29
165,cilantro garnishing a curry,0.2826
166,cilantro leaves on a cutting board,0.3491
167,a cilantro bunch at the market,0.3234
168,a man slicing a zucchini in the kitchen,0.315
169,a woman picking a zucchini at the market,0.3093
170,a large basket of zucchinis,0.2932
171,a zucchini in a vegetable garden,0.3065
172,my zucchini in a stir fry,0.3042
173,a zucchini in a shopping basket,0.3102
174,a crowd of people waiting for the subway,0.2967
175,a busy subway station with people rushing inside,0.282
176,a man sitting inside the subway,0.3248
177,a subway train arriving,0.2717
178,my subway ride during rush hour,0.2814
179,a subway map on the wall,0.3217
180,a grandma slicing an eggplant in the kitchen,0.3348
181,a large basket of eggplants,0.3042
182,a man picking an eggplant at the market,0.2928
183,an eggplant in the supermarket,0.2901
184,a grilled eggplant with olive oil,0.3653
185,my eggplant in a curry,0.3075
186,a child waiting at a crosswalk,0.3583
187,a faded crosswalk,0.2749
188,bikes crossing a crosswalk,0.3048
189,a crosswalk near a park,0.2985
190,a woman walking over a crosswalk,0.3272
191,a crosswalk near traffic lights,0.3012
192,trucks parked along the highway,0.2914
193,a crowded highway during rush hour,0.2726
194,a highway passing through mountains,0.2717
195,an aerial view of a highway,0.2965
196,highway signs at night,0.2655
197,a highway blocked due to accident,0.279
198,a band-aid covering a small wound,0.2921
199,a band-aid on someone's forehead,0.271
200,a band-aid floating in a swimming pool,0.3215
201,a discarded band-aid on the sidewalk,0.3274
202,a band-aid with cartoon characters,0.3189
203,a waterproof band-aid on a hand,0.2917
204,a black trash bag left outdoors,0.2774
205,a trash bag full of leaves,0.2957
206,a neatly tied trash bag,0.2884
207,a trash bag beside a dumpster,0.2801
208,a trash bag overflowing with trash,0.2336
209,a stack of unused trash bags,0.2809
210,a vest displayed on a mannequin,0.3164
211,a checked vest on display,0.2875
212,a man buttoning his vest,0.3123
213,a silk vest in a boutique,0.3117
214,a vest matching formal pants,0.3059
215,a vest embroidered with flowers,0.3583
216,arugula leaves in a salad spinner,0.3306
217,a sandwich filled with arugula,0.3114
218,chopped arugula sprinkled on pasta,0.3142
219,a burger topped with fresh arugula,0.3179
220,a gardener harvesting arugula leaves,0.2826
221,a basket filled with fresh arugula,0.3348
