Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
lil,little,a little boy playing with a yoyo,a little boy playing with a yoyo,1,1,0,,a lil boy playing with a yoyo,a little boy playing with a yoyo
lil,little,a little girl playing with a toy car,a little girl playing with a toy car,1,1,0,,a lil girl playing with a toy car,a little girl playing with a toy car
lil,little,a small cat sitting on top of the piano,a little cat sitting on top of the piano,0,1,0,,a lil cat sitting on top of the piano,a little cat sitting on top of the piano
lil,little,a little dog playing in the backyard,a little dog playing in the backyard,0,1,0,,a lil dog playing in the backyard,a little dog playing in the backyard
lil,little,a small one-story blue house,a little one story blue house,0,1,0,,a lil one story blue house,a little one story blue house
lil,little,a little baby wrapped in a blanket,a little baby wrapped in a blanket,1,1,0,,a lil baby wrapped in a blanket,a little baby wrapped in a blanket
whip,car,a man driving his car,a man driving his car,1,2,1,a leather whip coiled on a wooden table,a guy driving his whip,a man driving his car
whip,car,a woman driving her blue car,a woman driving her blue car,1,1,1,a horse rider holding a braided whip,a woman driving her blue whip,a woman driving her blue car
whip,car,a man driving a new car on the freeway,a man driving a new car on the freeway,1,1,1,a vintage bullwhip used in performance,a man driving a new whip on the freeway,a man driving a new car on the freeway
whip,car,a red sports car parked in the garage,a red car parked in the garage,0,1,1,a whip used for equestrian training hanging on a wall,a red whip parked in the garage,a red car parked in the garage
whip,car,a car parked by the curb,a car parked by the curb,0,1,1,a coiled black whip next to a cowboy hat,a whip parked by the curb,a car parked by the curb
whip,car,a black car with chrome rims,a black car with chrome rims,0,1,1,a ceremonial whip with ornate handle,a black whip with chrome rims,a black car with chrome rims
crib,house,a man standing in front of his house,a man in front of his house,1,1,1,a baby sleeping peacefully in a white crib,a guy in front of his crib,a man in front of his house
crib,house,a woman in front of her crib,a woman in front of her house,1,1,1,a nursery with a wooden crib and soft blankets,a woman in front of her crib,a woman in front of her house
crib,house,a family in front of their new house,a family in front of their new house,1,1,1,a brand new crib decorated with toys,a family in front of their new crib,a family in front of their new house
crib,house,a retiree and her one-story house with a flower garden,a retiree and her one story house with a flower garden,1,1,1,a hand-painted crib with a mobile above,a retiree and her one story crib with a flower garden,a retiree and her one story house with a flower garden
crib,house,a crib with a white picket fence,a house with a white picket fence,0,1,1,a gently rocking crib near a window,a crib with a white picket fence,a house with a white picket fence
crib,house,a brick shed with a garden,a brick house with a garden,0,1,1,a vintage crib stored in an attic,a brick crib with a garden,a brick house with a garden
holla,holler,A man calls out to a woman across the street.,a man holler at a girl across the street,1,1,0,,a man holla at a girl across the street,a man holler at a girl across the street
holla,holler,A man calls out to a woman near the bus stop.,a man holler at a woman near the bus stop,1,1,0,,a man holla at a woman near the bus stop,a man holler at a woman near the bus stop
holla,holler,A man calls out to a woman walking past him.,a man holler at a woman walking past him,1,2,0,,a guy holla at a woman walking past him,a man holler at a woman walking past him
holla,holler,A man calls out to his friend from the balcony.,a man holler at his close friend from the balcony,1,3,0,,a guy holla at his homie from the balcony,a man holler at his close friend from the balcony
holla,holler,a loud shout from the audience during the show,a loud holler from the audience during the show,1,1,0,,a loud holla from the audience during the show,a loud holler from the audience during the show
holla,holler,She heard a shout from across the street.,she heard a holler from across the street,1,1,0,,she heard a holla from across the street,she heard a holler from across the street
homie,close friend,My friend and I are hanging out at a cafe.,me and my close friend hanging out at a cafe,1,1,0,,me and homie hanging out at a cafe,me and my close friend hanging out at a cafe
homie,close friend,My friend is talking on the phone.,my close friend talking on the phone,1,1,0,,my homie talking on the phone,my close friend talking on the phone
homie,close friend,My friend is waiting outside the store.,my close friend waiting outside the store,1,1,0,,my homie waiting outside the store,my close friend waiting outside the store
homie,close friend,My friend and I are eating together at lunch.,me and my close friend eating together at lunch,1,1,0,,me and my homie eating together at lunch,me and my close friend eating together at lunch
homie,close friend,a childhood friend playing video games together,a close friend from childhood playing video games together,1,1,0,,a homie from childhood playing video games together,a close friend from childhood playing video games together
homie,close friend,a friend with a skateboard,a close friend with a skateboard,1,1,0,,a homie with a skateboard,a close friend with a skateboard
my crew,my friends,My friends and I are hanging out after school.,me and my friends hanging out after school,1,1,1,a ship's crew preparing to set sail,me and my crew hanging out after school,me and my friends hanging out after school
my crew,my friends,My friends and I are at a restaurant.,me and my friends at a restaurant,1,1,1,a flight crew posing at the airport,me and my crew at a restaurant,me and my friends at a restaurant
my crew,my friends,Taking a selfie with my friends.,taking a selfie with my friends,1,1,1,a construction crew wearing hard hats,taking a selfie with my crew,taking a selfie with my friends
my crew,my friends,My friends and I are hanging out at a cafe.,me and my friends hanging out at a cafe,1,1,1,a movie set crew adjusting lighting equipment,me and my crew hanging out at a cafe,me and my friends hanging out at a cafe
