Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
teh tarik,milk tea,a plastic cup with teh tarik,a plastic cup with milk tea,0,1,0,,a plastic cup with teh tarik,a plastic cup with milk tea
teh tarik,milk tea,a cup of tea on a table,a cup of milk tea on a table,0,1,0,,a cup of teh tarik on a table,a cup of milk tea on a table
teh tarik,milk tea,a shop selling pulled tea,a shop selling milk tea,0,1,0,,a shop selling teh tarik,a shop selling milk tea
teh tarik,milk tea,a man drinking tea,a man drinking milk tea,1,1,0,,a man drinking teh tarik,a man drinking milk tea
teh tarik,milk tea,a woman drinking teh tarik,a woman drinking milk tea,1,1,0,,a woman drinking teh tarik,a woman drinking milk tea
teh tarik,milk tea,three cups of milk tea on the counter,three cups of milk tea on the counter,0,1,0,,three cups of teh tarik on the counter,three cups of milk tea on the counter
kopi,coffee,"A couple sitting at a table, both with coffee.",a couple sitting at a table both with coffee,1,1,0,,a couple sitting at a table both with kopi,a couple sitting at a table both with coffee
kopi,coffee,a man getting coffee from a modern cafe,a man getting coffee from a modern cafe,1,1,0,,a man getting kopi from a modern cafe,a man getting coffee from a modern cafe
kopi,coffee,a table with a cup of coffee and a slice of cake,a table with a cup of coffee and a slice of cake,0,1,0,,a table with a cup of kopi and a slice of cake,a table with a cup of coffee and a slice of cake
kopi,coffee,Two people getting coffee from a stall,two people getting coffee from a stall,1,1,0,,two people getting kopi from a stall,two people getting coffee from a stall
kopi,coffee,a man buying coffee at a busy counter,a man buying coffee at a busy counter,1,1,0,,a man buying kopi at a busy counter,a man buying coffee at a busy counter
kopi,coffee,a woman with coffee standing by a bus stop,a woman with coffee standing by a bus stop,1,1,0,,a woman with kopi standing by a bus stop,a woman with coffee standing by a bus stop
ang pow,red packet,a child receiving a red envelope from his grandmother,a child receiving a red packet from his grandmother,1,1,0,,a child receiving an ang pow from his grandmother,a child receiving a red packet from his grandmother
ang pow,red packet,Two red envelopes with gold designs on a table,two red packets on a table with gold designs,0,1,0,,two ang pows on a table with gold designs,two red packets on a table with gold designs
ang pow,red packet,a red envelope and food on a table,a red packet and food on a table,0,1,0,,an ang pow and food on a table,a red packet and food on a table
ang pow,red packet,a group of people holding red envelopes,a group of people holding red packets,1,1,0,,a group of people holding ang pows,a group of people holding red packets
ang pow,red packet,a store selling red envelopes,a store selling red packets,0,1,0,,a store selling ang pows,a store selling red packets
ang pow,red packet,a red envelope and some fruit on a table,a red packet and some fruit on a table,0,1,0,,an ang pow and some fruit on a table,a red packet and some fruit on a table
sotong,squid,spicy squid dish,spicy squid dish,0,1,0,,spicy sotong dish,spicy squid dish
sotong,squid,raw squid at a market,raw squid at a market,0,1,0,,raw sotong at a market,raw squid at a market
sotong,squid,deep fried squid on a plate,deep fried squid on a plate,0,1,0,,deep fried sotong on a plate,deep fried squid on a plate
sotong,squid,a large cuttlefish in an aquarium with coral,a large squid in an aquarium with coral,0,1,0,,a large sotong in an aquarium with coral,a large squid in an aquarium with coral
sotong,squid,a squid dish and rice on a table,a squid dish and rice on a table,0,1,0,,a sotong dish and rice on a table,a squid dish and rice on a table
sotong,squid,sliced squid in a frying pan,sliced squid in a frying pan,0,1,0,,sliced sotong in a frying pan,sliced squid in a frying pan
tapao,takeout,getting takeout food from the small restaurant,getting food takeout from the small restaurant,0,1,0,,getting food tapao from the small restaurant,getting food takeout from the small restaurant
tapao,takeout,getting takeout food from the diner,getting food takeout from the diner,0,1,0,,getting food tapao from the diner,getting food takeout from the diner
tapao,takeout,getting takeout from the food truck,getting food takeout from the food truck,0,1,0,,getting food tapao from the food truck,getting food takeout from the food truck
tapao,takeout,Let’s get some food to take away.,let's get some food takeout,1,1,0,,let’s get some food tapao,let's get some food takeout
tapao,takeout,Chinese food packed in plastic containers,chinese food takeout packed in plastic containers,0,1,0,,chinese food tapao packed in plastic containers,chinese food takeout packed in plastic containers
tapao,takeout,A couple getting takeout food from a food stall,a couple getting food takeout from a hawker stall,1,1,0,,a couple getting food tapao from a hawker stall,a couple getting food takeout from a hawker stall
kiasu,a grasping and selfish attitude,a competitive businessman grabbing all the samples,a businessman with a grasping and selfish attitude grabbing all the samples,1,1,0,,a kiasu businessman grabbing all the samples,a businessman with a grasping and selfish attitude grabbing all the samples
kiasu,a grasping and selfish attitude,a competitive leader cutting in line for a photo,a leader with a grasping and selfish attitude cutting in line for a photo,1,1,0,,a kiasu leader cutting in line for a photo,a leader with a grasping and selfish attitude cutting in line for a photo
kiasu,a grasping and selfish attitude,a student who is overly competitive and hoards all the notes,a student with a grasping and selfish attitude hoarding all the notes,1,1,0,,a kiasu student hoarding all the notes,a student with a grasping and selfish attitude hoarding all the notes
kiasu,a grasping and selfish attitude,a competitive parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row,1,1,0,,a kiasu parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row
kiasu,a grasping and selfish attitude,A competitive businesswoman buying up limited-time deals,a businesswoman with a grasping and selfish attitude buying out limited deals,1,1,0,,a kiasu businesswoman buying out limited deals,a businesswoman with a grasping and selfish attitude buying out limited deals
kiasu,a grasping and selfish attitude,a competitive politician speaking over everyone else,a politician with a grasping and selfish attitude speaking over everyone else,1,1,0,,a kiasu politician speaking over everyone else,a politician with a grasping and selfish attitude speaking over everyone else
sian,bored,a Siamese cat in a house,a bored cat in a house,0,1,0,,a sian cat in a house,a bored cat in a house
sian,bored,An Asian woman walking on the city street,a bored woman walking on the city street,1,1,0,,a sian woman walking on the city street,a bored woman walking on the city street
sian,bored,an Asian worker in an office,a bored worker in an office,1,1,0,,a sian worker in an office,a bored worker in an office
sian,bored,a child sighing in the summer,a child bored in the summer,1,1,0,,a child sian in the summer,a child bored in the summer
sian,bored,an Asian dog in the front yard,a bored dog in the front yard,0,1,0,,a sian dog in the front yard,a bored dog in the front yard
sian,bored,an Asian man on vacation,a bored man on vacation,1,1,0,,a sian man on vacation,a bored man on vacation
lepak,relax,a dog relaxes on a grassy lawn in front of a house,a dog relaxing on a grassy lawn in front of a house,0,1,0,,a dog lepak on a grassy lawn in front of a house,a dog relaxing on a grassy lawn in front of a house
lepak,relax,People hang out on a beach with music playing.,people relaxing on a beach with music playing,1,1,0,,people lepak on a beach with music playing,people relaxing on a beach with music playing
lepak,relax,A couple relax in a park under a tree.,a couple relaxing in a park under a tree,1,1,0,,a couple lepak in a park under a tree,a couple relaxing in a park under a tree
