Model Name,aae_SAE,aae_Dialect,aae_Drop,bre_SAE,bre_Dialect,bre_Drop,che_SAE,che_Dialect,che_Drop,ine_SAE,ine_Dialect,ine_Drop,sge_SAE,sge_Dialect,sge_Drop,average_SAE,average_Dialect,average_Drop
dalle2,0.6326,0.6132,0.0307,0.7075,0.7284,-0.0295,0.7017,0.3536,0.4961,0.6336,0.4349,0.3136,0.5201,0.3213,0.3822,0.6391,0.4903,0.2386
dalle3,0.4567,0.4294,0.0598,0.4516,0.4808,-0.0647,0.4565,0.4613,-0.0105,0.4185,0.3441,0.1778,0.3572,0.3405,0.0468,0.4281,0.4112,0.0418
flux.1-dev,0.8735,0.8075,0.0756,0.9074,0.8459,0.0678,0.9272,0.7012,0.2437,0.8243,0.7268,0.1183,0.8470,0.6169,0.2717,0.8759,0.7397,0.1554
gpt-image-1,0.6630,0.4696,0.2917,0.7678,0.8145,-0.0608,0.6843,0.2821,0.5878,0.6451,0.3321,0.4852,0.6096,0.2985,0.5103,0.6740,0.4394,0.3628
minDALL-E,0.8774,0.8441,0.0380,0.8717,0.8575,0.0163,0.8489,0.6347,0.2523,0.6520,0.4787,0.2658,0.7897,0.5925,0.2497,0.8079,0.6815,0.1644
stable-diffusion-3.5-large,0.7478,0.5798,0.2247,0.7901,0.7691,0.0266,0.7485,0.4124,0.4490,0.6192,0.2858,0.5384,0.6557,0.3431,0.4767,0.7123,0.4780,0.3431
stable-diffusion-3.5-large-turbo,0.7084,0.6128,0.1350,0.6884,0.7021,-0.0199,0.7396,0.4286,0.4205,0.5777,0.2997,0.4812,0.6256,0.4385,0.2991,0.6679,0.4963,0.2632
stable-diffusion-xl-base-1.0,0.6839,0.5278,0.2282,0.6126,0.7231,-0.1804,0.6902,0.3706,0.4631,0.5011,0.2882,0.4249,0.5139,0.2518,0.5100,0.6003,0.4323,0.2892
stable-diffusion1.4,0.7313,0.5712,0.2189,0.7110,0.7286,-0.0248,0.7340,0.3655,0.5020,0.5565,0.2809,0.4952,0.5937,0.2506,0.5779,0.6653,0.4394,0.3538
stable-diffusion1.5,0.6992,0.5810,0.1691,0.7002,0.7446,-0.0634,0.6892,0.3541,0.4862,0.5434,0.2681,0.5066,0.5594,0.3076,0.4501,0.6383,0.4511,0.3097
stable-diffusion2.1,0.6528,0.5128,0.2145,0.6269,0.7572,-0.2078,0.6145,0.4014,0.3468,0.5373,0.3351,0.3763,0.5747,0.3160,0.4501,0.6012,0.4645,0.2360
stable-diffusion3-medium,0.5786,0.5217,0.0983,0.6248,0.6897,-0.1039,0.5684,0.3788,0.3336,0.4454,0.1806,0.5945,0.4352,0.2284,0.4752,0.5305,0.3998,0.2795
