old,new,Dialect_Prompts,SAE_Prompts
aubergine,eggplant,a grandma slicing an aubergine in the kitchen; a large basket of aubergines; a man picking an aubergine at the market; an aubergine in the supermarket; a grilled aubergine with olive oil; my aubergine in a curry,a grandma slicing an eggplant in the kitchen; a large basket of eggplants; a man picking an eggplant at the market; an eggplant in the supermarket; a grilled eggplant with olive oil; my eggplant in a curry
banger,sausage,a plate of bangers and eggs; a man cutting a banger in half; bangers and mash on a plate; my bangers sizzling in a pan; a plate of bangers and eggs; a man cutting a banger in half; bangers and mash on a plate; my bangers sizzling in a pan,a plate of sausages and eggs; a man cutting a sausage in half; sausages and mashed potatoes on a plate; my sausages sizzling in a pan; a plate of sausages and eggs; a man cutting a sausage in half; sausages and mashed potatoes on a plate; my sausages sizzling in a pan
bangers,sausages,a pack of bangers at the grocery store; bangers on a grill; a pack of bangers at the grocery store; bangers on a grill,a pack of sausages at the grocery store; sausages on a grill; a pack of sausages at the grocery store; sausages on a grill
barrister,attorney,an office belonging to a barrister; a barrister talking to his client; a man attending a meeting with his barrister; a barrister in a courtroom; my barrister discussing the case; a barrister with legal books,an office belonging to an attorney; an attorney takling to his client; a man attending a meeting with his attorney; an attorney in a courtroom; my attorney discussing the case; an attorney with legal books
biscuit,cookie,a woman enjoying a cup of tea with a biscuit; a biscuit with chocolate chips,a woman enjoying a cup of tea with a cookie; a cookie with chocolate chips
biscuits,cookies,a tin of assorted biscuits; a man baking homemade biscuits; a biscuit on a baking tray; a biscuit with a bite taken out,a tin of assorted cookies; a man baking homemade cookies; a cookie on a baking tray; a cookie with a bite taken out
bonnet,hood,a boy sitting on the bonnet of the car; a car with a red bonnet; a car at a repair shop with an open hood; a bonnet with a company logo; a bonnet in the process of being painted; a hood covered in snow,a boy sitting on the hood of the car; a car with a red hood; a car at a repair shop with an open hood; a hood with a company logo; a hood in the process of being painted; a bonnet with racing stripes
car boot,car trunk,a man loading luggage into the car boot; a spare tire in the car boot; a woman putting groceries in the car boot; a car boot filled with groceries; a car boot packed for a road trip; my car boot after a shopping spree,a man loading luggage into the car trunk; a spare tire in the car trunk; a woman putting groceries in the car trunk; a car trunk filled with groceries; a car trunk packed for a road trip; my car trunk after a shopping spree
caretaker,janitor,a school caretaker; a man talking to a caretaker at the mall; a tired caretaker in an empty hallway; a caretaker sweeping the school hallway; a office caretaker in a storage room; a building caretaker taking out the rubbish,a school janitor; a man talking to a janitor at the mall; a tired janitor in an empty hallway; a janitor sweeping the school hallway; an office janitor in a supply closet; a building janitor taking out the trash
chemist,pharmacy,a woman picking up a prescription at the chemist; a wide range of products at the chemist; a group of people waiting at the chemist; a chemist counter with vitamins; my chemist where I get prescriptions; a chemist with a neon sign,a woman picking up a precription at the pharmacy; a wide range of products at the pharmacy; a group of people waiting at the pharmacy; a pharmacy counter with vitamins; my pharmacy where I get prescriptions; a pharmacy with a neon sign
chips,french fries,a bowl of chips at a restaurant; a boy eating chips; a plate with a burger and chips; chips with ketchup and mayo; my chips from the local chippy; a chips portion next to a burger,a bowl of french fries at a restaurant; a boy eating french fries; a plate with a burger and french fries; french fries with ketchup and mayo; my french fries from the local fry shop; a french fries portion next to a burger
cooker,stove,a man preparing dinner on the cooker; a bowl of hot soup sitting on the cooker; a modern electric cooker; a cooker with boiling pots; a cooker with a baking oven; my cooker after making breakfast,a man preparing dinner on the stove; a bowl of hot soup sitting on the stove; a modern electric stove; a stove with boiling pots; a stove with a baking oven; my stove after making breakfast
coriander,cilantro,a woman chopping coriander in the kitchen; corainder at the supermarket; corainder sprinked on top of pasta; coriander garnishing a curry; coriander leaves on a cutting board; a coriander bunch at the market,a woman chopping cilantro in the kitchen; cilantro at the supermarket; cilantro sprinked on top of pasta; cilantro garnishing a curry; cilantro leaves on a cutting board; a cilantro bunch at the market
cot,crib,a woman putting the baby down in the cot; a man setting up a cot; a baby in a colorful cot; a cot with soft blankets; a baby cot with wooden bars; a cot with stuffed animals,a woman putting the baby down in the crib; a man setting up a crib; a baby in a colorful crib; a crib with soft blankets; a baby crib with wooden bars; a crib with stuffed animals
courgette,zucchini,a man slicing a courgette in the kitchen; a woman picking a courgette at the market; a courgette in a vegetable garden; my courgette in a stir fry,a man slicing a zucchini in the kitchen; a woman picking a zucchini at the market; a zucchini in a vegetable garden; my zucchini in a stir fry
courgettes,zucchinis,a large basket of courgettes; a courgette in a shopping basket,a large basket of zucchinis; a zucchini in a shopping basket
flat,apartment,a top-floor flat with a view of the city; a college student's flat; a cozy flat in the city; a flat with a balcony overlooking the city; a flat with a rooftop garden; my flat with an open-plan kitchen,a top-floor apartment with a view of the city; a college student's apartment; a cozy apartment in the city; an apartment with a balcony overlooking the city; an apartment with a rooftop garden; my apartment with an open-plan kitchen
football,soccer,a group of kids kicking a football; a football player in the stadium; a football player celebrating a win; my football boots on the field; a football goalie in the field; a goalkeeper trying to catch a football,a group of kids kicking a soccer ball; a soccer player in the stadium; a soccer player celebrating a win; my soccer cleats on the field; a soccer goalie in the field; a goalkeeper trying to catch a soccer ball
hoarding,billboard,an advertisement on a city hoarding; a worker changing the image on the hoarding; a group of people staring at a large hoarding; a hoarding advertising a concert; my hoarding design displayed downtown; a hoarding lit up at night,an advertisement on a city billboard; a worker changing the image on the billboard; a group of people staring at a large billboard; a billboard advertising a concert; my billboard design displayed downtown; a billboard lit up at night
hoover,vacuum cleaner,a woman using a hoover to clean the carpet; a bright red hoover in a store; a dirty hoover on the carpet; a hoover stored in a closet; a hoover with a long cord; a man using a hoover on a carpeted floor,a woman using a vacuum cleaner to clean the carpet; a bright red vacuum cleaner in a store; a dirty vacuum cleaner on the carpet; a vacuum cleaner stored in a closet; a vacuum cleaner with a long cord; a man using a vacuum cleaner on a carpeted floor
jug,pitcher,a man holding a water jug; a boy refilling his cup with a water jug; a decorative ceramic jug; a jug filled with lemonade; a jug with a floral design; a jug in the refrigerator,a man holding a water pitcher; a boy refilling his cup with a water pitcher; a decorative ceramic pitcher; a pitcher filled with lemonade; a pitcher with a floral design; a pitcher in the refrigerator
jumper,sweater,a cozy jumper hanging in a closet; a man wearing a purple jumper; a woman knitting a brown jumper; a jumper with reindeer patterns; a jumper on a hanger; a jumper folded neatly,a cozy sweater hanging in a closet; a man wearing a purple sweater; a woman knitting a brown sweater; a sweater with reindeer patterns; a sweater on a hanger; a sweater folded neatly
