Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a red lorry,a red semitruck,0.2965
1,a large lorry,a large semitruck,0.2729
2,a broken lorry,a broken semitruck,0.2904
3,a painting of an old lorry,a painting of an old semitruck,0.3613
4,a modern lorry,a modern semitruck,0.2824
5,a small lorry,a small semitruck,0.2829
6,a cozy jumper,a cozy sweater,0.2875
7,a purple jumper,a purple sweater,0.3272
8,a dirty jumper,a dirty sweater,0.2536
9,a designer jumper,a designer sweater,0.3015
10,a jumper with holes,a sweater with holes,0.3129
11,a colorful jumper,a colorful sweater,0.2722
12,a modern loo,a modern bathroom,0.3092
13,a dirty loo,a dirty bathroom,0.2932
14,a colorful loo,a colorful bathroom,0.3431
15,a loo with blue tiles,a bathroom with blue tiles,0.3475
16,a spacious loo,a spacious bathroom,0.2985
17,a tiny loo,a tiny bathroom,0.2819
18,a pack of bangers,a pack of sausages,0.3078
19,a plate of bangers and eggs,a plate of sausages and eggs,0.3377
20,three bangers,three sausages,0.2735
21,sizzling bangers,sizzling sausages,0.2964
22,broken bangers,broken sausages,0.241
23,some expired bangers,some expired sausages,0.3052
24,a pile of rubbish,a pile of trash,0.2729
25,rubbish on the floor,trash on the floor,0.2789
26,a heap of rubbish,a heap of trash,0.2778
27,a painting of rubbish,a painting of trash,0.3295
28,a rubbish bin,a trash bin,0.286
29,a room full of rubbish,a room full of trash,0.3024
30,a flat to rent,an apartment to rent,0.2681
31,a flat with two bedrooms,an apartment with two bedrooms,0.2942
32,a city centre flat,a city centre apartment,0.2739
33,a flat with balcony,an apartment with balcony,0.2942
34,students living in a flat,students living in an apartment,0.3237
35,keys to a new flat,keys to a new apartment,0.3038
36,a broken car boot,a broken car trunk,0.3003
37,a packed car boot,a packed car trunk,0.2849
38,an empty car boot,an empty car trunk,0.2916
39,a dirty car boot,a dirty car trunk,0.3035
40,a modern car boot,a modern car trunk,0.3029
41,a red car boot,a red car trunk,0.2913
42,a long queue,a long line,0.2685
43,a short queue,a short line,0.2398
44,a painting of a long queue,a painting of a long line,0.3155
45,a queue of people,a line of people,0.274
46,a queue outside the store,a line outside the store,0.2864
47,a queue for food,a line for food,0.2752
48,a pair of purple trousers,a pair of purple pants,0.3168
49,a pair of denim trousers,a pair of denim pants,0.3003
