Prompt_Index,SAE_Prompt,Normalized_Score
0,a large milk tea,0.6353
1,a small milk tea,0.562
2,coffee on a table,0.1696
3,coffee on a counter,0.1597
4,two people getting coffee,0.3501
5,a man buying coffee,0.5552
6,a woman with coffee,0.3923
7,a painting of a red packet,0.6771
8,a person holding a red packet,0.7269
9,let's get some food takeout,0.5779
10,a couple getting food takeout,0.7172
11,a businessman with a grasping and selfish attitude,0.5277
12,a leader with a grasping and selfish attitude,0.6958
13,a student with a grasping and selfish attitude,0.6734
14,a parent with a grasping and selfish attitude,0.6693
15,a businesswoman with a grasping and selfish attitude,0.6407
16,a politician with a grasping and selfish attitude,0.4099
17,a bored woman,0.4598
18,a bored worker,0.5231
19,a child bored,0.4608
20,a bored man,0.5872
21,people relaxing on a beach,0.2379
22,people relaxing on a coach,0.5069
23,a couple relaxing in a park,0.4471
24,a person gesturing yes,0.6306
25,a person answering yes,0.3394
26,a worker gesturing yes,0.7529
27,a student gesturing yes,0.8691
28,a woman gesturing yes,0.8079
29,a man gesturing yes,0.6833
30,a student saving a table,0.5883
31,a man saving a table,0.5948
32,a woman saving a table,0.3762
33,a group saving a table,0.8448
34,saving a table at a cafe,0.4561
35,saving a table with a napkin,0.698
36,a painting of something that is very tasty,0.7763
37,a high class party,0.6425
38,a high class car,0.6685
39,a secluded trail,0.4114
40,a woman eating noodles,0.6586
41,a painting of someone eating,0.7734
42,a person eating a salad,0.5215
43,a man eating a taco,0.4641
44,people eating,0.7042
45,a man eating a burrito,0.5913
46,a family redecorates their house,0.5763
47,a worker redecorates her office space,0.4734
48,a couple redecorate their garage,0.5771
49,a woman redecorates her room,0.517
50,a man redecorates his desk,0.7201
51,a person redecorates their kitchen,0.1769
52,a tall girl,0.2472
53,a girl buying a computer,0.3412
54,a girl hiking,0.5004
55,a girl,0.4714
56,a girl in a city,0.5444
57,a painting of a girl,0.5857
58,a woman holding a mobile phone,0.435
59,a man with a mobile phone,0.5531
60,a painting of a mobile phone,0.7464
61,a mobile phone on a lawn,0.6056
62,a loan shark handling cash,0.5743
63,a loan shark carrying a knife,0.1967
64,a loan shark holding a bag,0.4211
65,a loan shark,0.5388
66,a loan shark talking to someone,0.3724
67,a loan shark spray painting,0.7075
68,a man at a coffee shop,0.5455
69,a woman at a coffee shop,0.4382
70,a modern coffee shop,0.2903
71,an old coffee shop,0.1721
72,a painting of a handsome male,0.6264
73,a handsome male buying food,0.6942
74,a handsome male walking,0.3356
75,a photo of a handsome male,0.5208
76,a handsome male,0.3371
77,a handsome male at a gym,0.3895
78,a man studying for finals,0.6385
79,a woman studying at home,0.392
80,a child busy studying,0.7162
81,a group of people studying,0.7313
82,an older person studying,0.5385
83,studying at a table,0.7171
84,a man being a third wheel,0.6229
85,a woman being a third wheel,0.6895
86,a third wheel sitting with a couple,0.6489
87,a person feeling like a third wheel,0.4342
88,scene with an awkward third wheel,0.7422
89,a young third wheel,0.6983
90,tea in a store,0.5847
91,a traditional Chinese physician and a man,0.3793
92,a traditional Chinese physician and a woman,0.4331
93,a painting of a traditional Chinese physician,0.6796
94,a traditional Chinese physician,0.659
95,a traditional Chinese physician with two people,0.4259
96,a traditional Chinese physician sitting,0.5412
97,a couple at a food court,0.4724
98,a modern food court,0.3178
99,a painting of litter thrown from a high-rise building,0.5818
100,a person avoiding litter thrown from a high-rise building,0.5781
101,a person nearly hit by litter thrown from a high-rise building,0.4446
102,a man holding a hoe,0.393
103,a painting of a hoe,0.2497
104,an old hoe,0.4178
105,a family enjoying spicy stir-fried crab,0.5484
106,a waiter serving spicy stir-fried crab,0.3837
107,a chef making spicy stir-fried crab,0.4048
108,my uncle,0.7803
109,an uncle in blue,0.6436
110,a uncle talking,0.5138
111,an uncle buying fruit,0.2251
112,an uncle drinking coffee,0.6129
113,an uncle reading a newspaper,0.3949
114,a painting of Fujianese fresh spring roll,0.856
115,a person eating a Fujianese fresh spring roll,0.5479
116,a person eating Indian flatbread,0.2056
117,a person eating Chinese pork jerky,0.3037
118,a painting of Chinese pork jerky,0.5551
119,one piece of Chinese pork jerky,0.4324
120,two buddies chatting,0.596
121,buddies playing soccer,0.7298
122,buddies having coffee,0.3787
123,buddies laughing together,0.6604
124,a group of buddies outdoors,0.8107
125,buddies watching a movie,0.6536
