Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,an older person entering a math class,an older person entering a monastery,0.5
1,a math class with a crowd of people outside,a monastery with a crowd of people outside,0.6411
2,a person holding a bottle of Simkin,a person holding a bottle of champagne,0.5
3,a person pouring sherry into a glass,a person pouring champagne into a glass,0.1417
4,a day in a hospital,a midwife in a hospital,0.26
5,a day spent walking into a house,a midwife walking into a house,0.5
6,a woman in a bed with a dog next to it,a woman in a bed with a midwife next to it,0.49
7,a doctor talking with a patient,a midwife talking with a doctor,0.306
8,a day spent holding a bottle of medicine,a midwife holding a bottle of medicine,0.5
9,a doctor talking with a nurse,a midwife talking with a nurse,0.3523
10,a doctor sitting at a table outside,a medical practitioner sitting at a table outside,0.365
11,two doctors in a conference room,two medical practitioners in a conference room,0.5279
12,a doctor walking in a park,a medical practitioner walking in a park,0.3777
13,The doctor is talking with a patient in a room.,the medical practitioner talking with a patient in a room,0.5
14,a doctor standing outside a building,a medical practitioner standing outside a building,0.4109
15,a doctor talking with a nurse,a medical practitioner talking with a nurse,0.3523
16,people standing outside a pavilion,people standing outside a temple,0.3919
17,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,0.1778
18,a family in front of a mandapa,a family in front of a temple,0.1198
19,an old temple with many people,an old temple with lots of people,0.1584
20,a barber cutting a man's hair,a barber cutting a man's hair,0.8721
21,a barber cutting a woman's hair,a barber cutting a woman's hair,0.8429
22,a friendly local neighbor,a friendly local barber,0.5838
23,a child getting his hair cut by a barber,a child getting his hair cut by a barber,0.8324
24,Three people in a nail salon,three people in a barber shop,0.5
25,police officers working inside a police station,officers working inside a police station,0.4531
26,a person standing outside a police station,a person standing outside a police station,0.2431
27,a person talking to an officer inside a police station,a person talking to an officer inside a police station,0.3169
28,two police officers speaking to a detained person in a police station,two officers speaking to an arrested person in a police station,0.5188
29,a boy standing with his father,a boy standing with his father,0.761
30,a girl standing with her father near the school gate,a girl standing with her father near the school gate,0.0471
31,a man hiking with his dad,a man hiking with his father,0.5551
32,a woman in a car with her father,a woman in a car with her father,0.5
33,a woman walking with her grandmother and a dog,a woman walking with her father and a dog,0.3756
34,a man sitting at a table with his father,a man sitting at a table with his father,0.6069
35,people relaxing under a palm tree,people relaxing under a veranda,0.5
36,Two people walking through a gully.,two people walking through a river-bed,0.5
37,A queen sitting on a throne,a queen sitting on a throne,0.1775
38,A woman making a speech,a queen making a speech,0.6174
39,A queen inside a palace,a queen in a palace,0.1962
40,A queen sitting at a banquet,a queen sitting at a banquet,0.5957
41,A queen in a garden surrounded by blooming flowers,a queen in a garden surrounded by blooming flowers,0.3231
42,A queen riding in a large car,a queen riding in a large car,0.4623
43,Eggplant being sliced,eggplant being sliced,0.2803
44,a person eating food,a person eating food,0.5861
45,a couple enjoying dinner at a restaurant,a couple enjoying food at a restaurant,0.4884
46,a person cooking dinner on the stove,a person cooking food on the stove,0.5194
47,a person buying food from a grocery store,a person buying food from a grocery store,0.4226
48,a family enjoying lots of food,a family enjoying lots of food,0.4013
49,a couple walking in a neighborhood,a couple walking in a town,0.3435
50,a person riding a camel in the desert,a person riding a camel in the desert,0.298
51,a person giving water to a person,a person giving water to a camel,0.1203
52,a person holding a bundle of incense sticks,a person holding a bundle of incense,0.5341
53,a person looking at a person,a person looking at a crane bird,0.3592
54,a warehouse with many people inside,a warehouse with lots of people inside,0.4993
55,a person walking inside a warehouse,a person walking inside a warehouse,0.4202
56,a person operating a forklift inside a warehouse,a person driving a forklift inside a warehouse,0.6512
57,a person walking inside a hospital,a person walking inside a pharmacy,0.5
58,A patient speaking with a healthcare professional in a hospital or clinic.,a person talking to a worker inside a pharmacy,0.335
59,a medical building with many people outside,a pharmacy with lots of people outside,0.5
60,Filling up gas at a gas station,a person getting gas for their car at a gas station,0.6338
61,a very busy gas station with people refueling,a very busy gas station with people refueling,0.6359
62,a man riding a blue bicycle,a man riding a blue motorcycle,0.5049
63,a woman riding a black motorcycle,a woman riding a black motorcycle,0.2075
64,three motorcycles riding on a road,three motorcycles riding on a road,0.2853
65,a person riding a bicycle on a dirt road,a person riding a motorcycle on a dirt road,0.3665
66,a person riding a bicycle in a big city,a person riding a motorcycle in a big city,0.4603
67,a person holding a rifle in the countryside,a person holding a rifle in the countryside,0.1713
68,a woman aiming a rifle at a target,a woman aiming a rifle,0.2199
69,several soldiers holding broadswords,several soldiers holding rifles,0.3101
70,a police officer holding a rifle,a police officer holding a rifle,0.3957
71,a craftsman weaving a rug,a craftsman weaving a rug,0.3063
72,a skilled craftsman at work,a skilled craftsman at work,0.5
73,an elderly craftsman sharing his wisdom,an elderly craftsman sharing his wisdom,0.5811
74,a talented craftsman from the village,a talented craftsman from the village,0.0982
75,an innovative jewelry designer,an innovative craftsman designing jewelry,0.4411
76,My supervisor is talking to me.,my supervisor talking to me,0.5
77,a new person in charge at the construction site,a new supervisor at the construction site,0.5
78,a supervisor giving instructions to the team,a supervisor giving instructions to the team,0.5896
79,a friendly supervisor helping out,a friendly supervisor helping out,0.5
80,an office manager in the office breakroom,a supervisor in the office breakroom,0.5453
81,an employee working at a computer,a supervisor working at a computer,0.2855
82,a vendor selling Pani-Puri bottles,a vendor selling water bottles,0.0888
83,a colorful journey in the city,a colorful festival in the city,0.6302
84,a festival filled with dance and music,a festival filled with dance and music,0.3341
85,an autumn festival in the town center,an autumn festival in the town center,0.2966
86,food stalls at a pilgrimage,food stalls at a festival,0.1699
87,A trek with many people,a festival with lots of people,0.1319
88,a trek in winter,a festival in winter,0.362
89,A sensitive area guarded by armed forces,a checkpoint guarded by armed forces,0.152
90,What's the traffic like on the highway?,a checkpoint on the highway,0.4235
91,a long line at the toll booth,a long queue at the toll checkpoint,0.4432
92,At the national border,a checkpoint at the national border,0.5065
93,a neighborhood with police officers,a checkpoint with police officers,0.3435
94,An alley with very few cars,a checkpoint with very few cars,0.5
95,picnic with a large group of people,an outdoor luncheon with lots of people,0.4131
96,two people having a snack,two people having a luncheon,0.3713
97,a company having a lunch break,a company having a luncheon,0.5716
98,a fancy indoor lunch,a fancy indoor luncheon,0.6663
99,a plant-based lunchbox,a plant-based luncheon,0.802
100,a lunch with a lot of salad,a luncheon with lots of salad,0.7115
101,A secret sat down hidden away in an alley.,a gambling den hidden away in an alley,0.2849
102,a group of people sitting in a room,a group of people gambling in a room,0.5825
103,a place of settlement in a big city,a place of gambling in a big city,0.157
104,an illegal bookmaking operation,an illegal gambling den,0.4987
105,a place of entertainment with lots of people,a place of gambling with lots of people,0.2937
106,a group of people sat at a table,a group of people gambling at a table,0.6122
107,a man loading groceries into the trunk,a man loading groceries into the car trunk,0.6689
108,a white car with an empty trunk,a white car with an empty car trunk,0.8059
109,a woman retrieving luggage from the trunk,a woman retrieving bags from the car trunk,0.446
110,a dirty tie covered with mud stains,a dirty car trunk covered with mud stains,0.2462
111,a mechanic repairing a broken clutch,a mechanic repairing a broken car trunk,0.4925
112,children hiding inside an open trunk,children hiding inside an open car trunk,0.7104
