Prompt_Index,SAE_Prompt,Normalized_Score
0,a long line,0.463
1,a short line,0.6133
2,a painting of a long line,0.6216
3,a line of people,0.4572
4,a line outside the store,0.5535
5,a line for food,0.5801
6,a team scoring a soccer goal,0.4524
7,queue at a pharmacy shop,0.3078
8,an attorney at a table,0.658
9,an old attorney,0.3747
10,an attorney at a park,0.5467
11,an attorney with a woman,0.5668
12,an attorney with a notepad,0.5809
13,a painting of an attorney,0.8488
14,a school janitor,0.7884
15,a dirty janitor,0.8164
16,a tired janitor,0.5286
17,a busy janitor,0.7657
18,a painting of an old janitor,0.6735
19,a janitor in a mall,0.7254
20,a young mailman,0.7603
21,a lazy mailman,0.6432
22,a tired mailman,0.6628
23,a busy mailman,0.6232
24,a painting of an old mailman,0.7439
25,a mailman on the street,0.5046
26,inside of the subway,0.2713
27,a subway station,0.2167
28,a sliced eggplant,0.3367
29,an eggplant on the table,0.2529
30,eggplant in a basket,0.161
31,a painting of an eggplant,0.3772
32,a moldy eggplant,0.1732
33,a dish with eggplant,0.4833
34,people on a crosswalk,0.6325
35,a busy crosswalk,0.6846
36,a woman on a crosswalk,0.4509
37,a band-aid wrapped around a finger,0.561
38,a band-aid covering a small cut,0.5739
39,a band-aid on an injured knee,0.5781
40,a colorful band-aid on an elbow,0.6457
41,a band-aid for a cut,0.5735
42,a band-aid peeling off skin,0.5135
