old,new
aubergine,eggplant
banger,sausage
bangers,sausages
barrister,lawyer
biscuit,cookie
biscuits,cookies
bonnet,car hood
car boot,trunk
caretaker,janitor
chemist,pharmacy
chips,fries
cooker,stove
coriander,cilantro
cot,crib
courgette,zucchini
courgettes,zucchinis
flat,apartment
football,soccer
hoarding,billboard
hoover,vacuum
jug,pitcher
jumper,sweater
loo,restroom
lorry,truck
nappies,diapers
nappy,diaper
petrol,gasoline
postman,mailman
pram,baby stroller
queue,line
rubbish,trash
saloon,sedan
torch,flashlight
trousers,pants
tube,subway
