Prompt_Index,SAE_Prompt,Normalized_Score
0,a long line,0.5241
1,a short line,0.2001
2,a painting of a long line,0.7778
3,a line of people,0.1154
4,a line outside the store,0.3273
5,a line for food,0.4439
6,a team scoring a soccer goal,0.5428
7,queue at a pharmacy shop,0.4574
8,an attorney at a table,0.3219
9,an old attorney,0.2796
10,an attorney at a park,0.0994
11,an attorney with a woman,0.5252
12,an attorney with a notepad,0.4592
13,a painting of an attorney,0.3279
14,a school janitor,0.3406
15,a dirty janitor,0.1325
16,a tired janitor,0.3952
17,a busy janitor,0.7533
18,a painting of an old janitor,0.2228
19,a janitor in a mall,0.6447
20,a young mailman,0.7056
21,a lazy mailman,0.1025
22,a tired mailman,0.5948
23,a busy mailman,0.7504
24,a painting of an old mailman,0.7932
25,a mailman on the street,0.5502
26,inside of the subway,0.4921
27,a subway station,0.6166
28,a sliced eggplant,0.2842
29,an eggplant on the table,0.1071
30,eggplant in a basket,0.2411
31,a painting of an eggplant,0.2662
32,a moldy eggplant,0.229
33,a dish with eggplant,0.7564
34,people on a crosswalk,0.7332
35,a busy crosswalk,0.5544
36,a woman on a crosswalk,0.4452
37,a band-aid wrapped around a finger,0.5679
38,a band-aid covering a small cut,0.2012
39,a band-aid on an injured knee,0.488
40,a colorful band-aid on an elbow,0.8512
41,a band-aid for a cut,0.9024
42,a band-aid peeling off skin,0.2012
