Prompt_Index,SAE_Prompt,Normalized_Score
0,a crowded monastery,0.2604
1,a painting of some champagne,0.8692
2,an old midwife,0.5503
3,a midwife with a woman,0.3327
4,a painting of a midwife,0.7619
5,a young midwife,0.6082
6,a midwife sitting down,0.4999
7,a photograph of a midwife with a cat,0.6188
8,a medical practitioner at a table,0.2347
9,an old medical practitioner,0.4607
10,a medical practitioner at a park,0.3638
11,a medical practitioner with a woman,0.1813
12,a medical practitioner with a notepad,0.2058
13,a painting of a medical practitioner,0.4461
14,a barber in red,0.7644
15,an old barber,0.3774
16,a barber by the chair,0.8671
17,a barber working,0.819
18,a person walking into a police station,0.1366
19,a father in front of a house,0.5704
20,a girl standing with her father,0.1302
21,a crying father,0.3928
22,a father on a bed,0.7245
23,an old father with a dog,0.5533
24,an old father in the kitchen,0.5909
25,a beautiful queen,0.397
26,a queen in a garden,0.5472
27,a painting of an old queen,0.7666
28,a queen covered in snow,0.5416
29,a queen in a large hall,0.3607
30,an old queen on a bed,0.7782
31,a painting of a eggplant,0.4359
32,a person with some food,0.6188
33,a family enjoying food,0.6434
34,a bustling town,0.2869
35,a lively town,0.5393
36,a painting of incense,0.8299
37,a busy warehouse,0.4164
38,a very busy gas station,0.5729
39,a man with a blue motorcycle,0.4918
40,a black motorcycle,0.179
41,an old craftsman,0.6318
42,a group of craftsmen,0.5244
43,a craftsman in a house,0.7685
44,a dirty craftsman,0.5898
45,a craftsman in orange,0.7808
46,a craftsman in a big city,0.7699
47,an angry supervisor,0.4257
48,an old supervisor,0.583
49,a supervisor in a room,0.6773
50,a painting of a supervisor,0.7902
51,a supervisor in the office,0.7559
52,a supervisor with a group of people,0.7073
53,a child with water,0.6464
54,a man next to a checkpoint,0.1454
55,a lively luncheon,0.9122
56,a luncheon in the building,0.4895
57,an indoor luncheon,0.7547
58,a luncheon in the city,0.791
59,a luncheon at school,0.7101
60,the inside of a gambling den,0.2957
61,a gambling room,0.358
62,a place of gambling,0.2588
63,a bustling gambling den,0.2845
64,a luxurious gambling den,0.4066
65,a group of people gambling,0.2436
66,a mechanic inspecting a spare tire,0.687
67,a group photo of my classmates,0.3213
68,my classmate smiling,0.3467
69,two classmates studying,0.5119
70,a classmate at a desk,0.6567
71,classmates outside the school,0.1383
72,a classmate playing basketball,0.6602
